,TC,thr,M,delM
0,450,0.3,9.846784e-15,3.9272916e-16
1,450,0.366666667,4.8319363e-15,2.5163274e-16
2,500,0.25,1.5514743e-14,1.8225169e-16
3,500,0.366666667,1.3769137e-14,2.7403337e-16
4,550,0.316666667,4.4250787e-14,2.170457e-16
5,550,0.366666667,3.2426576e-14,3.83347e-16
6,600,0.25,7.4900244e-14,3.6492898e-16
7,600,0.266666667,4.8731886e-14,4.6154947e-16
8,650,0.266666667,1.0618605e-13,4.0001345e-16
9,650,0.366666667,8.261099e-14,3.3017135e-16
10,700,0.316666667,1.7466832e-13,3.871174e-16
11,700,0.383333333,1.2573201e-13,5.0251315e-16
12,750,0.333333333,1.6765657e-13,4.464694e-16
13,750,0.366666667,8.640472e-14,3.3254585e-16
14,800,0.3,1.2802139e-13,2.8324731e-16
15,800,0.333333333,9.027519e-14,4.040808e-16
16,825,0.25,7.3145584e-14,3.1514046e-16
17,850,0.266666667,7.888927e-14,2.8664415e-16
18,875,0.25,7.6380105e-14,2.1954697e-16
19,900,0.25,8.897626e-14,2.0460981e-16
20,925,0.25,1.0896303e-13,2.694111e-16
21,950,0.25,1.328522e-13,2.3668946e-16
22,975,0.25,1.6002919e-13,2.4290832e-16
23,1000,0.25,1.9078527e-13,2.2753052e-16
24,1025,0.25,2.2546411e-13,3.973354e-16
25,1050,0.25,2.64405e-13,2.4538108e-16
26,1075,0.25,2.9344734e-13,4.1153053e-16
27,1100,0.25,3.219882e-13,4.9914614e-16
28,1100,0.5,4.540916e-13,7.3499267e-16
29,1100,1.0,5.3255376e-13,5.4485574e-16
30,1100,2.016666667,5.081423e-13,1.0948434e-15
31,1100,3.116666667,3.0461002e-13,8.2293444e-16
32,1100,8.85,1.736541e-13,2.6711473e-16
33,1150,0.266666667,2.1370845e-15,7.110935e-18
34,1175,0.25,2.3297264e-15,4.794344e-18
35,1200,0.25,2.5770541e-15,4.514741e-18
36,1225,0.983333333,7.429149e-15,8.250812e-18
37,1250,0.583333333,2.2682054e-15,4.8666617e-18
38,1275,0.266666667,7.099793e-16,4.084866e-18
39,1300,0.3,5.9315123e-16,4.717569e-18
40,1550,0.25,6.425546e-16,5.7709753e-18
41,1550,0.25,8.3892525e-18,1.5651829e-18
