1,99.9,0.5,9.5,0.4
2,100,1,18.2,0.6
3,100,2,33.5,0.7
4,80,1,3.3,0.2
5,80,1,3.2,0.2
6,70,2,2.9,0.2
7,70,2,2.6,0.2
8,70,2,2.5,0.2
9,90,1.5,9.7,0.4
10,90,2,12.7,0.4
11,100,1.5,18.6,0.5
12,120,0.5,25,1.7
13,119.9,0.5,22.8,0.6
14,120,0.5,19.5,0.6
15,140,0.5,65,1.1
16,140,0.5,48.4,0.8
17,139.9,1,75.3,1.2
18,160,0.5,82.1,1.2
19,160,1,80.8,1.2
20,175,0.5,58.5,3.9
21,175,0.5,28.7,1
22,200,1,64.5,0.9
23,200,0.5,13.1,0.4
24,224.9,0.5,24.1,0.9
25,225,1,28.6,1.1
26,250,0.5,24.7,1
27,250,1,28.1,0.6
28,275,0.5,20,0.9
29,274.8,1,23.7,0.9
30,299.8,0.5,19.5,1.1
31,299.9,1,18,0.5
32,325,0.5,11.1,0.9
33,325,1,11.3,0.5
34,350,0.5,6.4,0.4
35,350,1,6.4,0.3
36,337,1,2.6,0.2
37,312,1.3,1.1,0.1
38,287,1.5,0.4,0.1
39,259,2,0.2,0.1
40,238,3,0.2,0.1
41,275,1.5,0.2,0.1
42,300,1,0.3,0.1
43,325,0.5,0.4,0.1
44,350,1,0.4,0.1
45,375,1,1.7,0.2
46,400,0.5,2.4,0.2
47,400,1,1.3,0.1
48,425,0.5,1.7,0.2
49,424.9,1,0.7,0.1
50,450,0.5,0.5,0.1
51,449.9,1,0.5,0.1
