1,99.9,0.5,53.5,0.9,8.9,0.4,bdl,bdl
2,100,1,77,1.1,9,0.3,bdl,bdl
3,100,2,100.3,1.3,8.9,0.3,bdl,bdl
4,70,1.3,5,0.3,8.7,2,bdl,bdl
5,70,2,7.6,0.4,8.5,1.6,0.08,0.04
6,90,1,17.8,0.6,8.8,0.8,bdl,bdl
7,90,2,30.7,0.6,8.9,0.4,0.07,0.04
8,120.1,0.5,53.9,1,8.9,0.3,0.08,0.06
9,120,1,73.7,1.3,8.9,0.3,bdl,bdl
10,140,0.5,75.3,1.3,9.1,0.3,bdl,bdl
11,140,1,78.5,1.3,8.8,0.3,bdl,bdl
12,200,0.5,172,9.4,10.9,0.7,0.7,0.13
13,200,1,94.2,1.4,9,0.3,0.55,0.09
14,250,0.5,92.2,1.2,9.1,0.3,3.12,0.16
15,250,1,56,1.1,10,0.4,3.17,0.19
16,300,0.5,45.2,0.8,9.4,0.4,15.27,0.47
17,300,1,20.8,0.6,9.9,0.8,14.99,0.36
18,325,0.5,7.7,0.3,10.9,1.4,18.88,0.53
19,325,1,7.2,0.4,11,1.4,23.52,0.64
20,350,0.5,3.4,0.2,12.4,3.4,29.73,0.72
21,350,1,2,0.2,17.6,5.1,35.56,0.85
22,335,1,0.3,0.1,45.1,46.5,11.24,0.44
