Step	Temp (C)	time (min)	M	del M	use mask
1	24.72	60	0	21181.5873968671	0
2	99.99	30	416217.449976885	30037.5859405869	1
3	100	60	712482.398990217	40951.2939534326	1
4	100	120	1279457.48468347	47893.2902825167	1
5	69.93	80	152093.968050044	24727.7862970636	1
6	69.97	160	289645.533198454	28345.6282839431	1
7	69.98	240	291614.613733743	29859.5039107193	1
8	90	120	481688.001801221	33198.2179468802	1
9	90	180	708224.807491379	39328.9297351866	1
10	100	180	1275936.3331197	50756.738146875	1
11	119.98	60	1290828.21010783	46395.0249946677	1
12	119.99	120	2431336.19863769	67679.3823746913	1
13	119.99	180	2874581.43167458	67735.5248257942	1
14	139.97	60	2639192.64147657	67002.6065812279	1
15	139.99	120	4172213.08802309	88038.2137207796	1
16	139.99	180	4698138.0435925	91522.239632601	1
17	159.97	60	3721358.41215087	86987.7541470687	1
18	159.99	120	5378826.10010795	110769.610948457	1
19	159.99	180	5891289.45138211	115934.119391665	1
20	179.97	60	4112433.20058794	95139.4981354966	1
21	179.99	120	6098365.35038429	127756.617070793	1
22	179.99	180	6450346.98634152	123165.301595687	1
23	199.96	60	4044442.41349323	94507.2599909	1
24	199.98	120	6080441.01083408	116587.287843436	1
25	199.99	180	6663823.25660559	127804.352329814	1
26	249.91	30	14519032.2744574	230627.918506162	1
27	249.95	60	4051207.3722718	92116.7069223868	1
28	299.91	30	6570312.48171327	121802.233588684	1
29	299.96	60	4193046.53425631	89292.0372443998	1
30	324.9	30	1908325.74585124	60931.4425939864	1
31	324.95	60	1608812.31941837	52650.8567782873	1
32	349.9	30	638705.10548943	37427.0071301487	1
33	349.95	60	567027.528356767	37323.004763353	1
34	334.95	60	152686.630487938	26539.6297234739	1
35	309.95	60	50915.3286038089	22226.1847204824	1
36	289.97	90	37488.8494148328	22220.7441532252	1
37	249.98	90	6674.11754972797	21800.4404714389	1
38	249.98	120	15774.9678073888	21566.4830178966	1
39	214.99	180	0	21100.2934403579	1
40	264.98	120	19849.2490414762	21301.5131483646	1
41	284.97	90	28437.0550117594	21574.6085332512	1
42	299.96	60	45488.5366195008	21905.7883302336	1
43	329.95	60	69619.6270591747	23188.6966346964	1
44	359.95	60	149111.898930253	25235.1743186943	1
45	379.95	60	130513.395228977	26961.7141923719	1
46	399.94	60	144983.475804145	25829.7601191845	1
47	424.95	60	96533.0554109398	24248.1295725814	0
