2,100.03,1,253.70,4.56
3,100.03,2,348.43,5.30
4,70.03,1.33,14.62,1.35
5,70.03,2.67,32.03,1.78
6,70.02,4,44.09,2.07
7,90,2,121.58,3.41
8,90.02,3,141.89,5.35
9,100.02,3,271.99,12.46
11,120.03,1,408.01,6.59
12,120.02,2,570.45,6.51
13,120.02,3,596.55,7.20
14,139.98,1,557.43,6.76
15,140.02,2,756.97,8.19
16,139.99,3,567.47,7.84
17,160.03,1,441.07,6.35
18,160.01,2,386.74,5.07
19,160.01,3,227.84,5.10
20,180.02,1,117.75,3.50
21,180.01,2,93.42,2.90
23,179.98,3,69.62,2.63
24,200.02,1,45.13,2.03
25,199.97,2,65.00,2.27
26,199.97,3,64.07,2.32
27,250.01,0.5,74.25,6.21
28,250.01,1,46.48,3.24
29,300.01,0.5,85.76,2.51
30,299.92,1,29.04,1.69
31,324.99,0.5,12.60,1.11
32,324.97,1,14.08,1.03
34,349.99,0.5,4.78,0.77
35,349.99,1,3.22,0.64
36,335.02,1,0.52,0.35
