,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,90262000.0,2603500.0,26.801029159519725,0.02258282051155495,0.0006560400127492149,2.47251689539289e-08,2.0789174613710653e-11,-17.515444126137265,-17.51628529003102,-17.514603669205577
1,99.97,0.5,87392000.0,2514300.0,26.801029159519725,0.04444737624849266,0.0006297104268960162,7.105582601031906e-08,3.0395374767115563e-09,-16.45979998702724,-16.503518623195838,-16.417912877627245
2,99.98,0.5,80979000.0,2441000.0,26.80031088360625,0.06471302689326978,0.0006110822088688087,1.0721956609839436e-07,4.248453180123001e-09,-16.048387085389805,-16.088817345156386,-16.009528109801906
3,99.98,0.5,80328000.0,2341600.0,26.80031088360625,0.08480971373339083,0.0005895694302312744,1.4568087653713016e-07,5.317097246631253e-09,-15.741847384678533,-15.779028360899252,-15.705999418872105
4,99.98,0.5,76586000.0,2266600.0,26.80031088360625,0.10397221746427855,0.0005670907977805397,1.8959524868342573e-07,6.901045150315296e-09,-15.478374307126062,-15.515452100759182,-15.442622266711956
5,49.52,2.0,3360400.0,139720.0,30.991415377940314,0.10481319996844539,3.52834880046216e-05,2.31946657214152e-09,1.0445156006529279e-10,-19.88192860350625,-19.928006656011227,-19.837880543151766
6,49.54,2.0,3320100.0,143040.0,30.989494561343705,0.10564422976805311,3.600696531735937e-05,2.3116838604551523e-09,1.0708013127494925e-10,-19.88528963404331,-19.93271805885572,-19.840009174472574
7,49.69,3.0,5302100.0,201050.0,30.975096022797672,0.10697055179767076,5.0917596832173134e-05,2.48870325422473e-09,1.0392548009164486e-10,-19.8115040435594,-19.854159893411417,-19.770593520619375
8,49.8,4.3333,7439800.0,260620.0,30.96454559529339,0.10883180609189601,6.588746979754e-05,2.457308104143885e-09,9.534972860763872e-11,-19.824199352757145,-19.863774741876796,-19.786130733226862
9,59.88,3.0,13685000.0,447980.0,30.027324865627723,0.11225534521761692,0.00011342949801462687,6.704394757934601e-09,2.485231586168301e-10,-18.820502591560096,-18.858275794758054,-18.784104421371467
10,59.93,4.3333,18431000.0,625010.0,30.022817341179298,0.11686684980706098,0.00015831097864270715,6.501461143532248e-09,2.4742835054799845e-10,-18.851238893993948,-18.890039334402882,-18.813887864992292
11,69.98,2.0,23121000.0,722530.0,29.14347331915018,0.12265226167967266,0.00018405367948634593,1.8558038506703985e-08,6.615662200115732e-10,-17.80236279907933,-17.838662222478042,-17.76733499934334
12,69.99,3.0,33532000.0,1053100.0,29.14262400186513,0.1310418330024187,0.000264433173974756,1.9125714206260196e-08,6.786544711477097e-10,-17.772232113812905,-17.8083608431102,-17.73736328331028
13,69.99,4.3333,51980000.0,1440900.0,29.14262400186513,0.14404930547774997,0.00036423931868574265,2.247341307562982e-08,7.258915598471189e-10,-17.610932867507433,-17.643766039202234,-17.579143531332086
14,79.98,1.0,26862000.0,814880.0,28.31818310537196,0.15076847056593767,0.00020673950598589614,5.441690510562891e-08,1.8633496725009113e-09,-16.726590975740862,-16.761433083812673,-16.692922077735883
15,80.0,2.0,53126000.0,1548700.0,28.31657935721365,0.16406301925202915,0.00038879322569536796,5.800045248769742e-08,1.9270234226103196e-09,-16.662815024918398,-16.69660377182178,-16.630130740661663
16,79.99,3.0,76844000.0,2203200.0,28.317381208585832,0.1832859284338925,0.0005560504588705685,6.265822113408171e-08,2.067309178891061e-09,-16.58557094100374,-16.619120922853554,-16.553110118017187
17,90.0,1.0,56555000.0,1670200.0,27.53683051080821,0.19743879117748717,0.00042175761798654245,1.5405437731109363e-07,5.149311341562181e-09,-15.685960197435026,-15.719956875205712,-15.653081393875805
18,90.0,1.0,51899000.0,1633600.0,27.53683051080821,0.21042350956464964,0.00040848074251986115,1.5345237885387174e-07,5.3439931633655124e-09,-15.689875553531804,-15.725321495462607,-15.655643134633415
19,90.0,1.5,83823000.0,2312100.0,27.53683051080821,0.23139183805142632,0.000577590150810584,1.8203938093145215e-07,5.678134811399883e-09,-15.519042794531877,-15.550731410706788,-15.488327579951509
20,90.0,2.0,100420000.0,2894500.0,27.53683051080821,0.25651438897099516,0.0007207222038560512,1.8491390174593877e-07,5.960050198389006e-09,-15.503375516166301,-15.536137876928555,-15.471652564218614
21,99.97,0.5,51093000.0,1550100.0,26.801029159519725,0.26930190875609933,0.00039279833578667833,4.135708199227598e-07,1.3961139419716278e-08,-14.698437067685067,-14.732777564982353,-14.665236792668038
22,119.96,0.5,218020000.0,6259900.0,25.438172521686045,0.32383736076413117,0.0015013834421630156,2.066842546260696e-06,6.52920238480787e-08,-13.089488455173026,-13.121588416557762,-13.058386934464627
23,119.98,1.0,359820000.0,9760900.0,25.436878386284434,0.41386397863396707,0.0022900230717571844,2.31237527227039e-06,6.799202488827776e-08,-12.977235305329954,-13.00707979728293,-12.94825575565075
24,119.99,1.5,372640000.0,10514000.0,25.436231367960524,0.5070995400434795,0.0024430502983688604,2.2517641543077893e-06,6.515948416267759e-08,-13.003796580387897,-13.033160596146098,-12.975270270126416
25,119.99,2.0,327230000.0,9223000.0,25.436231367960524,0.5889694048317526,0.0021786656062110564,2.0236391379164947e-06,5.699806480950234e-08,-13.110613113978115,-13.1391835094798,-13.082836363701428
26,139.97,0.5,204390000.0,5863800.0,24.206041828040277,0.6401011200666331,0.0014333418784944487,6.4026939132498594e-06,1.8742324728380807e-07,-11.958791732216989,-11.988501283512877,-11.929939431074713
27,139.99,1.0,256260000.0,7578700.0,24.204870019847995,0.7042215092161649,0.0018164404469398299,4.99062694092904e-06,1.4333034740568539e-07,-12.207949016628087,-12.237089411819154,-12.179633794923769
28,139.99,1.5,243490000.0,7027900.0,24.204870019847995,0.7651344023882266,0.0017014937524436147,4.0886014203595746e-06,1.12896778715677e-07,-12.407307597400472,-12.435308557230067,-12.380069382216751
29,139.99,2.0,210870000.0,6122100.0,24.204870019847995,0.8179074490072761,0.0014869108436197473,3.4814763740933757e-06,9.417614232446269e-08,-12.568054108715408,-12.59547734566892,-12.54136287639851
30,159.95,0.5,125280000.0,3555800.0,23.089355806972986,0.8492566873801658,0.0008877893617477031,1.0512056000954528e-05,2.9070289210069224e-07,-11.462987768900353,-11.491031583825976,-11.43570900339601
31,159.98,1.0,164350000.0,4640500.0,23.087756562694803,0.8903745578959184,0.001151054283812006,9.040097971848497e-06,2.3210445887408423e-07,-11.613840546025054,-11.639850895036627,-11.588489619688598
32,159.98,1.5,116600000.0,3328300.0,23.087756562694803,0.9195351305933772,0.0008292091778687328,5.804634126013901e-06,1.4611246057323448e-07,-12.056853972188515,-12.082347889716665,-12.03199386954095
33,159.99,2.0,58054000.0,1617400.0,23.087223530498225,0.9340583221674396,0.00040843370277063957,2.8014938960065963e-06,7.202840937879987e-08,-12.785357748773858,-12.81140476038128,-12.75997199658385
34,179.94,0.5,14837000.0,428800.0,22.070670286256593,0.9377704530892081,0.00010983143588220831,3.261603227828992e-06,9.373239770541279e-08,-12.63329169579598,-12.662450858162925,-12.604958755126928
35,179.97,1.0,9379600.0,265720.0,22.06920903954802,0.9401170758585244,6.820918851735977e-05,1.0819399603019502e-06,3.0673585008649276e-08,-13.736754868634161,-13.76551504880716,-13.70879876491357
36,179.98,1.5,2832800.0,83428.0,22.068722000308963,0.9408257335937422,2.133437436094857e-05,2.2340904959560867e-07,6.653831584470937e-09,-15.31426144264649,-15.344497147706383,-15.284913168954082
37,179.99,2.0,1632200.0,48327.0,22.068234982566096,0.9412340394608754,1.2359573599695368e-05,9.74564371134336e-08,2.9294372072968833e-09,-16.14386035762353,-16.17438032996253,-16.114244333603743
38,199.93,0.5,950520.0,27675.0,21.138073898706352,0.941471851435375,7.098033157556249e-06,2.282671329407304e-07,6.75820512478e-09,-15.292749258116482,-15.322802942106673,-15.263572507059214
39,199.97,1.0,1754000.0,49364.0,21.13628677713899,0.9419106939336391,1.2637851064147837e-05,2.118341384956335e-07,6.0670587700632e-09,-15.36746223406871,-15.396520988802607,-15.339224100446009
40,199.93,0.5,782690.0,23804.0,21.138073898706352,0.9421065117270362,6.052903986993913e-06,1.900879725500627e-07,5.832270905088682e-09,-15.475778858522181,-15.50694136119986,-15.445558181677958
41,199.97,1.0,1456000.0,41902.0,21.13628677713899,0.9424707153224319,1.0685850833976445e-05,1.7766413311913164e-07,5.181865683402784e-09,-15.543370961667812,-15.572971403233055,-15.514621574993866
42,199.98,1.5,1906100.0,56307.0,21.13584004396255,0.9429475850946689,1.4524602074973929e-05,1.561962801275275e-07,4.717839222136501e-09,-15.672152414628965,-15.702822526378043,-15.642395034469532
43,199.98,2.0,2256200.0,66080.0,21.13584004396255,0.9435121537834497,1.70028211576079e-05,1.3993627689373709e-07,4.184022762576488e-09,-15.782078683000895,-15.812434273252471,-15.752617471854736
44,219.94,0.5,1347100.0,38562.0,20.280273378085138,0.9438492592809079,9.853231702709567e-06,3.3687794296617727e-07,9.795984703012622e-09,-14.903545159243603,-14.933055060562925,-14.874881188498865
45,219.97,1.0,2463100.0,70189.0,20.27903958468527,0.9444654702726388,1.7978409749118776e-05,3.1061276010920976e-07,8.99012122911107e-09,-14.984718844946858,-15.014089141029869,-14.956186607643364
