,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,184000000.0,8110000.0,13.828389684021296,0.04619749428808155,1.552040203073207e-06,3.524481994821159e-08,-13.375940232496736,0.022708702956549094,0.022708702956549094
1,450,0.36667,58800000.0,2760000.0,13.828389684021296,0.06096060659318587,9.412715531020799e-07,5.847987798335645e-08,-13.876034159712448,0.06212859380550553,0.06212859380550553
2,500,0.25,134000000.0,1520000.0,12.934100756644895,0.0946044339551583,4.567355058474857e-06,1.2231076488636188e-07,-12.296576282427129,0.02677934238097185,0.02677934238097185
3,500,0.36667,81700000.0,1650000.0,12.934100756644895,0.1151171257124206,2.559633201463424e-06,6.905640267997216e-08,-12.87564659041681,0.026979022869562094,0.026979022869562094
4,550,0.31667,133000000.0,650000.0,12.148454109214603,0.14850987973587085,6.064885322221711e-06,8.189352928410538e-08,-12.012994923872048,0.013502898230251423,0.013502898230251423
5,550,0.36667,65000000.0,802000.0,12.148454109214603,0.1648296467398127,3.0425739241101627e-06,4.856144926457571e-08,-12.702806715219616,0.015960647292662937,0.015960647292662937
6,600,0.25,100000000.0,496000.0,11.452785890167783,0.18993698059203093,7.77303688661073e-06,7.492546192661444e-08,-11.764849622248134,0.009639149153617889,0.009639149153617889
7,600,0.26667,47700000.0,450000.0,11.452785890167783,0.20191317883953902,3.8393015476645766e-06,4.535352670630343e-08,-12.470220096537398,0.011812962890057881,0.011812962890057881
8,650,0.26667,101000000.0,377000.0,10.832475762335482,0.22727158603027944,8.90388388889308e-06,6.341428176066899e-08,-11.629022984407023,0.007122092173705624,0.007122092173705624
9,650,0.36667,70400000.0,273000.0,10.832475762335482,0.24494714906224108,4.96624878904381e-06,3.187995890493081e-08,-12.21284577365477,0.006419323771145365,0.006419323771145365
10,700,0.31667,122000000.0,271000.0,10.275908133381288,0.2755780963619473,1.0984560476216721e-05,5.259392007898801e-08,-11.419019864196564,0.004787985845483942,0.004787985845483942
11,700,0.38333,91400000.0,364000.0,10.275908133381288,0.2985261995028748,7.498116108634787e-06,3.941900360839708e-08,-11.800858754489736,0.005257187677182324,0.005257187677182324
12,750,0.33333,189000000.0,504000.0,9.773737966085129,0.34597906048356725,2.001713167353925e-05,7.421097154748607e-08,-10.818922067391751,0.003707372902261813,0.003707372902261813
13,750,0.36667,149000000.0,586000.0,9.773737966085129,0.3833889879233724,1.623474987896279e-05,6.931395869049033e-08,-11.028356558813158,0.004269481156608905,0.004269481156608905
14,800,0.3,266000000.0,591000.0,9.318361831989936,0.4501744959702729,4.048433790577774e-05,9.775275999242543e-08,-10.114595377022473,0.002414582158165284,0.002414582158165284
15,800,0.33333,185000000.0,847000.0,9.318361831989936,0.49662306359687663,2.8783422592138216e-05,1.275641200104549e-07,-10.455710940985853,0.0044318607212923055,0.0044318607212923055
16,825,0.25,152000000.0,649000.0,9.106224104175203,0.5347862110522483,3.43496716248402e-05,1.4225341949103176e-07,-10.27891809902603,0.004141332733677728,0.004141332733677728
17,850,0.26667,150000000.0,552000.0,8.903530249744023,0.5724472118305757,3.411491260614153e-05,1.2239267570175506e-07,-10.285775949443051,0.0035876590719954343,0.0035876590719954343
18,875,0.25,132000000.0,380000.0,8.70966337151069,0.6055888925155037,3.6333315567343435e-05,1.0235282480743997e-07,-10.222775453375558,0.0028170516015178972,0.0028170516015178972
19,900,0.25,145000000.0,334000.0,8.524059156970548,0.6419945266012203,4.3611118780958796e-05,9.860757051183174e-08,-10.040198422208928,0.0022610649134478323,0.0022610649134478323
20,925,0.25,177000000.0,437000.0,8.346200392271419,0.6864345075196465,5.9684945158785763e-05,1.4133572033002702e-07,-9.726430744261863,0.002368029658970409,0.002368029658970409
21,950,0.25,189000000.0,337000.0,8.175612148959653,0.733887368500339,7.389178292257877e-05,1.2733004960291406e-07,-9.512908928038414,0.0017231963361382964,0.0017231963361382964
22,975,0.25,189000000.0,286000.0,8.011857549172776,0.7813402294810314,8.844334375993041e-05,1.3056389896943128e-07,-9.33314839445896,0.0014762433600863441,0.0014762433600863441
23,1000,0.25,151000000.0,179000.0,7.854534029768684,0.8192523035978809,8.574692267747699e-05,1.0652115391548921e-07,-9.36411035970531,0.001242273781837642,0.001242273781837642
24,1025,0.25,97000000.0,169000.0,7.703270038131186,0.8436064174345326,6.51726318654262e-05,1.1466092624827923e-07,-9.638470933819399,0.001759341658704846,0.001759341658704846
25,1050,0.25,53900000.0,50006.0,7.557722102558288,0.8571392703808782,4.0756134561439554e-05,4.764135799590067e-08,-10.1079041882226,0.0011689371062430294,0.0011689371062430294
26,1075,0.25,37000000.0,52296.0,7.4175722286095755,0.866428983906199,3.0277897022573396e-05,4.823539657693755e-08,-10.405092582844727,0.0015930893926013458,0.0015930893926013458
