,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,203270000.0,8107200.0,13.828389684021296,0.05081781997694437,2.1441201732783006e-07,1.6465451983169436e-08,-15.355366358351205,0.07679351273484926,0.07679351273484926
1,450,0.36667,53005000.0,2760300.0,13.828389684021296,0.06406915341462793,1.0545136329131123e-07,7.166820515615764e-09,-16.06501600178551,0.06796327986597288,0.06796327986597288
2,500,0.25,129690000.0,1523500.0,12.934100756644895,0.09649185756580575,5.395437333253064e-07,1.56716819506473e-08,-14.432541992836116,0.02904617546766759,0.02904617546766759
3,500,0.36667,82933000.0,1650500.0,12.934100756644895,0.11722523811457304,3.2017166269423427e-07,9.029497970524138e-09,-14.954408539068831,0.02820205228202022,0.02820205228202022
4,550,0.31667,132460000.0,649720.0,12.148454109214603,0.15034044662613918,7.59544578008053e-07,1.1597831926420682e-08,-14.090546822744848,0.015269455226494576,0.015269455226494576
5,550,0.36667,67849000.0,802110.0,12.148454109214603,0.16730280343046694,4.0791230064102584e-07,6.859192611878216e-09,-14.712213635056434,0.016815361049664683,0.016815361049664683
6,600,0.25,101860000.0,496300.0,11.452785890167783,0.19276796377312228,1.0388229898888956e-06,1.1585348641042248e-08,-13.777422226204312,0.011152379908613041,0.011152379908613041
7,600,0.26667,47551000.0,450370.0,11.452785890167783,0.20465578862540587,5.107547722667959e-07,6.630258791118037e-09,-14.487376259647112,0.012981295821656426,0.012981295821656426
8,650,0.26667,100170000.0,377350.0,10.832475762335482,0.22969844630775207,1.1977520310287872e-06,1.040843626300188e-08,-13.635064065481185,0.008689975882622169,0.008689975882622169
9,650,0.36667,68254000.0,272790.0,10.832475762335482,0.24676205374960952,6.649420028846944e-07,5.3010753001962956e-09,-14.22356601380112,0.007972237093158242,0.007972237093158242
10,700,0.31667,122130000.0,270680.0,10.275908133381288,0.2772947460002329,1.5536010608207835e-06,9.973924389872966e-09,-13.374935056594971,0.006419874858094934,0.006419874858094934
11,700,0.38333,91153000.0,364310.0,10.275908133381288,0.3000831394884919,1.0857780987551727e-06,7.144423756341918e-09,-13.733213686285257,0.006580003561070983,0.006580003561070983
12,750,0.33333,189220000.0,503900.0,9.773737966085129,0.34738843734866515,3.025121868043739e-06,1.54720488372884e-08,-12.708559180336358,0.005114520839880655,0.005114520839880655
13,750,0.36667,152180000.0,585710.0,9.773737966085129,0.38543367690241825,2.6321992622789458e-06,1.3713552307471268e-08,-12.847690839814085,0.00520992179581349,0.00520992179581349
14,800,0.3,266910000.0,590530.0,9.318361831989936,0.45216159705810394,6.904345123246918e-06,2.4384847742199187e-08,-11.88335961654974,0.0035318118238463264,0.0035318118238463264
15,800,0.33333,189290000.0,847280.0,9.318361831989936,0.4994843950284675,5.418767045830108e-06,2.607859131480873e-08,-12.125642250709914,0.004812643004256279,0.004812643004256279
16,825,0.25,150670000.0,649160.0,9.106224104175203,0.537152132205258,6.685912394511009e-06,3.015757845424582e-08,-11.915507872877365,0.0045106152570896,0.0045106152570896
17,850,0.26667,151950000.0,552120.0,8.903530249744023,0.5751398713969572,7.226689761985265e-06,2.7311351647114065e-08,-11.837729474219376,0.003779233998777787,0.003779233998777787
18,875,0.25,132310000.0,380320.0,8.70966337151069,0.6082175796724013,7.617566164763597e-06,2.307596116229699e-08,-11.785053640234725,0.0030293089240286406,0.0030293089240286406
19,900,0.25,145250000.0,334030.0,8.524059156970548,0.6445303083173128,9.488139901653757e-06,2.3126790182323946e-08,-11.565467970702334,0.002437441945632885,0.002437441945632885
20,925,0.25,176630000.0,436720.0,8.346200392271419,0.6886880863589702,1.3431148674830055e-05,3.312463508687217e-08,-11.217934020570642,0.0024662548147462372,0.0024662548147462372
