,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450.0,0.3,203000000.0,8110000.0,13.828389684021296,0.050756344543067884,1.8734702431168256e-06,3.155327019008736e-08,-13.187718101882934,0.016842151780106906,0.016842151780106906
1,450.0,0.36667,53000000.0,2760000.0,13.828389684021296,0.06400800100012502,9.048761778307165e-07,5.862160973245295e-08,-13.915467722683761,0.06478412314156405,0.06478412314156405
2,500.0,0.25,130000000.0,1520000.0,12.934100756644895,0.096512064008001,4.553175077983845e-06,1.1880284153954047e-07,-12.299685749027011,0.026092306907764814,0.026092306907764814
3,500.0,0.36667,82900000.0,1650000.0,12.934100756644895,0.11723965495686961,2.636151996671932e-06,6.96854953029609e-08,-12.846190281122992,0.02643455134261487,0.02643455134261487
4,550.0,0.31667,132000000.0,650000.0,12.148454109214603,0.15024378047255907,6.0819883097713525e-06,8.05460690614309e-08,-12.010178890813652,0.013243377816433023,0.013243377816433023
5,550.0,0.36667,67800000.0,802000.0,12.148454109214603,0.16719589948743593,3.2018221698667725e-06,4.935705786269257e-08,-12.651790482137878,0.015415302675834215,0.015415302675834215
6,600.0,0.25,102000000.0,496000.0,11.452785890167783,0.19269908738592323,8.009725630715245e-06,7.533186114272742e-08,-11.73485405081458,0.00940504888879702,0.00940504888879702
7,600.0,0.26667,47600000.0,450000.0,11.452785890167783,0.20460057507188398,3.86841151487333e-06,4.5326849619403696e-08,-12.462666596457911,0.011717173688768711,0.011717173688768711
8,650.0,0.26667,100000000.0,377000.0,10.832475762335482,0.22960370046255782,8.881812773650036e-06,6.234107678065382e-08,-11.631504880617364,0.0070189586708698844,0.0070189586708698844
9,650.0,0.36667,68300000.0,273000.0,10.832475762335482,0.24668083510438804,4.83942189778956e-06,3.1032552562605716e-08,-12.238715286975033,0.00641245033353675,0.00641245033353675
10,700.0,0.31667,122000000.0,271000.0,10.275908133381288,0.2771846480810101,1.1009164787309572e-05,5.20148892445138e-08,-11.416782469570414,0.004724689860621592,0.004724689860621592
11,700.0,0.38333,91200000.0,364000.0,10.275908133381288,0.29998749843730466,7.490470072490309e-06,3.915758276696168e-08,-11.801879002392416,0.005227653590229646,0.005227653590229646
12,750.0,0.33333,189000000.0,504000.0,9.773737966085129,0.3472434054256782,2.0018352253060983e-05,7.366135334005004e-08,-10.818861092506355,0.003679691135856927,0.003679691135856927
13,750.0,0.36667,152000000.0,586000.0,9.773737966085129,0.38524815601950246,1.6563515356890535e-05,6.932803969406097e-08,-11.008308151529906,0.0041855873104389065,0.0041855873104389065
14,800.0,0.3,267000000.0,591000.0,9.318361831989936,0.4520065008126016,4.064707116840901e-05,9.738530180931203e-08,-10.110583774543818,0.002395875004273373,0.002395875004273373
15,800.0,0.33333,189000000.0,847000.0,9.318361831989936,0.49926240780097514,2.942201305029583e-05,1.2752244111029172e-07,-10.43376742058065,0.0043342527546397615,0.0043342527546397615
16,825.0,0.25,151000000.0,649000.0,9.106224104175203,0.5370171271408926,3.414251741744531e-05,1.4236437310058415e-07,-10.284967105254244,0.004169709320492059,0.004169709320492059
17,850.0,0.26667,152000000.0,552000.0,8.903530249744023,0.5750218777347168,3.457571159044717e-05,1.2246348483595618e-07,-10.27235909955663,0.0035418934044380243,0.0035418934044380243
18,875.0,0.25,132000000.0,380000.0,8.70966337151069,0.6080260032504063,3.640456069789275e-05,1.0255309009823572e-07,-10.220816497272052,0.002817039627240219,0.002817039627240219
19,900.0,0.25,145000000.0,334000.0,8.524059156970548,0.6442805350668833,4.370460094705932e-05,9.882157909964041e-08,-10.038057176575055,0.0022611253039318655,0.0022611253039318655
20,925.0,0.25,177000000.0,437000.0,8.346200392271419,0.688536067008376,5.982851698151817e-05,1.416705637694387e-07,-9.724028138074653,0.0023679437652315972,0.0023679437652315972
21,950.0,0.25,189000000.0,337000.0,8.175612148959653,0.7357919739967496,7.409810735086583e-05,1.2769170695743193e-07,-9.510120567812104,0.0017232789273927368,0.0017232789273927368
22,975.0,0.25,188000000.0,286000.0,8.011857549172776,0.7827978497312164,8.822070682634305e-05,1.3091075416753367e-07,-9.33566885123226,0.0014839005362451167,0.0014839005362451167
23,1000.0,0.25,151000000.0,179000.0,7.854534029768684,0.8205525690711339,8.598619405151685e-05,1.068712224725108e-07,-9.361323808882462,0.0012428881595629307,0.0012428881595629307
24,1025.0,0.25,96100000.0,169000.0,7.703270038131186,0.8445805725715715,6.473516489643094e-05,1.1488848341522915e-07,-9.645205997203785,0.001774746130623718,0.001774746130623718
25,1050.0,0.25,53900000.0,50006.0,7.557722102558288,0.8580572571571446,4.084535607875271e-05,4.778739941652071e-08,-10.105717425403258,0.0011699591827375247,0.0011699591827375247
26,1075.0,0.25,37300000.0,52296.0,7.4175722286095755,0.867383422927866,3.060425323971953e-05,4.848860832356221e-08,-10.39437156390274,0.0015843748234520417,0.0015843748234520417
27,1100.0,0.25,37400000.0,57946.0,7.282525579871098,0.876734591823978,3.2928152991462015e-05,5.697990035037085e-08,-10.321182552081263,0.0017304311105802153,0.0017304311105802153
