,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,183700000.0,8107200.0,13.828389684021296,0.04614523741962425,1.7634617893322325e-07,1.503797424987921e-08,-15.550816848016966,0.08527530531621906,0.08527530531621906
1,450,0.36667,58774000.0,2760300.0,13.828389684021296,0.06090920140493179,1.0913134875683241e-07,7.198282052257889e-09,-16.030713645722194,0.06595980104944157,0.06595980104944157
2,500,0.25,133510000.0,1523500.0,12.934100756644895,0.09444676617299948,5.388642924372498e-07,1.6108469666506547e-08,-14.43380207429272,0.02989336998680862,0.02989336998680862
3,500,0.36667,81726000.0,1650500.0,12.934100756644895,0.11497624724733922,3.1007004559424753e-07,8.932392831827537e-09,-14.986467611461043,0.028807661232508466,0.028807661232508466
4,550,0.31667,132880000.0,649720.0,12.148454109214603,0.14835555671015724,7.520664935138748e-07,1.1725578094237431e-08,-14.100441094679688,0.015591145457700286,0.015591145457700286
5,550,0.36667,65044000.0,802110.0,12.148454109214603,0.16469453778104476,3.8641246483950803e-07,6.7145872490193294e-09,-14.766360476226938,0.017376735638712264,0.017376735638712264
6,600,0.25,100150000.0,496300.0,11.452785890167783,0.18985210733779692,1.0078784472898538e-06,1.1501746219757574e-08,-13.807662983592513,0.011411838650469533,0.011411838650469533
7,600,0.26667,47693000.0,450370.0,11.452785890167783,0.20183253634299092,5.058898539711482e-07,6.630857152235135e-09,-14.49694687125357,0.01310731397394917,0.01310731397394917
8,650,0.26667,100990000.0,377350.0,10.832475762335482,0.22720111297340928,1.1953267943762254e-06,1.0553082759705184e-08,-13.637090941869126,0.008828617252918062,0.008828617252918062
9,650,0.36667,70370000.0,272790.0,10.832475762335482,0.24487797937089953,6.809888763063523e-07,5.460694024238244e-09,-14.199719865282212,0.00801877125197222,0.00801877125197222
10,700,0.31667,121590000.0,270680.0,10.275908133381288,0.2754212532840847,1.5399506701922577e-06,1.0023675816865108e-08,-13.383760174394473,0.006509088901928063,0.006509088901928063
11,700,0.38333,91358000.0,364310.0,10.275908133381288,0.2983702821364637,1.0845205354369985e-06,7.194613984544471e-09,-13.734372571462721,0.006633912175434706,0.006633912175434706
12,750,0.33333,189100000.0,503900.0,9.773737966085129,0.3458719936010851,3.0169687219113837e-06,1.5577754322304113e-08,-12.7112579651227,0.0051633794573895725,0.0051633794573895725
13,750,0.36667,148790000.0,585710.0,9.773737966085129,0.3832478775187002,2.56695914371567e-06,1.3622695170599413e-08,-12.872788572167778,0.005306938836151705,0.005306938836151705
14,800,0.3,266130000.0,590530.0,9.318361831989936,0.45009944003630825,6.862671336594612e-06,2.44828011859262e-08,-11.889413784359116,0.003567532231271771,0.003567532231271771
15,800,0.33333,184730000.0,847280.0,9.318361831989936,0.49650341232007084,5.2655713127365105e-06,2.594356411030224e-08,-12.154320906824344,0.004927017899757472,0.004927017899757472
16,825,0.25,152310000.0,649160.0,9.106224104175203,0.5347635163559062,6.726996736922496e-06,3.0137740691709225e-08,-11.90938176399265,0.0044801182266511405,0.0044801182266511405
17,850,0.26667,150480000.0,552120.0,8.903530249744023,0.572563926409826,7.127989676246027e-06,2.7235841679444804e-08,-11.851481316134914,0.003820970977302064,0.003820970977302064
18,875,0.25,132430000.0,380320.0,8.70966337151069,0.6058301963688942,7.593070643346634e-06,2.3044033988991492e-08,-11.788274484030028,0.003034876806945506,0.003034876806945506
19,900,0.25,144710000.0,334030.0,8.524059156970548,0.6421811887858448,9.415721990241752e-06,2.3084042443375274e-08,-11.573129713692628,0.0024516486858149667,0.0024516486858149667
20,925,0.25,177030000.0,436720.0,8.346200392271419,0.6866509295610005,1.341257423872276e-05,3.306195163411034e-08,-11.219317914982868,0.0024649967296105518,0.0024649967296105518
21,950,0.25,188610000.0,337110.0,8.175612148959653,0.7340295535659832,1.7165715855366977e-05,3.086344512597123e-08,-10.972596427562614,0.0017979701741551062,0.0017979701741551062
22,975,0.25,188780000.0,285920.0,8.011857549172776,0.7814508813834936,2.115722737572073e-05,3.2086017912935766e-08,-10.763528990952699,0.0015165511691648463,0.0015165511691648463
23,1000,0.25,150900000.0,179480.0,7.854534029768684,0.8193567949742465,2.0927072901821984e-05,2.6686242794140434e-08,-10.774466883086733,0.001275201884149648,0.001275201884149648
24,1025,0.25,97000000.0,169410.0,7.703270038131186,0.8437230880047503,1.6111847911774127e-05,2.86804544483749e-08,-11.03595566147067,0.0017800847305302551,0.0017800847305302551
25,1050,0.25,53854000.0,50006.0,7.557722102558288,0.8572511534157271,1.0193219768729406e-05,1.192803550841951e-08,-11.493787787259972,0.001170193106697468,0.001170193106697468
26,1075,0.25,36955000.0,52296.0,7.4175722286095755,0.8665342086625546,7.56999475472466e-06,1.2074989150195401e-08,-11.791318183418108,0.0015951119573311514,0.0015951119573311514
27,1100,0.25,37234000.0,57946.0,7.282525579871098,0.875887348401707,8.179497775909287e-06,1.4197034323093158e-08,-11.713879805822573,0.0017356853332617871,0.0017356853332617871
28,1100,0.5,60013000.0,96502.0,7.282525579871098,0.8909625478206722,7.289395657315744e-06,1.2961481212600178e-08,-11.829089915611158,0.0017781283692005175,0.0017781283692005175
29,1100,1.0,91440000.0,93861.0,7.282525579871098,0.9139321749826235,6.657808581895346e-06,9.553908031897611e-09,-11.919720169315548,0.0014349928980952774,0.0014349928980952774
30,1100,2.0167,126550000.0,270980.0,7.282525579871098,0.9457213954260282,6.433726319182029e-06,1.3532152634321159e-08,-11.953956666703993,0.002103314931811027,0.002103314931811027
31,1100,3.1167,109700000.0,296070.0,7.282525579871098,0.9732779144512475,6.399237809410135e-06,1.3796241770776062e-08,-11.959331666970362,0.002155919530055371,0.002155919530055371
32,1100,8.85,92324000.0,141080.0,7.282525579871098,0.9964696014383426,6.436978766375294e-06,4.8358636583896825e-09,-11.953451263582583,0.0007512629501981082,0.0007512629501981082
33,1150,0.26667,1488000.0,5049.9,7.026666198222253,0.9968433853974086,1.1811226494066433e-05,3.9150134301961256e-08,-11.346460080982453,0.003314654436745327,0.003314654436745327
34,1175,0.25,1684700.0,3471.1,6.905362013603563,0.9972665801795579,1.6205379718953165e-05,3.426373356494791e-08,-11.030167289435903,0.0021143431477186813,0.0021143431477186813
35,1200,0.25,1891500.0,3334.8,6.788174999151478,0.9977417228936527,2.1497127131983835e-05,4.058839384837084e-08,-10.747591253527034,0.001888084561214817,0.001888084561214817
36,1225,0.98333,5716900.0,6288.3,6.674899042151987,0.9991778018691794,2.891888281384507e-05,4.648462985558675e-08,-10.451015791646533,0.0016074144411046191,0.0016074144411046191
37,1250,0.58333,1781800.0,3802.8,6.5653415618947575,0.999625388064249,3.792766679160448e-05,1.27717129841019e-07,-10.179829717690843,0.0033673869405879187,0.0033673869405879187
38,1275,0.26667,568740.0,3196.2,6.4593224170784485,0.9997682549250548,5.0686628878731516e-05,3.354614291526271e-07,-9.889848412352597,0.006618341692346976,0.006618341692346976
39,1300,0.3,448980.0,3663.4,6.356672917395035,0.9998810382059294,6.255978627475282e-05,5.600853844957935e-07,-9.679387878057337,0.008952802076976189,0.008952802076976189
40,1550,0.25,470310.0,4278.0,5.485012204152154,0.9999991795592819,0.0005602741736749779,2.4633609207872906e-05,-7.487084298199846,0.043967061780297544,0.043967061780297544
41,1550,0.25,3266.1,719.01,5.485012204152154,1.0,inf,,inf,,
