,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,345320000.0,13773000.0,13.828389684021296,0.086329729802149,6.310684833033464e-07,4.714059253201285e-08,-14.275851448910235,0.07469964636049331,0.07469964636049331
1,450,0.36667,77180000.0,4019300.0,13.828389684021296,0.10562466941216249,2.6508989230982446e-07,1.7288324686650124e-08,-15.14319685221753,0.06521683846943645,0.06521683846943645
2,500,0.25,150500000.0,1767900.0,12.934100756644895,0.14324955165247125,1.0085215044904484e-06,2.8463436881337323e-08,-13.807025156536598,0.028222935013882886,0.028222935013882886
3,500,0.36667,71598000.0,1424900.0,12.934100756644895,0.1611489956301565,4.099916872910864e-07,1.1669179001357882e-08,-14.707128952353386,0.02846198926241396,0.02846198926241396
4,550,0.31667,148440000.0,728100.0,12.148454109214603,0.19825887948232548,1.1930181076354646e-06,2.0099188788894826e-08,-13.639024236727753,0.016847345954145634,0.016847345954145634
5,550,0.36667,61675000.0,729130.0,12.148454109214603,0.21367758122432579,5.029573858202292e-07,9.051879561375197e-09,-14.502760390474922,0.017997309148991378,0.017997309148991378
6,600,0.25,108330000.0,527810.0,11.452785890167783,0.24075999646082177,1.4602340939234808e-06,1.865259547397471e-08,-13.436913796793087,0.01277370221089506,0.01277370221089506
7,600,0.26667,62683000.0,593690.0,11.452785890167783,0.256430697414106,8.855594683688112e-07,1.2476797026484439e-08,-13.937046224023902,0.014089169019294133,0.014089169019294133
8,650,0.26667,158200000.0,595950.0,10.832475762335482,0.2959805736295003,2.557999820820228e-06,2.4757763643036225e-08,-12.876284924854447,0.009678563478201339,0.009678563478201339
9,650,0.36667,124680000.0,498310.0,10.832475762335482,0.3271504760728339,1.7190349506941957e-06,1.445815002401235e-08,-13.273747499778285,0.008410620166956892,0.008410620166956892
10,700,0.31667,253830000.0,562570.0,10.275908133381288,0.39060777746192077,4.939001386441319e-06,3.0866492506206204e-08,-12.218347395692863,0.006249541170598117,0.006249541170598117
11,700,0.38333,189790000.0,758520.0,10.275908133381288,0.43805512895951676,3.7750983021871634e-06,2.246769622666543e-08,-12.48708413528785,0.005951552629410581,0.005951552629410581
12,750,0.33333,326020000.0,868190.0,9.773737966085129,0.5195598738630747,9.452545799673813e-06,3.928576479524541e-08,-11.569226455948543,0.0041561041467369645,0.0041561041467369645
13,750,0.36667,193180000.0,743470.0,9.773737966085129,0.5678547227081434,6.396884160369222e-06,2.815182509612857e-08,-11.959699536090868,0.004400865232254522,0.004400865232254522
14,800,0.3,238320000.0,527290.0,9.318361831989936,0.6274345362331294,1.170037965355979e-05,3.287814580355126e-08,-11.355889267664818,0.0028100067499560346,0.0028100067499560346
15,800,0.33333,142340000.0,637110.0,9.318361831989936,0.6630194248582826,7.479621008510354e-06,3.369956042204855e-08,-11.80332843457297,0.004505517108915679,0.004505517108915679
16,825,0.25,127270000.0,548320.0,9.106224104175203,0.694836825275054,1.014440552172332e-05,4.339595828268878e-08,-11.498588184557864,0.004277821720529635,0.004277821720529635
17,850,0.26667,160710000.0,583930.0,8.903530249744023,0.7350141995264826,1.390072877237501e-05,4.888725590739372e-08,-11.183569289534748,0.0035168843812381704,0.0035168843812381704
18,875,0.25,163010000.0,468560.0,8.70966337151069,0.7757665719782616,1.7968515271294465e-05,4.936186779235701e-08,-10.926889483214717,0.002747131137274034,0.002747131137274034
19,900,0.25,156280000.0,359380.0,8.524059156970548,0.8148364496959722,2.098870587684212e-05,4.572683961331287e-08,-10.771526080303893,0.0021786402592722767,0.0021786402592722767
20,925,0.25,122920000.0,303910.0,8.346200392271419,0.8455663535164292,2.0170724571976957e-05,4.6658324841905755e-08,-10.811278283392166,0.0023131704900045003,0.0023131704900045003
21,950,0.25,79540000.0,141710.0,8.175612148959653,0.8654512912798454,1.5517705313237066e-05,2.6774294782698644e-08,-11.073528907669152,0.0017254029666267327,0.0017254029666267327
22,975,0.25,52453000.0,79618.0,8.011857549172776,0.8785645002376589,1.1544200677594154e-05,1.7584682732204753e-08,-11.369327352929822,0.001523248185241133,0.001523248185241133
23,1000,0.25,47539000.0,56695.0,7.854534029768684,0.8904492130404631,1.1595084362217907e-05,1.4494658986106508e-08,-11.36492931154216,0.0012500692994814892,0.0012500692994814892
24,1025,0.25,51523000.0,90800.0,7.703270038131186,0.9033299227259609,1.40818808335469e-05,2.45743103083078e-08,-11.170621634227603,0.0017451014249293358,0.0017451014249293358
25,1050,0.25,56134000.0,52096.0,7.557722102558288,0.9173633788035522,1.7658140792460775e-05,1.8655080165331765e-08,-10.94431364622067,0.001056457776874032,0.001056457776874032
26,1075,0.25,59509000.0,83455.0,7.4175722286095755,0.9322405822403531,2.234576567666644e-05,3.2230219915010086e-08,-10.708873710036306,0.0014423412641735988,0.0014423412641735988
27,1100,0.25,60838000.0,94311.0,7.282525579871098,0.9474500346372695,2.8617495032480723e-05,4.4752175694230945e-08,-10.461492312737066,0.0015638047859687732,0.0015638047859687732
28,1100,0.5,79551000.0,128760.0,7.282525579871098,0.9673377223920788,2.6768134479307686e-05,4.0118204208419254e-08,-10.528298389849144,0.0014987299260406602,0.0014987299260406602
