,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.416666667,0.167,90.3376,13.828389684021296,-0.004367025787516081,0.06476839215683658,5.810069201470774e-12,2.7534021809010254e-06,-25.871428634383378,,-12.802671144102623
1,450,0.516666667,0.256,49.43,13.828389684021296,-0.005507763893489002,0.03548274520549284,2.5375736425334327e-11,2.219244983835066e-06,-24.397227657299666,,-13.018332082962564
2,500,0.433333333,0.551,54.131,12.934100756644895,-0.006837164981204662,0.03873706042700748,1.5419242162758437e-10,2.1573379729154027e-06,-22.59281980239106,,-13.046564045357169
3,500,0.583333333,0.742,47.2076,12.934100756644895,-0.007412309488403055,0.033527250473355266,2.9701372124841316e-10,2.131143608339096e-06,-21.937242778703407,,-13.058712458478292
4,550,0.216666667,1.14,53.5463,12.148454109214603,-0.00807502269259559,0.03786971467302815,2.088123071767976e-09,2.007775841325918e-06,-19.987000226245442,,-13.11744351758778
5,550,0.316666667,1.51,47.9869,12.148454109214603,-0.008481230390577882,0.03417014933327076,2.9892979330303924e-09,3.7819703598621695e-06,-19.628227282121387,,-12.484475329574147
6,600,0.266666667,2.52,51.9148,11.452785890167783,-0.007805747545940801,0.03669152673182678,9.22993521954986e-09,3.0309415556337964e-06,-18.50081380692325,,-12.703596632672294
7,600,0.4,3.4,50.6579,11.452785890167783,-0.007197678323673709,0.03610524735091742,1.2670009105494344e-08,3.7524811525628537e-06,-18.18402812394793,,-12.489722548336873
8,650,0.383333333,5.42,52.7775,10.832475762335482,-0.004992974390488396,0.03767824016175201,3.190064918213156e-08,2.9366554149736204e-06,-17.26063947682564,,-12.727434897055343
9,650,0.633333333,7.65,53.4096,10.832475762335482,-0.0011166540718109972,0.03806800850854877,4.095629724754239e-08,3.558026383746547e-06,-17.010760259531338,,-12.534859341050648
10,700,0.7,12.2603,54.4698,10.275908133381288,0.005475445989186363,0.03830159585707073,8.96578344247077e-08,2.0758067972442327e-06,-16.227265251703898,,-13.042875609064712
11,700,0.783333333,14.9327,55.0305,10.275908133381288,0.013996074958465946,0.03886934444646278,1.4258086944789948e-07,2.09839241704937e-06,-15.763356493310171,,-13.008600283565809
12,750,0.783333333,19.5745,55.5781,9.773737966085129,0.025603108567216905,0.038995711243563484,2.6175169447655167e-07,2.119600148347193e-06,-15.155869513571822,,-12.94784223034606
13,775,0.533333333,21.9551,56.1136,9.540619186185182,0.03854205973653795,0.03940023318561735,5.796025479803586e-07,2.3540706907444613e-06,-14.360923230408169,,-12.73925525502342
14,800,0.416666667,24.0983,56.4253,9.318361831989936,0.05303457820806938,0.03935700905084929,1.045517362425007e-06,3.6942981038752158e-06,-13.770998711400686,,-12.259512354175417
15,825,0.25,25.3845,56.8474,9.106224104175203,0.06839067958942759,0.03974866302038665,2.2716670877784126e-06,5.182425425394197e-06,-12.994996596108228,,-11.806747345772445
16,850,0.333333333,27.2509,57.1333,8.903530249744023,0.08488841575356515,0.039994179130890886,2.2025417034600404e-06,9.672072877276367e-06,-13.025898544713726,,-11.341107664929327
17,875,0.316666667,28.9479,57.418,8.70966337151069,0.10332202469954913,0.04037772056507721,2.9087856266095674e-06,8.03732136090312e-06,-12.747774874322555,,-11.422526691170756
18,900,0.25,30.2913,57.8999,8.524059156970548,0.12217252136797918,0.04063900354367721,4.478500379277823e-06,9.293679805335448e-06,-12.316222304342581,,-11.192859929171517
19,925,0.316666667,31.632,58.3285,8.346200392271419,0.14198755256417736,0.04109484472012651,4.229074581902942e-06,1.2965690658690604e-05,-12.373527363804664,,-10.970905566944774
20,950,0.266666667,33.1238,58.8016,8.175612148959653,0.1626242346427891,0.0411245446007976,5.957082202092922e-06,1.1154733248460983e-05,-12.030929760169535,,-10.975741371039316
21,975,0.35,35.0631,59.0602,8.011857549172776,0.1847310224533686,0.04115580681643381,5.397411494036267e-06,1.4311945520907101e-05,-12.129591072276648,,-10.834417059607594
22,1000,0.416666667,37.1536,59.5441,7.854534029768684,0.20817250174788102,0.0414552416052045,5.363105192241125e-06,1.191567219202546e-05,-12.135967423715957,,-10.966031550316805
