,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.9,0.5,9.5,0.4,26.80605816914623,0.010138356913390418,0.0004268041995952825,4.984660674325998e-09,5.1566051115368e-09,-19.116900505192262,,-18.40665301562117
1,100.0,1.0,18.2,0.6,26.798874447273217,0.02956123550213004,0.0006388394568921491,1.869703414374334e-08,9.97742351840496e-10,-17.794900927603347,-17.84974120992402,-17.742912388870046
2,100.0,2.0,33.5,0.7,26.798874447273217,0.06532125486364791,0.0007567497811882539,4.112206977075892e-08,1.372236347761837e-09,-17.006720882174264,-17.040660186471275,-16.97389574367318
3,80.0,1.0,3.3,0.2,28.31657935721365,0.06884388010211998,0.00021352306127238272,1.1455330162421984e-08,7.378230977176643e-10,-18.28481069889656,-18.35138725828198,-18.22239125092873
4,80.0,1.0,3.2,0.2,28.31657935721365,0.07225878146780233,0.0002136480491435623,1.168260859649234e-08,7.700975895861834e-10,-18.265164545741932,-18.333355907130006,-18.201327873312245
5,70.0,2.0,2.9,0.2,29.141774734081306,0.07535422779738879,0.0002151036475982812,5.537944201251888e-09,4.021439017261452e-10,-19.011642487861998,-19.087030153805788,-18.941541871530667
6,70.0,2.0,2.6,0.2,29.141774734081306,0.07812799008024196,0.0002129554345212844,5.162506739382256e-09,4.107717946947555e-10,-19.081843573210765,-19.1647560340748,-19.005282350408752
7,70.0,2.0,2.5,0.2,29.141774734081306,0.08079712827887596,0.00021441691244441903,5.139999822764131e-09,4.269213345160498e-10,-19.086212791961024,-19.172924535579284,-19.006423690360116
8,90.0,1.5,9.7,0.4,27.53683051080821,0.09114823883532822,0.0004298149016711158,2.8769638766201317e-08,1.3340297555805237e-09,-17.363945215381097,-17.411424068372362,-17.318618794818015
9,90.0,2.0,12.7,0.4,27.53683051080821,0.1047028592653129,0.00043177484034262313,3.489125516794504e-08,1.3037733697249013e-09,-17.171029607389222,-17.209112404926195,-17.134344060759293
10,100.0,1.5,18.6,0.5,26.798874447273217,0.12455638193823927,0.0005384865577302939,8.09410686708249e-08,2.661458328668234e-09,-16.3295444943387,-16.362978672175473,-16.297192090045925
11,120.0,0.5,25.0,1.7,25.43558438255119,0.15124844717720184,0.0017753337646190474,4.009448241794254e-07,2.9417048826652838e-08,-14.72944201466951,-14.80564221016543,-14.658639417045773
12,119.9,0.5,22.8,0.6,25.442055718102026,0.17558899469725953,0.0006493579386640974,4.435335886242926e-07,1.4337345678819068e-08,-14.628492302722293,-14.661351579850097,-14.59667849537774
13,120.0,0.5,19.5,0.6,25.43558438255119,0.19640540079621488,0.0006398803351763825,4.4100512362645026e-07,1.5647306158770198e-08,-14.63420934336649,-14.670335098787378,-14.599343282931123
