,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.9,0.5,53.5,0.9,26.80605816914623,0.049801934214884935,0.0009215139662315264,1.2023510290123773e-07,4.5385904820779974e-09,-15.933816820032037,-15.972295346510004,-15.89676419342825
1,100.0,1.0,77.0,1.1,26.798874447273217,0.1214816517286725,0.0011706647913192817,3.2069621958842495e-07,9.152065927831692e-09,-14.952771518316704,-14.981724763464964,-14.924633029058944
2,100.0,2.0,100.3,1.3,26.798874447273217,0.21486319482755983,0.0014105694255444595,4.4165531714244517e-07,1.1389687888504037e-08,-14.632736084560346,-14.658863076532104,-14.607274367543955
3,70.0,1.3,5.0,0.3,29.141774734081306,0.21951523220173447,0.0002819916817338355,4.56464202901305e-08,2.9199196657184486e-09,-16.902340649406657,-16.968446485696436,-16.84033513949469
4,70.0,2.0,7.6,0.4,29.141774734081306,0.226589576602653,0.0003750038058253995,4.658908673311068e-08,2.651456958991302e-09,-16.88189951351823,-16.94049471377262,-16.82654849401561
5,90.0,1.0,17.8,0.6,27.53683051080821,0.24315881764788663,0.0005701030470225503,2.325832631765478e-07,9.338050664593365e-09,-15.274017554839634,-15.314995061935061,-15.23465331307903
6,90.0,2.0,30.7,0.6,27.53683051080821,0.2717407457158915,0.0006082527919653979,2.25082713767582e-07,6.59639666976857e-09,-15.306797885551662,-15.336542446349576,-15.277912567374221
7,120.1,0.5,53.9,1.0,25.429116338207248,0.32190587410120375,0.001006199596142872,1.9026528422828678e-06,5.474169771451997e-08,-13.172261412838058,-13.20145466784429,-13.143896285374447
8,120.0,1.0,73.7,1.3,25.43558438255119,0.39051727602039643,0.0012985285223274072,1.6731931989061931e-06,4.744692931321079e-08,-13.3007766621092,-13.329543604775836,-13.272814168806663
9,140.0,0.5,75.3,1.3,24.20428415829602,0.4606208264321878,0.001305131460854054,4.462482263615026e-06,1.2848457087852606e-07,-12.319805385406465,-12.34902018721377,-12.291419916749954
10,140.0,1.0,78.5,1.3,24.20428415829602,0.5337038651572282,0.001316581170812132,3.0134745316883143e-06,8.881383469128656e-08,-12.712416815464927,-12.74233208503575,-12.683370536092921
11,200.0,0.5,172.0,9.4,21.134946634259748,0.6937412202748203,0.0073438428058994155,2.0299751028080007e-05,8.99526458241797e-07,-10.804901936618345,-10.850225916197134,-10.761543457700949
12,200.0,1.0,94.2,1.4,21.134946634259748,0.7814265374117709,0.001450630757763755,8.987788629057732e-06,1.346435968511117e-07,-11.619643720933995,-11.634737791202904,-11.6047740979965
13,250.0,0.5,92.2,1.2,19.114976584153684,0.8672511599704393,0.0012986542087941543,2.7695723414795174e-05,3.8132300817197726e-07,-10.49423254604782,-10.50809650742385,-10.480558168706194
14,250.0,1.0,56.0,1.1,19.114976584153684,0.9193792399369642,0.001086597008155398,1.4037028124809483e-05,2.624487612952271e-07,-11.17381185379441,-11.192685739615547,-11.155287602758808
15,300.0,0.5,45.2,0.8,17.447439588240428,0.9614565396271132,0.0008190641563583696,4.1542751121123534e-05,7.896725775162425e-07,-10.088787513468484,-10.107979174048552,-10.069957247838357
16,300.0,1.0,20.8,0.6,17.447439588240428,0.9808217310313401,0.0005769780390493295,1.964476478236231e-05,5.680363568400516e-07,-10.837699678435444,-10.867041372813734,-10.809194434510196
17,325.0,0.5,7.7,0.3,16.718214494691967,0.9879902109293568,0.00028383026673740885,2.634709701773558e-05,1.1530347904809953e-06,-10.544152459150986,-10.588902217113636,-10.501319760277177
18,325.0,1.0,7.2,0.4,16.718214494691967,0.9946931937575116,0.0003733365170261185,2.2987556973886048e-05,1.2049787905619297e-06,-10.68055748956443,-10.734400073575099,-10.629466411864495
19,350.0,0.5,3.4,0.2,16.047500601781273,0.9978584630373247,0.00018708645994497107,5.1085974845560086e-05,3.870828012521429e-06,-9.882000563288827,-9.960795809372923,-9.808963083902334
20,350.0,1.0,2.0,0.2,16.047500601781273,0.9997208510317025,0.00018681135625391932,5.73275799471684e-05,,-9.766728724612996,,
21,335.0,1.0,0.3,0.1,16.44331168297295,0.9999999730886403,9.364129464323596e-05,inf,,inf,,
