,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.98,0.333333333,3168616.45,81143.27982,26.80031088360625,0.008214961914409461,4.9289151307108885e-09,2.5327310537485165e-10,-19.128146927729922,0.051385162588166236,0.051385162588166236
1,100.01,0.333333333,2780230.448,68690.34832,26.798156286847465,0.01542299343352928,1.2510504805699069e-08,3.6715912460271695e-09,-18.196697161107533,0.293480663094794,0.293480663094794
2,100.01,0.333333333,3041686.215,77008.24208,26.798156286847465,0.023308875744027686,2.2560425292727173e-08,4.039403198905403e-09,-17.607068558866263,0.17904818488539706,0.17904818488539706
3,49.63,2.0,231286.3305,18955.30203,30.980853832331622,0.023908509188580757,3.496621329318912e-10,5.8131443309813593e-11,-21.7740537621608,0.16625032519931662,0.16625032519931662
4,49.63,2.0,228216.5372,21402.78689,30.980853832331622,0.024500183880333495,3.538955516305363e-10,5.99767113553275e-11,-21.762019298222288,0.169475742430192,0.169475742430192
5,49.63,2.0,233188.1421,20954.21774,30.980853832331622,0.02510474796578581,3.7071904439032743e-10,6.093636787078355e-11,-21.71557663296056,0.16437344882294228,0.16437344882294228
6,59.86,1.833333333,523589.5562,30188.44044,30.029128254406775,0.026462207390376483,9.44733355244115e-10,1.362806983914722e-10,-20.780118392013332,0.14425308224272218,0.14425308224272218
7,59.88,1.833333333,527878.6757,28532.99803,30.027324865627723,0.027830786795531186,1.0039259417581562e-09,1.370482077487883e-10,-20.7193475815866,0.13651226853325296,0.13651226853325296
8,59.88,1.833333333,549309.317,25361.69305,30.027324865627723,0.029254927328029295,1.099657958157884e-09,1.4029110174142982e-10,-20.628266652625364,0.12757703493224523,0.12757703493224523
9,69.99,1.5,966656.438,41039.90867,29.14262400186513,0.03176108291605848,2.5320558943182887e-09,3.015070522468244e-10,-19.794234257742932,0.11907598600938461,0.11907598600938461
10,70.0,1.5,1033454.529,43975.64261,29.141774734081306,0.03444041938040365,2.9432636926128097e-09,3.2618312584587207e-10,-19.643746771772516,0.11082361620012071,0.11082361620012071
11,69.99,1.5,1036182.333,40389.22588,29.14262400186513,0.0371268279553446,3.1971754625448964e-09,3.2628778439207434e-10,-19.56099808487619,0.10205501331239258,0.10205501331239258
12,80.0,1.5,2322964.169,61815.97685,28.31657935721365,0.04314934992289698,8.068787513448613e-09,7.091995651891054e-10,-18.635262612117618,0.08789419277766956,0.08789419277766956
