,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.21,0.25,0.0,0.0,26.783801157060214,0.0,0.0,0.0,0.0,-inf,-inf,-inf
1,200.28,0.25,27.71,2.16,21.12244682424012,0.07072283586505013,0.005366549539118592,4.852806180614457e-07,7.375635442898828e-08,-14.538538519388739,-14.703397854697704,-14.397050225566268
2,200.32,0.25,8.41,1.68,21.12066234397111,0.09215249386660157,0.004240278235107993,3.3926630961382704e-07,8.510800328324384e-08,-14.89648046388569,-15.18530851079952,-14.672649957728556
3,300.39,0.25,164.47,6.58,17.43557554834885,0.5118015811605722,0.012261615447023897,3.5131226970003914e-05,2.0728609076944855e-06,-10.256420165737849,-10.317235890195391,-10.199091913537107
4,300.49,0.25,6.82,1.36,17.432536085349696,0.529179550660036,0.0034193734759985126,3.1162330487899446e-06,6.227849449575371e-07,-12.678885641741587,-12.901844024756564,-12.496687549531698
5,350.49,0.25,27.18,2.01,16.034891924828425,0.5985995654442533,0.00503288391750827,1.4518484163672157e-05,1.1952283672137391e-06,-11.140087950458623,-11.225999493556428,-11.060976817199672
6,350.57,0.25,8.11,1.43,16.032835246585005,0.6193080294214317,0.0036108582425640147,5.078917155605975e-06,9.03277875430005e-07,-12.190412477440633,-12.386243090383047,-12.026722995306375
7,400.16,0.25,32.79,2.23,14.851999821776003,0.7029554679667444,0.00555459348968852,2.5069445223389375e-05,1.9025522019429543e-06,-10.593860775141861,-10.672786323399453,-10.520711362548997
8,400.67,0.25,11.99,1.42,14.84075865958268,0.7335263290983686,0.003584623322777749,1.146637654932899e-05,1.4110899023565966e-06,-11.376091583503717,-11.507412027242232,-11.260031560698526
9,450.69,0.25,37.9,2.69,13.815207780725023,0.830226337792455,0.00661510482758979,4.93144542792091e-05,3.876068559151307e-06,-9.917293329639842,-9.999153309709321,-9.841630319621952
10,500.31,0.25,37.96,2.71,12.92891681534921,0.9271211494768371,0.006609375904380725,9.565999593585282e-05,8.679073912564341e-06,-9.254710362197459,-9.349821750445258,-9.167864675031028
11,550.46,0.25,20.55,2.05,12.14166899381989,0.9795290091032058,0.005136408778840499,0.00014528369054834606,,-8.83682224043046,,
12,590.08,0.25,5.55,1.67,11.584398132595021,0.9936720912664998,0.004207346867997064,0.00013995759854164012,,-8.874171048788325,,
13,622.99,0.25,0.65,1.49,11.158970696542951,0.9953408729894463,0.003779599132000849,3.838120591889131e-05,,-10.167942647375694,,
14,1100.0,0.25,1.6,1.6,7.282525579871098,0.9994004999301014,0.004062740276627977,inf,,inf,,
