,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,150.12,1.0,15.33,1.82,23.625581779951332,0.039148973104311764,0.004684097984572296,3.713733555168294e-08,3.9683314412120375e-06,-17.108643024260846,,-12.427849936412441
1,150.09,2.0,6.35,1.5,23.627256402986486,0.05533908067675453,0.0038116264127663873,1.8569031233871222e-08,5.459268802645281e-09,-17.801770631285574,-18.149908660522946,-17.54403353308305
2,150.09,4.0,7.78,1.27,23.627256402986486,0.07520938808457883,0.0032487875474895805,1.5718342992626716e-08,3.3252471697906446e-09,-17.96843746309484,-18.20612630788065,-17.776535266407706
3,170.11,1.0,16.06,1.73,22.560122727067636,0.11624791135188599,0.004482901007446571,2.0619165920710366e-07,3.284264795836258e-08,-15.394459716195723,-15.56795886861739,-15.246658750691063
4,170.06,2.0,15.22,1.68,22.562667809841837,0.15519046874936987,0.004357785471383009,1.4337785161114784e-07,2.139567463603769e-08,-15.757782372514905,-15.919390893253341,-15.618693874079272
5,180.15,1.0,13.53,1.35,22.060445621001545,0.18976975918346314,0.003545843767562388,3.3493957932828786e-07,4.5057713722961735e-08,-14.909315681602271,-15.053792356941143,-14.783101707800695
6,180.12,3.0,33.17,2.13,22.061905707415008,0.2745014376066947,0.005800444148050061,3.9152336451889336e-07,4.135153063640142e-08,-14.753220643809986,-14.864841848991434,-14.652817076429352
7,190.08,1.5,20.2,1.89,21.587548302139325,0.3260898571311781,0.004895060826408654,6.616815454355343e-07,8.127671245535575e-08,-14.228481445941721,-14.359539988989347,-14.112625974303619
8,190.12,3.0,16.21,1.84,21.585684374123083,0.3675445705705598,0.004709609991944206,3.2327205034899587e-07,4.482955324019643e-08,-14.944771607084226,-15.094054272474699,-14.814906840175402
9,200.17,1.0,4.9,1.38,21.12735570016057,0.38010866018565054,0.003548923550745758,3.2622657255544417e-07,9.704879929579601e-08,-14.93567368914702,-15.28876783211518,-14.675242872422691
10,200.12,2.0,8.44,1.4,21.12958776174277,0.4016646534436954,0.003569941659748597,3.00142815305926e-07,5.5330667649930654e-08,-15.019007424546794,-15.222774664761651,-14.849815181326623
11,210.1,2.0,11.33,1.38,20.693222969477496,0.43059881751873896,0.0035951954920539755,4.4330929292595386e-07,6.53405633929116e-08,-14.62899813235184,-14.788454370851879,-14.491505962182138
12,210.13,4.0,8.87,1.56,20.69193842079126,0.4532219985871852,0.003952274271227059,1.9081920267901398e-07,3.675094116545604e-08,-15.471939440024618,-15.685870076160414,-15.295807321486588
13,230.15,2.0,13.86,1.52,19.86886548778065,0.48862873335738827,0.00395317372412854,6.625512861882171e-07,9.124236119362774e-08,-14.227167868967985,-14.375335749082481,-14.098147183607304
14,230.15,4.0,7.43,1.38,19.86886548778065,0.5076052175392094,0.0035071313923133876,1.955857259961325e-07,3.972147435560922e-08,-15.44726705748843,-15.67428039031635,-15.262373940951402
15,250.18,2.0,7.84,1.42,19.108401964343724,0.5276529372104711,0.0036350405243148714,4.4228009922376414e-07,8.84369920167684e-08,-14.6313224469262,-14.854412222035014,-14.44903674254251
16,250.2,4.0,5.81,1.22,19.10767173019968,0.5425102736676259,0.0031092401452054554,1.7427785091098074e-07,3.950863256565836e-08,-15.562614967016138,-15.81970201509815,-15.35828806076257
17,280.13,2.0,13.74,1.68,18.074031231925968,0.5776164708626458,0.004295956750770587,9.009363297067591e-07,1.347855125037789e-07,-13.91983124808726,-14.081886797287044,-13.780411942252202
18,280.08,4.0,13.76,1.45,18.07566473257054,0.6127668481486648,0.0037731290095091236,5.113833823812934e-07,7.182575160269063e-08,-14.48614626898315,-14.637497000366283,-14.3547199945365
19,310.18,2.0,20.59,1.68,17.142955102600588,0.6653482424657605,0.0044666637293335485,1.7987223453014375e-06,2.3173143417220896e-07,-13.22843395326111,-13.366353394780008,-13.107251253204655
20,310.19,4.0,17.8,2.32,17.14266122672884,0.7108446179241711,0.005831017436155341,9.382464527568785e-07,1.5433673482868836e-07,-13.879253179639862,-14.058971978930769,-13.72696576863241
21,350.17,2.0,29.0,1.91,16.043123917089137,0.7849492087252093,0.005209651364936395,3.954675763419769e-06,5.801927559464559e-07,-12.440611941541533,-12.599268428344361,-12.303714467239464
22,350.11,4.0,5.88,2.57,16.044668356705067,0.7998970779631398,0.006539739774985263,4.938076792785868e-07,2.2878002352194675e-07,-14.52111970876179,-15.143431655059644,-14.14042703636753
23,350.12,6.0,5.79,1.42,16.044410929452727,0.814685944455297,0.0035949948653450133,3.513034043249268e-07,1.0334357455875016e-07,-14.861615587072775,-15.209999080650368,-14.603744589724144
24,350.05,8.0,2.94,1.55,16.046213093709884,0.8221937373444146,0.003914165803202553,1.4253824758169932e-07,7.9979958571111e-08,-15.763655469169537,-16.587167090658358,-15.318256913281743
25,375.17,2.0,0.91,1.25,15.424481737413624,0.8245101020088608,0.003199209320793138,1.816889862786047e-07,2.6193391588071953e-07,-15.520969478248778,,-14.628290954851288
26,375.17,4.0,3.17,1.39,15.424481737413624,0.8326051163237315,0.003556207758806395,3.2675812106539143e-07,1.586212883518901e-07,-14.934045630687,-15.598487708614844,-14.538334964377963
27,375.02,6.0,3.02,1.24,15.428051282842466,0.840302752852558,0.003173336689034842,2.18204031349771e-07,1.0119189699627057e-07,-15.33783528823795,-15.960988195103337,-14.956834349067538
28,400.14,2.0,0.0,1.3,14.852440998678134,0.8402854316576608,0.003302968494629106,0.0,3.015434072590377e-07,-inf,,-15.014351860133585
29,600.21,0.5,19.09,2.86,11.450032060089768,0.888989519938285,0.0071107688920045015,2.0530587568841124e-05,5.472233386938083e-06,-10.793594707331232,-11.10357762563465,-10.557305527529106
30,768.92,0.5,0.94,1.25,9.596284318711795,0.8913754593336093,0.003182991551702028,1.2571672954690393e-06,1.825690004945016e-06,-13.586649546146727,,-12.689653696082168
31,1100.0,0.25,42.7,10.0,7.282525579871098,1.0,0.022919380547626628,inf,,inf,,
