,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,150.04,0.5,3.26,1.36,23.63004796899738,0.008327810108185618,0.0034839879328671932,3.358171904495759e-09,7.759243760323256e-06,-19.511869087077304,,-11.766192979424998
1,150.07,1.0,3.96,1.32,23.62837295023865,0.01848829383494743,0.0033985684520116866,6.5568341193730295e-09,3.5866322612548187e-09,-18.842757954235196,-19.634635920744998,-18.406436045068578
2,150.04,2.0,4.5,1.46,23.63004796899738,0.029993055810247003,0.003758377934562202,6.732869872317678e-09,3.1104963147626693e-09,-18.816264354420223,-19.436136347089615,-18.436468092199476
3,170.15,0.5,3.46,1.2,22.558087074216107,0.038844353399848715,0.003078836714305585,2.9410073002280702e-08,1.3025713519382726e-08,-17.34192860215711,-17.92693864723517,-16.97527380895721
4,170.03,1.0,6.12,1.41,22.564195135159533,0.05451443272287809,0.0036613714129925617,3.527312844786935e-08,1.1262951813536317e-08,-17.160144396664116,-17.544788070041726,-16.883037905622967
5,180.17,0.5,4.12,1.23,22.059472337421692,0.06507812738975016,0.003169502631644287,6.082299112476309e-08,2.195360418204104e-08,-16.61529797595313,-17.063058864197345,-16.307120480889346
6,180.1,0.75,4.5,1.46,22.062879205736348,0.0765683745202487,0.003757562949743729,5.245998151834717e-08,2.0147602728433172e-08,-16.763215214807648,-17.247815435867345,-16.438196454362778
7,190.36,0.25,0.02,1.68,21.574507561864902,0.076589712573952,0.004291826076048406,7.565966735785693e-10,6.4768087996672e-08,-21.002190800278314,,-16.54083890010639
8,190.17,0.5,2.18,1.74,21.583354916688254,0.08216057221738575,0.004426022528368443,4.274998715577884e-08,3.677663222425268e-08,-16.967896942013304,-18.935957102305384,-16.347174036361892
9,200.33,0.25,2.11,1.56,21.120216271014613,0.08753742138091361,0.003971835742437726,8.84751080905473e-08,7.160218545684422e-08,-16.240544589008397,-17.897555710953604,-15.647609053689221
10,200.17,0.5,9.2,2.14,21.12735570016057,0.11108016365601846,0.005526652150523431,2.4512172354897493e-07,7.585766452493038e-08,-15.221510918969106,-15.591805861992082,-14.95188892748582
11,200.18,0.5,6.31,1.48,21.126909344432004,0.12724904582341917,0.003838496299991064,2.0518023121850838e-07,5.953270558872272e-08,-15.399377067381796,-15.742076342152245,-15.144619855438675
12,240.4,0.25,40.87,2.81,19.472300652322073,0.23182083787456123,0.008601308196445443,4.254924484512758e-06,6.5067765328423e-07,-12.367433543566987,-12.533397732431165,-12.225132712481955
13,240.2,0.5,33.38,2.59,19.479887016655308,0.3172572088821616,0.007664731893296053,2.915556179609416e-06,4.403440753990985e-07,-12.745449957181764,-12.909184466944707,-12.604790491192984
14,260.41,0.25,12.07,2.01,18.742034635280007,0.3480956569387278,0.0053022943757335015,2.7182327847478856e-06,5.823521890299659e-07,-12.815528600300091,-13.056631539309961,-12.621410840420218
15,260.21,0.5,10.31,1.88,18.74906254687266,0.3744807244070333,0.0048941042165011025,1.304167997892594e-06,2.956825734824634e-07,-13.549945270018318,-13.807060932398153,-13.345600325970516
16,280.45,0.25,5.37,1.54,18.063583815028906,0.38819146286420664,0.003943688019327865,1.4694525549016409e-06,4.670164979921198e-07,-13.4306206381676,-13.81307746343135,-13.154644319067527
17,280.22,0.5,5.72,2.38,18.071091674648066,0.40277168594757207,0.0060453993868752765,8.264042448633702e-07,3.628079914833325e-07,-14.006181782581848,-14.584251807092336,-13.642219456313766
18,300.45,0.25,1.44,1.34,17.433751743375176,0.40649589306162287,0.0033998006429331257,4.307362988801761e-07,4.0882531798576243e-07,-14.657769769635246,-17.636277915084477,-13.99038596602167
19,1100.0,0.25,232.8,20.0,7.282525579871098,1.0,0.023927120102809115,inf,,inf,,
