,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,0.5,15328869.21,294739.3074,26.798874447273217,0.01999900814948979,0.0003830416975089754,1.9395224298832633e-08,7.032027363081709e-09,-17.758238971345243,-18.208541766601684,-17.448870099287053
1,100.0,1.0,23133026.66,406315.1979,26.798874447273217,0.050178981906096244,0.0005225584936684474,5.1355238808809575e-08,1.3790935473483006e-09,-16.78449888418252,-16.81172004013496,-16.757999125653377
2,100.0,2.0,34378290.21,570659.281,26.798874447273217,0.09504353221263241,0.0007256954166823185,7.895909085282757e-08,1.7788803486212558e-09,-16.354335955909413,-16.377122753395643,-16.332056849389353
3,69.96,1.333333333,2394381.977,87759.26684,29.14517210224127,0.09816660120141625,0.0001143574465808339,1.0974387525593902e-08,4.700359071721844e-10,-18.327701685866426,-18.37147622578972,-18.285763262026574
4,69.99,2.666666667,5145742.63,125173.3813,29.14262400186513,0.1048798863259215,0.00016298623606509857,1.3478173468858646e-08,3.6474804923868277e-10,-18.122194239985944,-18.149629290338154,-18.09549181668567
5,69.99,4.0,7317832.422,154190.6101,29.14262400186513,0.11442771427456638,0.00020171926977953064,1.3900708895517683e-08,3.3415247050046575e-10,-18.091325998432673,-18.115658159119093,-18.067571855215842
6,90.0,2.0,15032555.64,271381.5131,27.53683051080821,0.13404535559608413,0.00035354635280876516,6.555825258578572e-08,1.398173430747966e-09,-16.540326737090034,-16.561884639675732,-16.519223787092105
7,90.0,3.0,21158889.76,371448.6072,27.53683051080821,0.16165130756497675,0.00048090932690948187,7.48029609843081e-08,1.5353259534305637e-09,-16.408408367397747,-16.429146866750393,-16.388091229784976
8,100.0,3.0,37943119.28,648383.2106,26.798874447273217,0.21116634428097544,0.0008211625800677076,1.7548675985382058e-07,3.4792275216370764e-09,-15.555702239314787,-15.575727568462854,-15.536070063822978
9,119.99,1.0,39217318.39,647594.3487,25.436231367960524,0.2623367223828868,0.0008239214012406655,7.262893311480567e-07,1.355644143208898e-08,-14.135317373760563,-14.154159115452346,-14.116824087901946
10,119.99,2.0,55298259.15,895179.2821,25.436231367960524,0.33449668948653355,0.001113172660271672,6.897963667373945e-07,1.222196103127874e-08,-14.186869403582223,-14.204746466302295,-14.169306325328824
11,120.0,3.0,52344351.73,850109.2779,25.43558438255119,0.4027923205418971,0.001053633028561626,5.834395388150146e-07,9.993172422918014e-09,-14.354325008729036,-14.371601424554775,-14.337342005502968
12,139.98,1.0,37798595.21,628753.3208,24.205455909762062,0.4521119915024759,0.0007980435383793576,1.579447192723377e-06,2.7344948701787914e-08,-13.358435650170174,-13.375900259493275,-13.341270825296517
13,139.99,2.0,41124878.23,675036.3011,24.204870019847995,0.505775807867488,0.0008512320230051819,1.035855401124848e-06,1.734542465728239e-08,-13.780282998072183,-13.797169806072182,-13.763676625254938
14,139.99,3.0,31037661.58,525576.1793,24.204870019847995,0.5462790152344674,0.0006724388496465593,6.156378592220797e-07,1.0663918726883497e-08,-14.300606937161737,-14.31808045340492,-14.283433508605464
