,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,255238109.6,4538054.741,26.801029159519725,0.09011563684305067,4.134593725362611e-07,1.3988280272019141e-08,-14.698706579942755,0.033832296958735276,0.033832296958735276
1,99.97,0.5,119141426.8,2142558.564,26.801029159519725,0.1321803017447676,4.978333481004853e-07,1.7498744903195104e-08,-14.513000458295513,0.03514980458814717,0.03514980458814717
2,99.97,0.5,91297005.74,1646689.208,26.801029159519725,0.1644140768147102,5.258986365455756e-07,1.4898355112769284e-08,-14.458157348966044,0.028329328272518082,0.028329328272518082
3,99.98,0.5,77552049.92,1405726.892,26.80031088360625,0.1917949893985607,5.515155163573034e-07,1.3997063415502013e-08,-14.410595863821245,0.025379274019253363,0.025379274019253363
4,99.98,0.5,66306294.82,1215479.434,26.80031088360625,0.21520541973661464,5.520508408065679e-07,1.3175320174701111e-08,-14.409625692000079,0.023866135509279275,0.023866135509279275
5,99.97,0.5,58690564.98,1076757.412,26.801029159519725,0.23592700260736926,5.535725670273384e-07,1.2651387460782098e-08,-14.406872987650877,0.022854072283096542,0.022854072283096542
6,99.97,0.5,53858325.28,991632.281,26.801029159519725,0.2549424908881498,5.640126716622945e-07,1.2532448624175705e-08,-14.388189118214404,0.022220154357949558,0.022220154357949558
7,49.51,2.0,2729189.2,114926.8364,30.99237587553462,0.2559060720054391,7.512200653135446e-09,3.286281481033515e-10,-18.706737384383413,0.043745922570131095,0.043745922570131095
8,49.53,2.133333333,2832309.587,175189.0737,30.99045493987852,0.25690606131960997,7.344416183682611e-09,4.62532225050788e-10,-18.729325515342477,0.06297739854100518,0.06297739854100518
9,49.78,4.333333333,4734197.467,144688.0617,30.966463320224204,0.2585775406310187,6.083641867673469e-09,1.9918786512416934e-10,-18.917662328898412,0.03274155012026432,0.03274155012026432
10,59.84,2.0,7092583.89,177313.7637,30.03093185981561,0.26108168358644085,1.9951221930799945e-08,5.503242538167303e-10,-17.729975445822067,0.02758348615064827,0.02758348615064827
11,59.89,3.0,10486832.56,230440.4622,30.02642325246217,0.2647842168644527,1.9966161542672433e-08,4.954571546597731e-10,-17.729226919176778,0.02481484253249496,0.02481484253249496
12,69.98,2.0,17286615.38,356606.5669,29.14347331915018,0.2708875152953606,5.0551370733634975e-08,1.1899522499235907e-09,-16.80027577545519,0.02353946555067084,0.02353946555067084
13,69.99,3.0,24888485.11,486823.5938,29.14262400186513,0.279674767674174,5.0268435020650564e-08,1.1293880847238367e-09,-16.805888491203536,0.02246714233812685,0.02246714233812685
14,69.99,4.333333333,34075967.96,651359.958,29.14262400186513,0.2917057984578262,5.0010077890133276e-08,1.0948835456625893e-09,-16.811041294025646,0.021893258156244624,0.021893258156244624
15,79.98,1.0,17730819.31,360733.4741,28.31818310537196,0.29796592973827546,1.1753637192083838e-07,2.6846797966604008e-09,-15.956518002999921,0.022841268220092352,0.022841268220092352
