,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,28215284.96,506358.071,26.801029159519725,0.017350460835685498,1.4728871685916614e-08,5.336961962356007e-10,-18.03345620913989,0.0362346965617134,0.0362346965617134
1,99.97,0.5,26127886.61,475596.6217,26.801029159519725,0.03341731516619149,4.037963553911571e-08,5.91955545689262e-09,-17.024940249879677,0.14659754546715392,0.14659754546715392
2,99.97,0.5,25555809.28,455649.0252,26.801029159519725,0.04913238126123503,6.50362837309963e-08,5.845927744218781e-09,-16.54832051154662,0.08988717387971865,0.08988717387971865
3,99.96,0.5,23907082.45,436008.4822,26.801747473935304,0.0638335936832353,8.429572384294236e-08,5.5682882646376705e-09,-16.28893469869443,0.06605659232504324,0.06605659232504324
4,99.98,0.5,22522095.43,404780.4577,26.80031088360625,0.07768313428683961,1.006704435922601e-07,5.350477620495317e-09,-16.111413589815065,0.05314844585533028,0.05314844585533028
5,49.51,2.0,1366205.029,53128.25245,30.99237587553462,0.0785232564717754,1.6953170012115613e-09,1.0043390853343243e-10,-20.19539609223656,0.059241963869681696,0.059241963869681696
6,49.52,2.0,1222619.164,52191.3686,30.991415377940314,0.07927508321929944,1.533640302071756e-09,9.426283273218044e-11,-20.2956216451529,0.06146345567786864,0.06146345567786864
7,49.68,3.0,1908859.081,65483.43665,30.976055509091474,0.08044890034617537,1.6171062643638793e-09,8.978012894144054e-11,-20.242627541526243,0.055519003865065926,0.055519003865065926
8,49.79,4.333333333,2701629.882,79016.77221,30.965504428067135,0.08211021702352282,1.6145654577436304e-09,8.375437328182293e-11,-20.244199982889267,0.0518742506722957,0.0518742506722957
9,59.9,3.0,4584892.148,132417.0025,30.025521693439426,0.08492961054595194,4.074746277132252e-09,2.0672987167922993e-10,-19.318457355472454,0.05073441574495368,0.05073441574495368
10,59.93,4.333333333,7130660.489,150899.4044,30.022817341179298,0.08931447661136149,4.590725420363551e-09,2.0705253797387133e-10,-19.19922778170935,0.04510235725609447,0.04510235725609447
11,69.98,2.0,8005431.361,170057.6272,29.14347331915018,0.09423726663452484,1.1810478931084698e-08,5.110211490132457e-10,-18.254278654546294,0.04326845270163083,0.04326845270163083
12,69.99,3.0,11576669.88,228435.2949,29.14262400186513,0.10135612287309745,1.2196628334664624e-08,4.928752310424427e-10,-18.22210628941442,0.04041077726715819,0.04041077726715819
13,69.99,4.333333333,16479609.3,319380.1822,29.14262400186513,0.11148994984498171,1.3179328871639113e-08,4.965084869211897e-10,-18.144616229378002,0.03767327545711658,0.03767327545711658
14,79.99,1.0,8417344.707,170571.3708,28.317381208585832,0.11666603826252957,3.147792821380936e-08,1.1352107350376976e-09,-17.273979228339034,0.03606370556940532,0.03606370556940532
15,79.99,2.0,17344044.1,325500.9844,28.317381208585832,0.12733143321835114,3.492843360117362e-08,1.1744886100120265e-09,-17.169964623073252,0.03362557346323606,0.03362557346323606
16,79.99,3.0,24371365.01,450266.8927,28.317381208585832,0.1423181475016791,3.6580850694101433e-08,1.1424963101607889e-09,-17.123740938537825,0.03123208696579091,0.03123208696579091
17,90.0,1.0,17150530.12,314601.1299,27.53683051080821,0.15286454466123856,8.552105563465805e-08,2.4992625364115652e-09,-16.274503226589037,0.029223943949994,0.029223943949994
18,90.0,1.0,16777605.58,319247.2769,27.53683051080821,0.16318161886215665,9.043931169374347e-08,2.574819382394411e-09,-16.218586800205326,0.028470134659069227,0.028470134659069227
19,90.0,1.5,24720900.39,446605.4245,27.53683051080821,0.17838327337841065,9.716854125443956e-08,2.59002770382157e-09,-16.146818827511552,0.026655002435813903,0.026655002435813903
20,90.0,2.0,30125376.22,534838.0927,27.53683051080821,0.19690830904636167,9.915880807121947e-08,2.494571032144956e-09,-16.126543150109637,0.025157331765759672,0.025157331765759672
21,99.97,0.5,15392961.82,301184.2435,26.801029159519725,0.20637392251018938,2.2072235269946852e-07,5.643899287416212e-09,-15.326360247890364,0.025570130158502076,0.025570130158502076
22,119.96,0.5,58938037.84,1018429.91,25.438172521686045,0.2426167645982556,9.629849418109746e-07,2.205815200202225e-08,-13.85322806201927,0.02290601965233229,0.02290601965233229
23,119.98,1.0,105273169.2,1770886.735,25.436878386284434,0.30735252756653764,1.111411731260017e-06,2.312480656070198e-08,-13.709879520766684,0.020806696483656142,0.020806696483656142
24,119.99,1.5,125475267.5,2094174.626,25.436231367960524,0.3845111923715274,1.2042522780221833e-06,2.2987661381410557e-08,-13.629651699785652,0.019088742285100418,0.019088742285100418
25,119.99,2.0,128505083.1,2152548.11,25.436231367960524,0.4635329855121579,1.2514611649149228e-06,2.2618496205445853e-08,-13.591198757387113,0.01807367007427954,0.01807367007427954
26,139.98,1.0,166613661.5,2782497.417,24.205455909762062,0.5659889349255396,4.510133376390934e-06,7.526551574255744e-08,-12.30918383140783,0.016688090896945017,0.016688090896945017
27,139.99,1.5,155262634.1,2596006.088,24.204870019847995,0.6614647827157162,3.990331770751663e-06,6.289420173948398e-08,-12.431636179954992,0.015761647239581917,0.015761647239581917
28,139.99,2.0,112447113.9,1881142.59,24.204870019847995,0.7306120285639757,2.9607549173951946e-06,4.622395820641814e-08,-12.730066282484852,0.015612220361381664,0.015612220361381664
