,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,0.5,61792638.69,827872.8216,26.798874447273217,0.02260380239374223,2.506825600015319e-08,6.680793465532284e-10,-17.50166349240726,0.026650411841539587,0.026650411841539587
1,100.01,0.5,42102271.69,580265.6865,26.798156286847465,0.038004850961723485,4.638581804672958e-08,3.076861830589797e-09,-16.88627206997794,0.06633195144882716,0.06633195144882716
2,100.0,0.5,35905836.68,502584.6295,26.798874447273217,0.05113923807162442,5.884849279018716e-08,2.6914291897526134e-09,-16.648299614609943,0.045734887371684775,0.045734887371684775
3,100.01,0.5,33557312.75,461994.0875,26.798156286847465,0.06341453303145528,7.141589055349415e-08,2.585765318480611e-09,-16.45474543559133,0.03620714239422305,0.03620714239422305
4,100.0,0.5,30244499.52,424824.0669,26.798874447273217,0.07447799795447606,7.823434500732159e-08,2.4182823958056347e-09,-16.36355709134578,0.030910751481070354,0.030910751481070354
5,100.01,0.5,27901391.33,395320.3318,26.798156286847465,0.08468435180995329,8.405609528584843e-08,2.316281643170222e-09,-16.291781459960973,0.027556379288060838,0.027556379288060838
6,100.0,0.5,26040293.41,413539.2553,26.798874447273217,0.09420991438493301,8.892005581389839e-08,2.3370748308042734e-09,-16.235528120163945,0.02628287633664512,0.02628287633664512
7,49.67,2.0,1762528.59,54895.2458,30.977015054829316,0.09485464891652583,1.5970292063002306e-09,5.860851964781956e-11,-20.25512067965269,0.036698464509359485,0.036698464509359485
8,49.68,2.133333333,1758039.077,53790.44166,30.976055509091474,0.09549774118025554,1.504410714270687e-09,5.439357130653757e-11,-20.314864567401674,0.03615606482363206,0.03615606482363206
9,49.84,4.333333333,3622875.648,155625.8019,30.960710857921296,0.096822992326356,1.543355527352725e-09,7.274017089308795e-11,-20.289306877045657,0.04713118241644371,0.04713118241644371
10,59.91,2.0,3891538.635,84876.34859,30.02462018855462,0.09824652063293063,3.6475935780919897e-09,1.0497709993511695e-10,-19.429198180455085,0.028779823652949062,0.028779823652949062
11,59.94,3.0,5884814.834,117588.5282,30.021915998679038,0.10039919115245362,3.7505172431034486e-09,1.0199612285681541e-10,-19.401372074981513,0.027195215018506743,0.027195215018506743
12,70.01,2.0,9093770.377,161627.763,29.140925515794386,0.1037257004741706,8.954625745625213e-09,2.2620486840417769e-10,-18.531095595090417,0.025261230879994087,0.025261230879994087
13,69.98,3.0,13561606.61,223770.3347,29.14347331915018,0.1086865482782589,9.297846893323427e-09,2.2197050956065778e-10,-18.493482980438305,0.023873323803605517,0.023873323803605517
14,90.0,1.0,19906434.81,305544.233,27.53683051080821,0.11596833990179689,4.3537629927209976e-08,9.75080281471999e-10,-16.94964021699897,0.022396264635953397,0.022396264635953397
15,90.0,1.0,18628581.12,279376.3225,27.53683051080821,0.12278269150482078,4.3569667183379604e-08,9.3184510863054e-10,-16.94890463551092,0.02138747364556432,0.02138747364556432
16,90.0,1.5,27339618.42,386171.1292,27.53683051080821,0.13278354832833758,4.597636217623721e-08,9.224201850050097e-10,-16.895138438265533,0.020062922365827383,0.020062922365827383
17,90.0,2.0,35351112.7,490045.6225,27.53683051080821,0.14571501691116454,4.909442240778999e-08,9.3526699739266e-10,-16.829520405181206,0.01905037174333388,0.01905037174333388
18,100.01,0.5,16554820.95,254487.2226,26.798156286847465,0.15177078519280196,9.907922457132784e-08,1.933932526311923e-09,-16.127346058644456,0.019519051896895612,0.019519051896895612
19,119.98,0.5,58653090.05,797353.3075,25.436878386284434,0.17322613789142563,3.884962333697741e-07,6.858698735688147e-09,-14.760982362501606,0.017654479365723934,0.017654479365723934
20,119.99,1.0,100061864.0,1320187.216,25.436231367960524,0.20982885706566823,4.0164997507175837e-07,6.5666453730598405e-09,-14.727684836391179,0.016349174108343092,0.016349174108343092
21,119.99,1.5,124056457.5,1604603.295,25.436231367960524,0.2552088199616609,4.198088194722846e-07,6.338155352676597e-09,-14.68346642103286,0.015097718434414731,0.015097718434414731
22,120.0,2.0,112369827.6,1452977.227,25.43558438255119,0.29631380320783407,3.537621750114482e-07,5.081210928779647e-09,-14.854640971587722,0.01436335280507367,0.01436335280507367
23,139.98,1.0,154590649.2,1996452.631,24.205455909762062,0.3528632006848934,1.210257801430407e-06,1.6648103353625295e-08,-13.624677162016082,0.013755832297836754,0.013755832297836754
24,139.99,1.5,131645592.6,1701731.888,24.204870019847995,0.4010192759751213,8.491016314369264e-07,1.1355009452929682e-08,-13.979086950570984,0.013372968597073251,0.013372968597073251
25,139.99,2.0,85522227.09,1124482.797,24.204870019847995,0.4323033829884693,4.809723004101323e-07,6.4918900073945265e-09,-14.547456156003797,0.013497430105348674,0.013497430105348674
26,159.96,0.5,39670509.11,551664.9755,23.08882270093048,0.4468148906339051,9.707826465464678e-07,1.3884405615500917e-08,-13.845163238669402,0.014302280397053144,0.014302280397053144
27,159.97,1.0,61164967.37,829110.7747,23.088289619504987,0.4691890902984828,8.003541193096351e-07,1.1074260325628984e-08,-14.038211558081668,0.013836700603454577,0.013836700603454577
28,159.99,1.5,45963847.96,631870.8608,23.087223530498225,0.486002706913175,4.301613931028166e-07,6.039392679217853e-09,-14.65910536588129,0.01403982964546129,0.01403982964546129
29,159.99,2.0,41129712.66,590659.8835,23.087223530498225,0.5010479925198,3.055472846219967e-07,4.466686533337317e-09,-15.001161292498201,0.014618642541245988,0.014618642541245988
30,179.96,0.5,20271655.73,300730.2042,22.0696961002847,0.5084633822818988,6.268230124363275e-07,9.50808781882348e-09,-14.282601612977155,0.015168696155343065,0.015168696155343065
31,179.98,1.0,36691511.58,510545.2722,22.068722000308963,0.5218851699715745,5.886256543157352e-07,8.351258558955076e-09,-14.345475416782996,0.014187724401280532,0.014187724401280532
32,179.99,1.5,34258834.88,468914.477,22.068234982566096,0.534417082352793,3.835985737669275e-07,5.358872332937373e-09,-14.773669211965606,0.013970000671048888,0.013970000671048888
33,179.99,2.0,38419705.76,526308.3253,22.068234982566096,0.5484710450162339,3.3817126203972414e-07,4.715505898403301e-09,-14.899713377363435,0.013944135495018445,0.013944135495018445
34,199.94,0.5,20461757.75,304824.3432,21.137627089982878,0.5559559742669486,7.483461462957006e-07,1.1368141764072838e-08,-14.105400203586036,0.015191020653136156,0.015191020653136156
35,199.97,1.0,37303819.17,514660.9689,21.13628677713899,0.56960174461964,7.082437883235587e-07,9.933246796075727e-09,-14.160477468731628,0.014025180255499477,0.014025180255499477
36,199.98,1.5,41788589.69,570300.7162,21.13584004396255,0.5848880480320042,5.568825602647023e-07,7.708632605695577e-09,-14.400911462580583,0.013842474438473064,0.013842474438473064
37,199.99,2.0,43788589.69,570300.7162,21.135393329669867,0.6009059532297247,4.6288469912232185e-07,6.122565750110971e-09,-14.585787843846676,0.013226978039498821,0.013226978039498821
38,219.93,0.5,21913971.61,320449.7612,20.28068467591466,0.608922103606787,9.67531776780791e-07,1.4407417024004783e-08,-13.848517568363961,0.014890898025015463,0.014890898025015463
39,219.97,1.0,33761273.15,472687.3047,20.27903958468527,0.6212720074630089,7.734409659570071e-07,1.0988754341456816e-08,-14.072416490522,0.014207618713161934,0.014207618713161934
40,219.98,1.5,44060988.97,629514.9966,20.278628353578164,0.6373895565605183,7.090577903924287e-07,1.0204813511338068e-08,-14.159328804014683,0.01439207586407055,0.01439207586407055
41,219.98,2.0,40827537.8,566975.8187,20.278628353578164,0.6523243063336105,5.220479467417055e-07,7.3223763494054236e-09,-14.465506401286305,0.014026252559955625,0.014026252559955625
42,239.93,0.5,21440877.75,311144.7303,19.490137990176972,0.6601673985543642,1.1446402370977308e-06,1.6910360734960175e-08,-13.6804201737384,0.01477351589337528,0.01477351589337528
43,239.96,1.0,35521737.66,521919.4739,19.48899846036912,0.6731612818998723,9.868029881291006e-07,1.4628788945603545e-08,-13.828795424195773,0.014824427085834587,0.014824427085834587
44,239.98,1.5,46581292.64,630464.9547,19.48823884785532,0.6902007603296879,9.147112021235413e-07,1.2466279529579367e-08,-13.904657447585778,0.013628650770470903,0.013628650770470903
45,239.98,2.0,43803328.8,593563.7588,19.48823884785532,0.7062240571070038,6.890803705960067e-07,9.41071850636469e-09,-14.187907924555642,0.013656924370411352,0.013656924370411352
46,259.94,0.5,29085552.46,409394.9508,18.758558592357765,0.7168635781609097,1.932662094701125e-06,2.7605714448208927e-08,-13.156612181761215,0.014283777036812011,0.014283777036812011
47,259.97,1.0,40501123.83,561685.66,18.75750300120048,0.7316789254123932,1.4197568434650063e-06,1.984558662142604e-08,-13.465024938010307,0.013978158804286257,0.013978158804286257
48,259.98,1.5,50096513.17,685845.6327,18.75715116388123,0.7500042746500435,1.2584111695577128e-06,1.72470252487304e-08,-13.58566060924228,0.013705397461460964,0.013705397461460964
49,259.98,2.0,53610783.73,719762.0341,18.75715116388123,0.7696151471956543,1.1012525851700548e-06,1.4762057516197912e-08,-13.719062312211781,0.013404788070411988,0.013404788070411988
50,279.94,0.5,26133940.11,377424.8484,18.080240105588604,0.7791749658170903,2.301584955953667e-06,3.374038876919783e-08,-12.981912561073123,0.014659632129554574,0.014659632129554574
51,279.97,1.0,42600003.13,596495.6151,18.079259473531962,0.7947580849901376,1.9984480976106956e-06,2.8080099024698878e-08,-13.123139629804934,0.014050952365623546,0.014050952365623546
52,279.98,1.5,49978299.18,688033.7206,18.078932619818126,0.8130401914447186,1.7104637735334691e-06,2.348258062679456e-08,-13.27874601162852,0.01372877987253968,0.01372877987253968
53,279.99,2.0,52033585.87,710334.3523,18.07860577792241,0.8320741236052113,1.4871321865282737e-06,2.0186769691439248e-08,-13.41866099966361,0.01357429411743517,0.01357429411743517
54,299.93,0.5,24529175.12,355561.5937,17.449570740559786,0.8410469177607667,3.0587673152937294e-06,4.519069740935383e-08,-12.69749856130037,0.01477415336021211,0.01477415336021211
55,299.96,1.0,42068365.18,606946.0828,17.448657325818782,0.8564355632971222,2.8658445671225413e-06,4.121435292882798e-08,-12.762647463412598,0.014381224090673333,0.014381224090673333
56,299.98,1.5,48154183.45,658191.7272,17.448048435782457,0.874050406589321,2.456141749237197e-06,3.336023972820753e-08,-12.916918833857395,0.013582375585028107,0.013582375585028107
