,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.98,0.333333333,3140143.313,125227.6196,26.80031088360625,0.019533678090969966,2.8035643318245627e-08,2.258969361333021e-09,-17.389789160666133,0.08057490729534576,0.08057490729534576
1,100.01,0.333333333,2755280.231,108351.7908,26.798156286847465,0.03667326431939232,7.169470775328571e-08,2.2090962198828583e-08,-16.450848903037304,0.30812542363444073,0.30812542363444073
2,100.01,0.333333333,3014360.406,119663.1336,26.798156286847465,0.055424493149364366,1.3039073115504803e-07,2.4488111939952842e-08,-15.852730270079494,0.18780561872019838,0.18780561872019838
3,49.63,2.0,229463.944,20279.17199,30.980853832331622,0.05685190405670226,2.032534936538067e-09,3.5089259392630296e-10,-20.013982085705692,0.17263791515631405,0.17263791515631405
4,49.63,2.0,226415.9085,22510.94453,30.980853832331622,0.058260354254820186,2.0586152536628627e-09,3.6122997897012205e-10,-20.001232287137096,0.17547231243302558,0.17547231243302558
5,49.63,2.0,231336.2786,22140.62638,30.980853832331622,0.05969941226794576,2.1579373208170854e-09,3.675151038677527e-10,-19.954113015566072,0.17030851652753107,0.17030851652753107
6,59.86,1.833333333,519096.0213,34090.19768,30.029128254406775,0.06292851793850517,5.5021978413908395e-09,8.27275055248162e-10,-19.0181182170042,0.15035356399308322,0.15035356399308322
7,59.88,1.833333333,523331.6599,32715.53493,30.027324865627723,0.06618397196093104,5.8562747182853026e-09,8.343266718491052e-10,-18.95575214911225,0.14246713345670936,0.14246713345670936
8,59.88,1.833333333,544562.0335,30394.23717,30.027324865627723,0.06957149233903456,6.42526601851451e-09,8.578352954534056e-10,-18.86302780336239,0.1335096932923149,0.1335096932923149
9,69.99,1.5,958116.0253,50318.07541,29.14262400186513,0.07553158019060768,1.4826943130781623e-08,1.8511924343133113e-09,-18.026819829435404,0.12485327676681546,0.12485327676681546
10,70.0,1.5,1024302.678,53849.02053,29.141774734081306,0.08190339089648753,1.728844249355582e-08,2.0132034900820845e-09,-17.87322762265315,0.11644793860594996,0.11644793860594996
11,69.99,1.5,1027000.771,51062.8914,29.14262400186513,0.08829198544783817,1.884111236564969e-08,2.0291552309987975e-09,-17.787224526778427,0.10769827129200008,0.10769827129200008
12,80.0,1.5,2302097.764,93353.84916,28.31657935721365,0.10261249001517789,4.780283679724631e-08,4.494252860154004e-09,-16.85618085198725,0.0940164467480494,0.0940164467480494
13,80.0,1.5,2283280.157,92829.921,28.31657935721365,0.11681593716158442,5.517671554934574e-08,4.613716473524214e-09,-16.712724792412573,0.08361709151386633,0.08361709151386633
14,80.0,1.5,2241532.586,97411.79289,28.31657935721365,0.13075968800380702,6.18811945802797e-08,4.803004243348403e-09,-16.59804950663991,0.07761654046799904,0.07761654046799904
15,90.0,0.666666667,2192341.701,92185.54609,27.53683051080821,0.1443974404195814,1.532335495989554e-07,1.0899032339603817e-08,-15.691302611454919,0.07112693250354696,0.07112693250354696
16,90.0,0.666666667,2092514.123,90871.09684,27.53683051080821,0.15741420214197557,1.6238415799413729e-07,1.1002043564621027e-08,-15.63330096327426,0.06775318294915349,0.06775318294915349
17,89.99,0.666666667,2188216.501,92124.87751,27.53758880872391,0.171026293203847,1.870876349834349e-07,1.1882337332117934e-08,-15.491688693592456,0.06351214677105742,0.06351214677105742
18,100.0,0.5,3309963.305,129498.4018,26.798874447273217,0.19161635908559263,4.234419401774397e-07,2.4638519185637493e-08,-14.674849427465366,0.05818629863473829,0.05818629863473829
19,119.97,0.333333333,8338992.356,301618.6476,25.437525437525437,0.2434901673958069,1.990988591242643e-06,1.0201202626509322e-07,-13.126879263063051,0.05123687132803914,0.05123687132803914
20,119.97,0.333333333,7199620.777,262133.0739,25.437525437525437,0.2882763636349265,2.20678838232559e-06,1.0345051851318517e-07,-13.023972320051032,0.04687831390709309,0.04687831390709309
21,119.97,0.333333333,6513030.536,243877.9394,25.437525437525437,0.3287915341878705,2.4263803414696543e-06,1.1017806087622403e-07,-12.929109982537907,0.04540840485440521,0.04540840485440521
22,139.94,0.333333333,20122998.96,701297.6973,24.207799753080444,0.4539693189985994,1.0561684802922365e-05,4.084016773823381e-07,-11.45827774668094,0.03866823191592836,0.03866823191592836
23,139.94,0.333333333,13856008.81,489393.5978,24.207799753080444,0.5401624601204307,1.0672937970252336e-05,3.976662418176818e-07,-11.4477991818874,0.03725930413219481,0.03725930413219481
24,139.95,0.333333333,10644848.74,378771.6539,24.207213749697413,0.6063801539923623,1.0728756453716415e-05,3.9916362902344615e-07,-11.44258290237937,0.03720502285101055,0.03720502285101055
25,159.91,0.25,17800916.82,619520.4251,23.09148847734725,0.7171131187734551,3.333965917640101e-05,1.0878336315797796e-06,-10.308762903357314,0.032628816804155775,0.032628816804155775
26,159.88,0.25,10575961.45,383478.9592,23.09308823869016,0.7829022901184535,2.8404557889209657e-05,9.858012979423628e-07,-10.468960936617426,0.03470574341580756,0.03470574341580756
27,159.88,0.25,7300254.017,267430.9,23.09308823869016,0.8283144887783139,2.583861049831369e-05,9.274871825632151e-07,-10.563640653780782,0.03589539703087927,0.03589539703087927
28,179.87,0.25,10275956.55,368110.3671,22.074080614542407,0.8922374398402914,5.243192143305352e-05,1.6201914711109743e-06,-9.85599496446306,0.030900860140700318,0.030900860140700318
29,179.9,0.25,2917178.131,114503.32,22.072618916234415,0.9103841334351552,2.07593486924947e-05,8.003551611802522e-07,-10.782513873352633,0.03855396298967757,0.03855396298967757
30,179.9,0.25,2243309.36,90384.43062,22.072618916234415,0.924338936935775,1.9056118605352822e-05,7.655775249315783e-07,-10.868122321328254,0.040174892945750725,0.040174892945750725
31,199.88,0.25,3957052.846,150799.6687,21.140308225693932,0.948954309158667,4.4304662089761314e-05,1.5269740365382058e-06,-10.024420647403893,0.034465312780053575,0.034465312780053575
32,199.9,0.25,1221003.629,60096.45885,21.139414438220065,0.9565497242271614,1.813693452217771e-05,8.773226327278794e-07,-10.917560117514823,0.04837215636716865,0.04837215636716865
33,199.88,0.25,618872.1421,37534.2758,21.140308225693932,0.9603995004947615,1.0444577881320538e-05,6.331694800872846e-07,-11.469427577240985,0.060621835298836524,0.060621835298836524
34,219.87,0.25,930578.938,46283.31441,20.283152813273297,0.966188290241355,1.7791385941919553e-05,8.835733153206913e-07,-10.936796153648196,0.04966298399715118,0.04966298399715118
35,219.87,0.25,632475.4522,38051.2512,20.283152813273297,0.970122687704225,1.3926909523809364e-05,8.368136688827695e-07,-11.181687652373862,0.06008609932104159,0.06008609932104159
36,219.87,0.25,495608.981,31196.11916,20.283152813273297,0.9732056891245006,1.226096897945978e-05,7.777998540669846e-07,-11.30908959473437,0.06343706238634123,0.06343706238634123
37,119.93,1.0,17389.67962,10336.05198,25.440113971710595,0.973313863933719,1.1385692533491375e-07,6.758702120548297e-08,-15.988323217697154,0.5936136164460231,0.5936136164460231
38,119.99,1.5,13714.95461,9824.762845,25.436231367960524,0.9733991796284756,6.008206872075663e-08,4.2992847293744985e-08,-16.62755439731441,0.715568691443745,0.715568691443745
39,139.99,3.0,112547.9812,17564.88753,24.204870019847995,0.9740992992776164,2.5022610766003184e-07,3.89508410525528e-08,-15.20090089719499,0.1556625782049614,0.1556625782049614
40,139.99,3.0,101294.2443,14029.30781,24.204870019847995,0.9747294135633029,2.3105822434067974e-07,3.2054735533314664e-08,-15.280596104761889,0.13873012148683408,0.13873012148683408
41,179.99,2.5,383421.1469,28791.5643,22.068234982566096,0.977114535677255,1.1160997233281945e-06,8.392850688203728e-08,-13.705670340176365,0.07519803573802848,0.07519803573802848
42,179.99,2.5,370369.5761,22697.60477,22.068234982566096,0.9794184687634537,1.1945523428840717e-06,7.561148407096364e-08,-13.63773905122929,0.06329691998963459,0.06329691998963459
43,199.94,0.5,170492.4392,20340.01233,21.137627089982878,0.9804790396012527,2.9780182256830428e-06,3.548193124959674e-07,-12.724252503612709,0.11914611852806425,0.11914611852806425
44,199.95,0.5,138941.3479,16816.53632,21.13718030014796,0.9813433426896399,2.5491136419173194e-06,3.0945755231961124e-07,-12.879764850622808,0.12139809980650855,0.12139809980650855
45,219.93,0.5,281591.6823,23273.50566,20.28068467591466,0.9830950211090199,5.549859686749926e-06,4.635708163457181e-07,-12.101737912192197,0.08352838495223137,0.08352838495223137
46,239.92,0.5,522888.2228,31642.85731,19.490517863059623,0.9863477166721331,1.2029155058124348e-05,7.485745286842535e-07,-11.328177266676756,0.062230017409134246,0.062230017409134246
47,239.92,0.5,345552.5264,24953.04852,19.490517863059623,0.9884972720081188,9.643669229458214e-06,7.201803720151296e-07,-11.549208896298845,0.07467908271005574,0.07467908271005574
48,239.93,0.5,235246.6472,37141.74679,19.490137990176972,0.9899606549879212,7.659450847410404e-06,1.1595918842807813e-06,-11.779570267720281,0.15139360606678867,0.15139360606678867
49,239.92,0.5,223041.4522,20608.49776,19.490517863059623,0.9913481139329254,8.372199501395632e-06,7.802157913878169e-07,-11.6905939240663,0.09319125652198758,0.09319125652198758
50,259.65,0.5,339022.0327,26196.32577,18.76876876876877,0.9934570454664297,1.5726652663447065e-05,1.2280449443402547e-06,-11.06015366306569,0.07808686124254265,0.07808686124254265
51,259.91,0.5,184886.2302,23044.21532,18.759614302329947,0.9946071547908125,1.0881653822632543e-05,1.321253710492909e-06,-11.428432322331515,0.12142030357047921,0.12142030357047921
52,259.91,0.5,190704.3667,17586.93631,18.759614302329947,0.9957934566052036,1.3984116147073628e-05,1.3337663433330439e-06,-11.1775884333738,0.09537723580851072,0.09537723580851072
53,279.9,0.5,239619.8523,22293.1664,18.081547780490013,0.9972840436875371,2.4626515578498854e-05,2.315777727055974e-06,-10.611686826465041,0.09403594754094464,0.09403594754094464
54,279.93,0.5,200622.0952,20533.02774,18.08056700658133,0.998532040047878,3.4633295996730895e-05,3.604165117033544e-06,-10.270695026581752,0.10406647745492512,0.10406647745492512
55,279.93,0.5,106437.1318,15072.29686,18.08056700658133,0.9991941463475809,3.375834816337497e-05,4.829685927900964e-06,-10.296282818243554,0.1430664173651949,0.1430664173651949
56,299.93,0.5,129545.2882,16455.07531,17.449570740559786,1.0,inf,,inf,,
