,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,0.333333333,4503368.016,104460.4414,26.798874447273217,0.012042021353791546,1.0612464760214403e-08,4.940873242615094e-10,-18.36123660590674,0.04655726406874093,0.04655726406874093
1,100.0,0.333333333,3899477.194,92508.55776,26.798874447273217,0.022469236600676925,2.6540875006914544e-08,5.56435415380736e-09,-17.444579839222055,0.20965224968497498,0.20965224968497498
2,100.02,0.333333333,3632757.77,87377.32647,26.797438164911437,0.03218324320286179,3.9465989517355254e-08,5.228332980783695e-09,-17.047826560811252,0.13247692620210433,0.13247692620210433
3,49.67,2.0,237566.0964,23409.50403,30.977015054829316,0.032818495750648616,5.136286825022178e-10,7.549218866314723e-11,-21.38952051911871,0.1469781405029328,0.1469781405029328
4,49.67,2.0,245879.4497,23971.34068,30.977015054829316,0.03347597823336515,5.424591845833663e-10,7.847288564166913e-11,-21.33490826913532,0.14466136415763692,0.14466136415763692
5,49.67,2.0,270621.0817,23341.62546,30.977015054829316,0.03419961992399299,6.098242498691078e-10,8.263884455466112e-11,-21.21785031524296,0.13551255886003,0.13551255886003
6,59.9,1.833333333,700051.3855,35047.40395,30.025521693439426,0.0360715597039513,1.7888218518615083e-09,2.0077386050612845e-10,-20.14170861710907,0.11223804108676132,0.11223804108676132
7,59.91,1.833333333,584683.8265,33578.57351,30.02462018855462,0.037635006239725065,1.569253383929534e-09,1.7510846819121166e-10,-20.272665882333975,0.11158712161112329,0.11158712161112329
8,59.91,1.833333333,582724.3174,32425.89999,30.02462018855462,0.03919321304151721,1.632307626155394e-09,1.7496273068000628e-10,-20.23327110174897,0.10718735113190607,0.10718735113190607
9,70.03,1.5,1287519.829,43810.58554,29.139227227693926,0.04263604543255493,4.704619539010564e-09,4.3385599407848754e-10,-19.174720930300758,0.09221914556128645,0.09221914556128645
10,70.03,1.5,1294942.263,49143.2059,29.139227227693926,0.04609872543729144,5.1455728591548195e-09,4.5054130798421267e-10,-19.085129130971325,0.08755901826997273,0.08755901826997273
11,70.03,1.5,1175163.698,44680.12623,29.139227227693926,0.049241117152833754,5.030822835358099e-09,4.1481460782396507e-10,-19.10768228065515,0.08245462450168714,0.08245462450168714
12,79.99,1.5,2943244.957,78540.5607,28.317381208585832,0.057111364153680524,1.4120313569456464e-08,9.973720256640152e-10,-18.07565139765931,0.07063384398356581,0.07063384398356581
