,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.01,0.5,21837049.28,368114.0375,26.798156286847465,0.021905199508177466,0.0003695933516631753,2.3259707375789245e-08,2.960538467198255e-09,-17.57654327051159,-17.712685892200252,-17.456733982492057
1,100.01,1.0,36358842.04,586364.4775,26.798156286847465,0.05837543871134288,0.0005779400393863988,7.09684238757568e-08,1.7480547540191728e-09,-16.461030792972927,-16.485970666165485,-16.4366978119326
2,100.0,2.0,57519573.68,907903.5806,26.798874447273217,0.11606778936807995,0.0008835652272531283,1.3141810686251335e-07,2.8878885769938196e-09,-15.844881940826882,-15.867101798502313,-15.823145092272867
3,69.97,1.333333333,3042252.544,80831.02609,29.14432268594078,0.11911894986909785,8.1564406579723e-05,1.4391573075064542e-08,4.1672814244297486e-10,-18.05662300478315,-18.086006914022512,-18.028077920343236
4,69.98,2.666666667,5932838.102,118661.1738,29.14347331915018,0.12506990668853019,0.00012042241017867673,1.4628599113201276e-08,3.3419128424396803e-10,-18.040287380894114,-18.063397437076883,-18.0176993579001
5,69.99,4.0,8491634.091,165982.215,29.14262400186513,0.1335871571254216,0.00016829397234516868,1.4881864179604784e-08,3.3260650600583073e-10,-18.02312253450104,-18.04572586362706,-18.001018843186486
6,90.0,2.0,20797217.14,349735.0263,27.53683051080821,0.1544475088017654,0.0003535304116227102,8.22788417897521e-08,1.651189693733191e-09,-16.313151848710024,-16.33342416815729,-16.29328234373575
7,90.0,3.0,27854072.4,452361.1378,27.53683051080821,0.1823853534426695,0.00045435997204615065,8.78871157499314e-08,1.6826663372290777e-09,-16.247212621498033,-16.26654404329216,-16.228247827339786
8,100.0,3.0,51297170.9,803343.1342,26.798874447273217,0.23384067405605893,0.0007884238440570588,2.0795764776748134e-07,3.813068190043164e-09,-15.385931394480242,-15.404437370709225,-15.367761676050623
9,119.99,1.0,55740978.41,864052.0402,25.436231367960524,0.2897539967630148,0.0008386419385849188,9.007491183507532e-07,1.578926943765257e-08,-13.920039066113299,-13.937723561427434,-13.902661885340969
10,120.0,2.0,80506210.55,1234661.278,25.43558438255119,0.37051265644772413,0.0011733492929868834,8.85720742470376e-07,1.4820280698026643e-08,-13.936864125109205,-13.95373814702355,-13.920270117378701
11,120.0,3.0,78481200.23,1201367.482,25.43558438255119,0.44922851262013136,0.0011471509058484767,7.88361926551243e-07,1.276530243172401e-08,-14.053308554879552,-14.069633266192442,-14.037246064809814
12,139.98,1.0,62508614.76,964723.2385,24.205455909762062,0.5119319428433623,0.0009286950293582504,2.43605787642947e-06,3.8748066796002275e-08,-12.925129449601869,-12.941163361955534,-12.90934857179518
13,139.99,2.0,76726720.86,1187975.708,24.204870019847995,0.5888836370184273,0.0011332272578540516,1.917493772020346e-06,2.9410042178675777e-08,-13.164491551678804,-13.17994814279124,-13.149270234849478
14,139.99,3.0,65373451.11,1013440.84,24.204870019847995,0.6544687503683422,0.0009731390989631564,1.4061862302024009e-06,2.1298983969742914e-08,-13.474629319433532,-13.48989183230134,-13.459596253317773
15,159.97,1.0,42097060.14,666030.635,23.088289619504987,0.6966918915129228,0.0006577685355582235,3.3239695606432033e-06,5.2111342441585135e-08,-12.614350838460895,-12.630152472008096,-12.598795017333817
