,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,79.99,1.0,16674239.54,422095.8946,28.317381208585832,0.006640503519854373,0.0001704535913714517,1.0689595198321472e-09,3.18064052514064e-10,-20.656580072943083,-21.00975466517322,-20.396105700555385
1,80.0,1.5,23029022.16,578838.9649,28.31657935721365,0.01581379789059834,0.00023184380910423372,3.327815564922915e-09,1.2996366174850356e-10,-19.520949734716986,-19.5607865328082,-19.48263929594802
2,80.0,3.0,43860027.48,1075309.401,28.31657935721365,0.03328335471890832,0.00042972869419810166,6.928864617366268e-09,2.467696496419615e-10,-18.787569873045047,-18.823834280642878,-18.75257467962471
3,80.0,3.333333333,46019727.15,1129407.31,28.31657935721365,0.051611433980077996,0.0004545476206729432,1.1313898817286365e-08,3.703544874235585e-10,-18.297233883207884,-18.330516113458735,-18.265023773033363
4,49.35,1.666666667,1326095.723,57040.62187,31.007751937984494,0.05213969041565904,2.2806536616779893e-05,7.968744745334377e-10,3.6561988212726224e-11,-20.950323946990995,-20.997291600942372,-20.905463646102024
5,49.65,3.0,3401908.932,107956.0704,30.978934324659235,0.05349415235396529,4.337937351659701e-05,1.1563175155027556e-09,4.092278695633668e-11,-20.57802543702048,-20.614057478049872,-20.54324667658487
6,80.0,1.0,13152456.07,338049.3193,28.31657935721365,0.05873169773335523,0.00013783541787263984,1.4248781657611572e-08,4.3752130203240454e-10,-18.066594431598357,-18.097781609708402,-18.036350548983375
7,80.0,1.0,13005613.34,336303.7943,28.31657935721365,0.06391173286044745,0.00013524956487497968,1.5397692705507825e-08,4.6409250714256657e-10,-17.989048163069285,-18.01965211592701,-17.959353066377442
8,80.0,1.0,12806706.65,339566.2184,28.31657935721365,0.06901126957073364,0.00013714485000406612,1.6433167053475472e-08,5.012276342156379e-10,-17.923964163066838,-17.954939974090944,-17.89391909458734
9,49.39,1.666666667,1277861.721,56954.40493,31.00390649221802,0.06952043065680516,2.284316155088711e-05,1.0253465046931876e-09,4.79908104096428e-11,-20.698235228123995,-20.746170462298426,-20.65249305634195
10,49.66,3.0,2455878.206,86303.61733,30.977974660016734,0.07049853610832152,3.4942873379817976e-05,1.1065171789677308e-09,4.209539939501396e-11,-20.62204843105617,-20.660834115203542,-20.58471107651988
11,49.76,4.333333333,3412013.953,109237.5383,30.968381282710357,0.07185704370872076,4.3920052214354266e-05,1.0820571791209278e-09,3.768551047722255e-11,-20.644401812150456,-20.679850406392518,-20.610166919464238
12,69.98,1.666666667,9134345.604,247262.6962,29.14347331915018,0.07549474657470535,0.00010011735796933628,7.796023298820829e-09,2.3874231868871125e-10,-18.669652066744657,-18.70075437016036,-18.639488008374112
13,69.99,3.0,16073357.45,409952.7855,29.14262400186513,0.08189460615092575,0.00016540381728020234,8.140576319647902e-09,2.370255654710333e-10,-18.626404858498685,-18.65595371589744,-18.597704134634075
14,69.99,4.333333333,22205858.49,561847.8818,29.14262400186513,0.09073852025647793,0.00022622197574814513,8.54020034008537e-09,2.4696860862105294e-10,-18.5784813703947,-18.60782610884781,-18.549973253497203
15,89.97,0.5,13439893.53,349702.4333,27.53910552985239,0.0960900882181379,0.00014184599934902574,4.848080376258516e-08,1.4165506902861009e-09,-16.84209791606154,-16.871752082203848,-16.813297852570916
16,89.99,1.0,25967859.07,649736.6399,27.53758880872391,0.1064345900386739,0.00026010448418103325,5.5206318029157846e-08,1.582250442535339e-09,-16.71218843316311,-16.74126784751145,-16.683930790775854
17,89.99,1.5,37271885.02,917886.419,27.53758880872391,0.1212766965229657,0.00036594991136211275,6.00583060338382e-08,1.6978484504978136e-09,-16.627949979353783,-16.65662727262105,-16.600072198642298
18,99.99,1.0,51379385.26,1252843.711,26.79959264619178,0.1417371000061906,0.000501645780144578,1.4573083565001248e-07,4.1235490524193e-09,-15.741504508182617,-15.770208197988211,-15.713601783001668
19,99.99,2.0,95568711.06,2307851.891,26.79959264619178,0.17980074739304164,0.0009029799473023489,1.7027856638436044e-07,4.766864781913236e-09,-15.585830115188212,-15.614223940082233,-15.558220290050455
20,100.0,1.5,65295743.71,1585740.508,26.798874447273217,0.20580760275610863,0.0006267426545873458,1.9166933263128728e-07,5.2665479388677354e-09,-15.467494175533275,-15.495355995469497,-15.440387640527634
21,100.0,2.0,80160014.55,1940700.51,26.798874447273217,0.2377297409799966,0.0007647410705844383,2.088786856689337e-07,5.686146818515115e-09,-15.381512204853514,-15.40911184017203,-15.35465389488774
22,99.98,0.5,19074958.9,478813.9233,26.80031088360625,0.24532680000506646,0.00019313140138508552,2.208142146993744e-07,6.140372726096373e-09,-15.3259441464482,-15.354145974727425,-15.29851589487316
23,119.97,0.5,74594872.79,1804929.102,25.437525437525437,0.27502577066800943,0.0007124435786742124,9.487412131377016e-07,2.5503777239009957e-08,-13.868129769794399,-13.895379391864482,-13.841603034771389
24,119.99,1.5,170240814.4,4089015.452,25.436231367960524,0.3428113044494088,0.0015578380123614803,9.049976865132286e-07,2.3838790284525853e-08,-13.915333449588726,-13.942027868330042,-13.88933313429583
25,119.99,2.0,186576012.3,4541991.743,25.436231367960524,0.4171394309235574,0.001706291671390739,9.956636110697475e-07,2.5573465474275846e-08,-13.819856376298587,-13.845876836163463,-13.794495845399124
26,139.95,0.5,138773887.1,3346514.676,24.207213749697413,0.47239180548346316,0.0012907712467430145,3.7730076604332357e-06,9.584014286045899e-08,-12.487638086654654,-12.513367798463472,-12.462553820498652
27,139.95,0.5,116251386.1,2806770.244,24.207213749697413,0.5186872856687347,0.001081954175466732,3.7916477616317644e-06,9.557781720862175e-08,-12.48270986775107,-12.50824048000699,-12.45781487360255
28,139.98,1.0,177941841.6,4277473.713,24.205455909762062,0.5895573897268024,0.0016177156940180943,3.5766204144816152e-06,8.679854652784436e-08,-12.541092221718792,-12.565659863753485,-12.517113704238128
29,119.97,0.5,21900361.5,732141.4585,25.437525437525437,0.5982828371287845,0.00029268141836425886,1.011816039240133e-06,3.507446563388646e-08,-13.803763783029863,-13.839043730019268,-13.769686211416728
30,139.98,1.5,196585272.5,4719705.504,24.205455909762062,0.6765779564761304,0.0017733364004276673,3.5646160246706483e-06,8.288727260617722e-08,-12.544454216863581,-12.567981619691565,-12.5214676525672
31,139.95,2.0,180038618.2,4324700.36,24.207213749697413,0.7482767357227477,0.0016371399440359095,3.2859226203028232e-06,7.405117998227811e-08,-12.625863086921404,-12.648656787487576,-12.603577381553759
32,159.94,0.5,104136916.7,2508200.645,23.08988893763421,0.7897543426583536,0.0009810992787938771,9.75327457176221e-06,2.2798009178380542e-07,-11.537907475826612,-11.56155972089625,-11.514801757752538
33,159.93,0.5,78699337.63,1928296.727,23.09042209291586,0.8210901126805902,0.000763733477561547,8.88503772929246e-06,2.146152152141435e-07,-11.631141849963472,-11.655593035478226,-11.607274283135048
34,159.97,1.0,107306395.4,2585634.339,23.088289619504987,0.8638226720509028,0.0010052543471512467,7.626207242135626e-06,1.6985919434656888e-07,-11.78391992116571,-11.806444801441254,-11.761891254487365
35,159.98,1.5,91541734.16,2221473.953,23.087756562694803,0.9002824016106724,0.000865120919266996,5.846893766006083e-06,1.2371492169270487e-07,-12.0496000179103,-12.070986164927142,-12.02866167801861
36,159.98,2.0,60331013.71,1460872.827,23.087756562694803,0.9243151350036806,0.0005773814974827897,3.879946961687768e-06,8.380029884802689e-08,-12.459689074090624,-12.481524041809172,-12.438320702223505
37,179.95,0.5,24009152.21,606900.3739,22.070183182520417,0.9338790264770367,0.0002446008529738376,7.60266302620901e-06,1.8451123071847517e-07,-11.7870119738617,-11.811580615977293,-11.763032503691532
38,179.95,0.5,14168263.56,359380.6824,22.070183182520417,0.9395214946544957,0.00014473756157861315,5.020993945794716e-06,1.244297758349196e-07,-12.201882646689226,-12.226976788600364,-12.177402836067458
39,179.97,1.0,14782527.27,379591.397,22.06920903954802,0.9454074688102054,0.00015364769860969342,2.8823991695526017e-06,7.207057641709148e-08,-12.756887565622268,-12.782209144396324,-12.732191366196291
40,179.98,1.5,11140417.05,295205.5767,22.068722000308963,0.9498442676326199,0.00011987023292066355,1.5904519018377753e-06,4.151329437890804e-08,-13.351492367121253,-13.377940630976134,-13.325725627497379
41,179.99,2.0,7894112.659,217271.7312,22.068234982566096,0.95298852030501,8.754395138977307e-05,9.109637030653973e-07,2.467053037215913e-08,-13.908762783438057,-13.936218046387276,-13.882041213083678
42,199.94,0.5,4555661.447,131442.8773,21.137627089982878,0.954802963404467,5.289267601915641e-05,2.2154415286710045e-06,6.376504384331715e-08,-13.020058838588787,-13.049263259294914,-12.991683170073328
43,199.97,1.0,5255913.423,151225.0717,21.13628677713899,0.956896255922607,6.11659397356728e-05,1.3346210187066706e-06,3.8411089069368945e-08,-13.526863187532532,-13.556065990407149,-13.498489046327295
44,199.98,1.5,6129698.253,171028.9162,21.13584004396255,0.959337232961177,6.821780787621623e-05,1.0939415185043163e-06,3.006410595901999e-08,-13.725723311970746,-13.753590387455656,-13.698611802534355
45,199.98,2.0,5926338.446,165756.9985,21.13584004396255,0.961697662458246,6.688169379048214e-05,8.414812474900858e-07,2.3357338660063034e-08,-13.988102108186451,-14.016252034027952,-13.960722953034288
46,199.94,0.5,1237487.086,58295.89615,21.137627089982878,0.9621904257816213,2.3316504184704225e-05,7.289826331023498e-07,3.4325934460951576e-08,-14.131615928126394,-14.179848072208806,-14.085603473832778
47,224.93,0.5,3588497.107,117800.1611,20.0770960488275,0.9636197211349801,4.745029358032025e-05,2.168924751343259e-06,7.118162125025787e-08,-13.041279019509147,-13.074648491094694,-13.00898720545987
48,224.97,1.0,5521004.708,156009.2831,20.07548381916004,0.9658185258995643,6.324762266538068e-05,1.754611786088794e-06,4.9457641642834764e-08,-13.253262930023581,-13.281855044015606,-13.22546565162557
49,224.98,1.5,5812284.746,164708.3898,20.07508080220023,0.968133519485047,6.671355290499369e-05,1.3157224797195203e-06,3.707217188505603e-08,-13.541124628971913,-13.569705483357424,-13.513337992944237
50,224.98,2.0,5489195.804,157711.8168,20.07508080220023,0.9703192786287825,6.428841997585453e-05,1.0001017974735836e-06,2.872161222617703e-08,-13.815408765671702,-13.844547905382191,-13.787094729348137
51,249.93,0.5,2847596.358,95822.43636,19.117534602737635,0.9714535947211029,3.8317293143056066e-05,2.192955733140521e-06,7.353305571102243e-08,-13.030260274258692,-13.064366828333931,-12.997278713036359
52,249.97,1.0,4184257.531,127606.954,19.1160727940052,0.9731199827550083,5.146197414468165e-05,1.692866298223164e-06,5.132760910737294e-08,-13.28908743121998,-13.319876530915602,-13.259218053262174
53,249.97,1.5,4483674.499,136713.7373,19.1160727940052,0.974905414549398,5.501297280080441e-05,1.2897774406920537e-06,3.892385629984844e-08,-13.561040881070426,-13.591684372184233,-13.531308561213626
54,249.98,2.0,4192043.896,125976.7058,19.115707376751477,0.9765752678419994,5.079694455561867e-05,9.688215875815118e-07,2.8987479042415814e-08,-13.847185362150759,-13.877562457534395,-13.817703894946277
55,274.93,0.5,2158835.936,77206.89207,18.24551160414538,0.9774346622191479,3.090088856759484e-05,2.1048815983403504e-06,7.524103290973459e-08,-13.071251340231209,-13.10765184195202,-13.036129429878399
56,274.96,1.0,3585042.309,108933.4226,18.244512962726464,0.9788619803059977,4.4086742194006616e-05,1.8396440965525111e-06,5.5991220720960615e-08,-13.205938430839238,-13.236847119066493,-13.175956515841966
57,274.98,1.5,4072507.58,123953.9752,18.24384726251072,0.9804831582256279,4.997000799770009e-05,1.497965119416463e-06,4.533638819436395e-08,-13.411402957909058,-13.442135724800115,-13.381586600165337
58,274.98,2.0,4081849.915,122774.9402,18.24384726251072,0.9821093264267147,4.9586308238662075e-05,1.2239362767001713e-06,3.655033242685116e-08,-13.613438436748856,-13.643756352578146,-13.584012713836174
59,299.93,0.5,1961255.448,71500.76101,17.449570740559786,0.9828904757384022,2.8756037305766177e-05,2.512910310498487e-06,9.206552242188002e-08,-12.894068990251235,-12.931393992729944,-12.858087159991856
60,299.96,1.0,3423426.926,111163.0477,17.448657325818782,0.9842537923711088,4.4553790706876174e-05,2.3372878990996385e-06,7.532606241392364e-08,-12.966519318253638,-12.999278051904398,-12.934799766915864
61,299.97,1.5,4026694.305,121835.1855,17.448352875488553,0.9858575634448485,4.9419488482631056e-05,2.015501340212016e-06,6.08191039544549e-08,-13.114642589436787,-13.14528291673653,-13.084913248037466
62,299.98,2.0,4022964.439,120820.4667,17.448048435782457,0.9874593014852401,4.869359888839174e-05,1.69209536807009e-06,5.035149370108176e-08,-13.289542934261021,-13.319751543041718,-13.260220190173472
63,324.61,0.5,1943220.525,66372.04771,16.72912205567452,0.9882334476789593,2.6740567083027673e-05,3.5858509898623874e-06,1.2417259127869804e-07,-12.538514736945759,-12.5737570002151,-12.504472325262412
64,324.96,1.0,2923494.618,104017.1325,16.719332564244038,0.9893978304057052,4.168040177304063e-05,2.932783404444685e-06,1.0290044853405848e-07,-12.739558618481492,-12.775275205499875,-12.705073836600532
65,324.98,1.5,3395058.442,103427.5765,16.71877351077525,0.9907506396493518,4.1655347351333826e-05,2.5600498841334167e-06,7.761932130272663e-08,-12.875483813673036,-12.90627241208063,-12.845614907499986
66,324.98,2.0,3079268.851,97523.17825,16.71877351077525,0.9919771336694359,3.941060333327966e-05,2.001685559521742e-06,6.347249702040295e-08,-13.12152095258291,-13.153744111167413,-13.090303793781993
67,349.9,0.5,1483979.096,59397.32877,16.050076237862132,0.9925683181117758,2.3857381288257754e-05,4.30724524040937e-06,1.736842883184401e-07,-12.355212013552935,-12.39637130648338,-12.315680048968199
68,349.96,1.0,2328582.082,82669.48501,16.0485307570092,0.993495649699534,3.312747815730901e-05,3.7512514272452364e-06,1.327639921014035e-07,-12.493421059720001,-12.529454455039836,-12.458641037577411
69,349.97,1.5,2665721.55,87830.74662,16.048273205803056,0.9945575437716471,3.541724808827616e-05,3.3434204528625338e-06,1.10554818550381e-07,-12.608516187312333,-12.642141620767557,-12.575984737671057
70,349.98,2.0,2471077.908,88814.00548,16.048015662863286,0.9955417828322148,3.574209957019313e-05,2.8065981149340055e-06,1.0016641769592342e-07,-12.78353744328427,-12.819879507592363,-12.748469939795527
71,374.91,0.5,1179314.48,53273.15921,15.430669999691387,0.9960113603976105,2.137547507977865e-05,6.265518693826708e-06,2.8695172353354273e-07,-11.98044918073261,-12.027329655794007,-11.935668416469419
72,374.96,1.0,1818679.542,69126.11577,15.42947956365432,0.9967356304857844,2.7574253636705613e-05,5.6393858270470375e-06,2.1650122889775767e-07,-12.085735394297544,-12.124882670407512,-12.04806306838593
73,374.94,3.5,3621801.163,116318.4388,15.429955716027097,0.9981779847498397,4.663605080376948e-05,4.6886102555298165e-06,1.401335702004442e-07,-12.27037434020032,-12.300718175490688,-12.240924201614366
74,399.9,0.5,701814.0223,42106.35769,14.857737166629523,0.9984574599054603,1.6734308251391486e-05,9.3721103516254e-06,5.570953472806275e-07,-11.577772262780128,-11.639054039978081,-11.520030073146241
75,399.94,1.0,1095964.936,48059.23097,14.856854209689642,0.9988938563249845,1.9283976717503827e-05,9.359453323820574e-06,4.238468629550295e-07,-11.57912367475517,-11.625466536909146,-11.53483368842784
76,399.97,1.5,995934.1605,46584.9064,14.856192060850963,0.9992904605347258,1.857358225664885e-05,8.330045585899528e-06,4.060708305142939e-07,-11.695641629303555,-11.745617614975393,-11.64804481299582
77,399.97,2.0,778319.0212,42954.81825,14.856192060850963,0.9996003560102129,1.7110820704014514e-05,8.077990501261934e-06,4.7528295883896865e-07,-11.726367416701198,-11.787006118533972,-11.669196487457597
78,449.94,1.0,721624.3821,42612.44813,13.829537125392415,0.9998875700130276,1.7008126007395033e-05,3.57196955895006e-05,2.6904883411957115e-06,-10.239808324122732,-10.318118319809189,-10.167187927003079
79,449.97,2.0,282127.3786,33060.09513,13.828963380904968,1.0,1.3122561160344005e-05,inf,,inf,,
