,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.01,0.5,79357035.45,2775377.553,26.798156286847465,0.02540970622279471,0.000884884141921023,3.1324070952674055e-08,2.773121769966617e-09,-17.278878994938523,-17.37157565506753,-17.194050780895065
1,100.01,1.0,124285611.1,4333213.335,26.798156286847465,0.06521159673606393,0.0013549249125156938,8.747503642536328e-08,4.583450707977594e-09,-16.251912382283905,-16.305732279143697,-16.200841732177672
2,100.0,2.0,193144916.6,6720242.643,26.798874447273217,0.127061835840685,0.0020628735396777263,1.565932507969415e-07,7.403459731427058e-09,-15.669614152677719,-15.718046576011684,-15.623419467077223
3,69.98,1.333333333,9694781.139,357385.4265,29.14347331915018,0.13016679570130152,0.00011631283712224115,1.6180374812125793e-08,7.05133977199962e-10,-17.93946676043445,-17.98402445565835,-17.896810050940665
4,69.99,2.666666667,18192220.07,663573.4945,29.14262400186513,0.13599225959683275,0.0002150470560505476,1.5771687356722056e-08,6.781905937776369e-10,-17.965049443805537,-18.009001863844617,-17.922947779185066
5,69.99,4.0,25210731.38,898296.3649,29.14262400186513,0.1440655087753171,0.0002876229754950581,1.5428808271208303e-08,6.43433243609506e-10,-17.98702940808368,-18.02962731855286,-17.946172182492315
6,90.0,2.0,67272205.14,2359442.694,27.53683051080821,0.1656095656468616,0.000750887500902095,9.231217480394211e-08,3.822210914327844e-09,-16.198089799434833,-16.240376693740302,-16.157518773124917
7,90.0,3.0,89365659.78,3121237.319,27.53683051080821,0.1942256264483874,0.000995951624246985,9.727034329369931e-08,3.968640758524771e-09,-16.145771690784777,-16.187427481294176,-16.105781936363062
8,100.0,3.0,165087833.1,5747552.317,26.798874447273217,0.2471007378026435,0.0017830708071351375,2.2951320097893722e-07,9.133790369776184e-09,-15.287305288494666,-15.327915182320154,-15.248280400535158
9,119.99,1.0,183976256.4,6404279.19,25.436231367960524,0.3060197303476139,0.001964311783614928,1.0191854186545057e-06,3.8995374817308125e-08,-13.79650685888852,-13.835519361799435,-13.758959356828383
10,120.0,2.0,186233584.4,6482541.75,25.43558438255119,0.3656656886118861,0.0019876276638866367,6.694042559352686e-07,2.49200390587297e-08,-14.21687769035362,-14.254815503809558,-14.180326701729683
11,120.0,3.0,109407444.7,3817982.685,25.43558438255119,0.40071347087118386,0.0012073879538966365,3.164710497201722e-07,1.1858583739270347e-08,-14.966034069624268,-15.004225471581151,-14.929247753157368
