,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,35077833.18,1014134.978,26.801029159519725,0.01049332886643657,0.0003045669967328703,5.336225792997805e-09,4.4930512174936467e-10,-19.04874721419877,-19.13670345139738,-18.96790570613889
1,99.97,0.5,30758555.19,893257.1353,26.801029159519725,0.019694898107843126,0.00026879028359114143,1.3461299501615613e-08,5.804106844410869e-10,-18.123446971950546,-18.16752111110651,-18.081233637643056
2,99.98,0.5,28470872.64,833901.8592,26.80031088360625,0.02820977790926983,0.00024984887586257626,1.977330114184164e-08,7.626037515658248e-10,-17.738933236371654,-17.778263995675736,-17.70109102460141
3,99.98,0.5,27417074.82,800599.0127,26.80031088360625,0.036410739682872555,0.00024165392609632627,2.5686626685762232e-08,9.397555116449648e-10,-17.47729534290245,-17.514566773130422,-17.44136330074664
4,99.98,0.5,26386418.33,774853.4006,26.80031088360625,0.04430238270491041,0.0002323292576326458,3.087788533206985e-08,1.0841852994369875e-09,-17.293225594313796,-17.32896887408585,-17.25871592992714
5,49.52,2.0,1648214.38,71061.88886,30.991415377940314,0.044795375185490115,2.133470296501418e-05,5.322905421271148e-10,2.432089823430532e-11,-21.353831643844725,-21.40059942625205,-21.30915371303897
6,49.54,2.0,1592322.393,70253.12398,30.989494561343705,0.045271501242874594,2.123909963601362e-05,5.198346751582941e-10,2.4385914294555077e-11,-21.37751028729219,-21.42555717645868,-21.331666455945875
7,49.69,3.0,2361032.595,96296.74887,30.975096022797672,0.045977731625011065,2.9113341351852885e-05,5.206067861319412e-10,2.2828298888475995e-11,-21.37602608823994,-21.42086594259086,-21.333110855285543
8,49.8,4.333333333,3375602.123,122526.3345,30.96454559529339,0.04698761781125189,3.6891865972976754e-05,5.249877834137626e-10,2.0596224337655204e-11,-21.36764612329574,-21.407668246561258,-21.329164321134932
9,59.88,3.0,5666546.156,186125.584,30.027324865627723,0.04868238345865162,5.6357040780839205e-05,1.310001802736492e-09,4.762802343715489e-11,-20.45323732359957,-20.490271936569652,-20.417525432469628
10,59.93,4.333333333,7932450.664,252562.1161,30.022817341179298,0.05105457615348403,7.588955206828663e-05,1.3235595338283795e-09,4.660029047089066e-11,-20.44294111315868,-20.478784176335257,-20.408338443838176
11,69.98,2.0,9083546.994,282703.3506,29.14347331915018,0.05377121844409287,8.582860372362843e-05,3.4514324791499373e-09,1.1988078137764443e-10,-19.484476480731715,-19.519827666179843,-19.450332448707037
12,69.99,3.0,13103169.7,401836.2765,29.14262400186513,0.0576896744802725,0.00012113922170148527,3.5292957712969433e-09,1.2027861125145805e-10,-19.462167484119785,-19.496841810055738,-19.42865528367218
13,69.99,4.333333333,18140913.27,538548.9145,29.14262400186513,0.06311513392097888,0.0001623945898389801,3.666375065781841e-09,1.2201942896088184e-10,-19.424062383492675,-19.457909460248086,-19.39132352376562
14,79.98,1.0,9481681.725,288306.7089,28.31818310537196,0.06595052388277402,8.723499947185573e-05,8.871881139635888e-09,2.9558292860829426e-10,-18.54037898423382,-18.574263460481433,-18.50760513546234
15,80.0,2.0,18480662.29,544690.2209,28.31657935721365,0.0714773643564205,0.0001637800303260519,9.206325801883298e-09,2.996520217285524e-10,-18.50337500200994,-18.536464978276324,-18.471344991640564
16,79.99,3.0,27103856.94,786025.7805,28.317381208585832,0.07958713459179145,0.00023576978908891613,9.89440038430768e-09,3.178902023500298e-10,-18.431296857574626,-18.46395259296313,-18.399673882560965
17,90.0,1.0,19200833.82,565185.471,27.53683051080821,0.0853300110845237,0.0001695272994431437,2.2955981895816547e-08,7.380310586153873e-10,-17.589687285347733,-17.6223652785357,-17.558043438675075
18,90.0,1.0,18947746.5,563953.7987,27.53683051080821,0.09099663003291919,0.0001697779387201868,2.422077894174709e-08,7.845555243913389e-10,-17.53605493824254,-17.568983002225345,-17.50417665619466
19,90.0,1.5,27488072.6,804623.8399,27.53683051080821,0.09921658709334381,0.0002417171026027187,2.5270420043510758e-08,1.3451304769831546e-09,-17.493631293464006,-17.548329796586483,-17.44177018594069
20,90.0,2.0,34867823.89,1015490.63,27.53683051080821,0.10964668793991666,0.00030594767924331306,2.878412703658601e-08,9.29095258364043e-10,-17.36344174630349,-17.39625221262984,-17.33167369509154
21,99.97,0.5,17978548.39,532607.3299,26.801029159519725,0.11502250284856998,0.00015926523895288996,6.42996046262295e-08,2.0557408782208e-09,-16.559712354613975,-16.59220588078954,-16.5282415141617
22,119.96,0.5,68984824.24,1967933.233,25.438172521686045,0.13565191460582082,0.0005836699832183906,2.78553207723105e-07,8.86677009740525e-09,-15.09365674475661,-15.126005894955405,-15.062321353467837
23,119.98,1.0,118740035.4,3366701.996,25.436878386284434,0.17116838996284714,0.0009835147246572736,3.0113254073808773e-07,9.562761466382822e-09,-15.015715334438367,-15.047986479796837,-14.984453140698827
24,119.99,1.5,142824116.4,4047355.67,25.436231367960524,0.2138796990143762,0.0011727320069820503,3.144948825278568e-07,9.844944506889887e-09,-14.972298032709823,-15.004102463695332,-14.941474021939081
25,119.99,2.0,148532621.6,4207635.87,25.436231367960524,0.25830347022481476,0.001218370146539901,3.1408677938457984e-07,9.63730972574275e-09,-14.973596521753796,-15.004760708858079,-14.943374260771595
26,139.97,0.5,105161376.5,2987999.897,24.206041828040277,0.2897577020450551,0.0008723322448816633,1.073642384960783e-06,3.235330763174188e-08,-13.744453592222902,-13.775051114921984,-13.71476454945352
27,139.99,1.0,161695075.2,4575659.537,24.204870019847995,0.33812085375457224,0.0013151720897300655,9.886108305484372e-07,2.933671148366294e-08,-13.826965080693105,-13.857088964466149,-13.797722171584015
28,139.99,1.5,172799902.2,4887418.335,24.204870019847995,0.3898110201002352,0.0014153917493732484,8.660629434623291e-07,2.537343540781229e-08,-13.959308248043351,-13.989043438894315,-13.93043176632869
29,139.99,2.0,159813248.2,4525856.623,24.204870019847995,0.43760782759105815,0.001305809626623845,7.271910430505117e-07,2.0871257599392103e-08,-14.134076611196248,-14.163197748109049,-14.105779572801415
30,159.95,0.5,95124837.78,2705448.316,23.089355806972986,0.46605523660013315,0.0007918087952436306,1.9907033160561253e-06,5.732974144641787e-08,-13.127022556514,-13.15624411484333,-13.09863070955862
31,159.98,1.0,133998771.9,3800138.59,23.087756562694803,0.5061353126719708,0.0011081578047786287,1.5863337350614953e-06,4.497116667441151e-08,-13.354085031250222,-13.382843748063022,-13.326130310205194
32,159.98,1.5,127773988.6,3628317.571,23.087756562694803,0.544351720946741,0.0010652705612364303,1.1585410493954608e-06,3.2814503574519674e-08,-13.668349060473012,-13.697081912251416,-13.64041877900306
33,159.99,2.0,103774043.1,2951199.073,23.087223530498225,0.5753782738829898,0.0008650310500593886,7.975010765133375e-07,2.2468574470304854e-08,-14.041782652428338,-14.0703608703524,-14.013998508368594
34,179.94,0.5,49818958.29,1425487.613,22.070670286256593,0.5902776679759328,0.0004226280823017695,1.6612431137642656e-06,4.7710752912221566e-08,-13.307944372140932,-13.337084769348087,-13.279629148533099
35,179.97,1.0,68140814.69,1943279.36,22.06920903954802,0.6106530438016916,0.0005740943521850039,1.2105744228114926e-06,3.4394969176437854e-08,-13.624415581407794,-13.653239123501072,-13.596399613098463
