,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.99,0.5,416217.45,30037.58594,26.79959264619178,0.0038889588416652263,0.0002789538373527234,6.594459687700362e-09,4.357099332571421e-09,-18.837035981699664,-19.91796907884275,-18.329784014537914
1,100.0,1.0,712482.399,40951.29395,26.798874447273217,0.010539852485032456,0.00038215053389840573,2.095019309001378e-08,3.874630813478432e-09,-17.681117973913636,-17.885617502219997,-17.51142172055525
2,100.0,2.0,1279457.485,47893.29028,26.798874447273217,0.022484175672697525,0.0004452400971147918,4.3064760964884623e-08,4.97671546618671e-09,-16.96056078528646,-17.08336537048712,-16.851201106837376
3,69.93,1.333333333,152093.9681,24727.7863,29.147720648245308,0.02390619729720202,0.0002316188947848107,1.0786963668417792e-08,1.2238813308078451e-09,-18.344927499648364,-18.465355741597254,-18.23745584535903
4,69.97,2.666666667,289645.5332,28345.62828,29.14432268594078,0.026610675984254924,0.00026447674598239937,1.1184482998670743e-08,2.3720827388986232e-09,-18.308738465811043,-18.54710598691212,-18.116394850702
5,69.98,4.0,291614.6137,29859.50391,29.14347331915018,0.029335238943852104,0.0002783421799886811,8.313556680045055e-09,1.3735433479524058e-09,-18.60537831963951,-18.78596214137873,-18.452470730551816
6,90.0,2.0,481688.0018,33198.21795,27.53683051080821,0.03383639470936168,0.0003115357013053692,3.1009426048268517e-08,1.2062555823326505e-09,-17.288974612606808,-17.328651057619865,-17.25081249578402
7,90.0,3.0,708224.8075,39328.92974,27.53683051080821,0.04045361033863145,0.0003673804329937195,3.5741944360177274e-08,3.422455477357796e-09,-17.14694092578005,-17.247595417687762,-17.05549767019368
8,100.0,3.0,1275936.333,50756.73815,26.798874447273217,0.052370451261918485,0.000470390356087685,8.045438006188039e-08,3.8841488278825475e-09,-16.335575520467007,-16.38505746192261,-16.288427031396164
9,119.98,1.0,1290828.21,46395.02499,25.436878386284434,0.06442913988534445,0.00043302508557476014,3.072415006445006e-07,4.393220833202932e-09,-14.995631751553347,-15.010033883537906,-14.981434099511608
10,119.99,2.0,2431336.199,67679.38237,25.436231367960524,0.08713961055652879,0.0006280295765816464,3.7547498963028966e-07,2.583532144123927e-08,-14.795073973472345,-14.866362732241981,-14.72853086583087
11,119.99,3.0,2874581.432,67735.52483,25.436231367960524,0.1139842857027415,0.0006250300359225115,3.927166283483376e-07,1.6895769680857862e-08,-14.750177532616597,-14.794153246804129,-14.708054495053233
12,139.97,1.0,2639192.641,67002.60658,24.206041828040277,0.1386353462955865,0.0006223124002246433,1.3586430062490018e-06,1.3281351505655634e-08,-13.509024145862448,-13.518847692769432,-13.499296163012334
13,139.99,2.0,4172213.088,88038.21372,24.204870019847995,0.17760942333803245,0.0008133445021569821,1.344363910841924e-06,6.66796286464593e-08,-13.519589585518604,-13.570461273064101,-13.471181028384423
14,139.99,3.0,4698138.044,91522.23963,24.204870019847995,0.22148942584991343,0.0008363494236342726,1.2736132005717394e-06,4.241729245866604e-08,-13.573652657139482,-13.607524577922169,-13.540890554333844
15,159.97,1.0,3721358.412,86987.75415,23.088289619504987,0.25625265565473243,0.000806829401526884,3.622800376026166e-06,3.077552984815131e-08,-12.528263246651274,-12.536794490460823,-12.519804169723402
16,159.99,2.0,5378826.1,110769.6109,23.087223530498225,0.3064878613619052,0.0010050315161481437,3.084003593139725e-06,1.3635670657540248e-07,-12.689281937173167,-12.734503371488422,-12.646017310346192
17,159.99,3.0,5891289.451,115934.1194,23.087223530498225,0.36151971164026986,0.001051065715714024,2.673123007158383e-06,8.340498275056893e-08,-12.83226310347559,-12.863961559064707,-12.80153864482023
18,179.97,1.0,4112433.201,95139.49814,22.06920903954802,0.399932494983051,0.0008782609131766017,6.380959189486827e-06,5.101098494265073e-08,-11.962192128728226,-11.970218504378131,-11.954229663158454
19,179.99,2.0,6098365.35,127756.6171,22.068234982566096,0.45687649863359897,0.0011604113182645376,5.323778364092043e-06,2.2757322147551067e-07,-12.143327287882459,-12.187014384889158,-12.101469130923197
20,179.99,3.0,6450346.986,123165.3016,22.068234982566096,0.5171292490956471,0.0011191837396658181,4.267569766182715e-06,1.2391544419462703e-07,-12.364466034155392,-12.39393247299511,-12.335843071378733
21,199.96,1.0,4044442.413,94507.25999,21.136733529200395,0.5549121217033898,0.0008667972039422761,8.835316474166488e-06,6.870037391696972e-08,-11.636753632328608,-11.644559675497675,-11.62900805180016
22,199.98,2.0,6080441.011,116587.2878,21.13584004396255,0.6117078340926122,0.0010613148723160816,7.683945104304285e-06,1.497116246405766e-07,-11.776377457239615,-11.796053459041385,-11.757081141788301
23,199.99,3.0,6663823.257,127804.3523,21.135393329669867,0.6739453333469679,0.0011616948038999655,6.55610072653077e-06,1.2918871546892501e-07,-11.935114533178329,-11.955016382183569,-11.9156010511151
24,249.91,0.5,14519032.27,230627.9185,19.11826559094559,0.8095598694288132,0.0019581376548794788,0.00012107246893829441,1.7984290156966803e-06,-9.01912127480124,-9.03408685587056,-9.004376363948472
25,249.95,1.0,4051207.372,92116.70692,19.116803670426307,0.8474031030379158,0.0008483061033982445,2.493793414053863e-05,5.764151847595888e-07,-10.599120454321323,-10.62250576256001,-10.576269545427511
26,299.91,0.5,6570312.482,121802.2336,17.45017973685129,0.9087700324821343,0.001103412771127089,0.00011582661461145473,2.210428929657338e-06,-9.063416186664144,-9.08268458223319,-9.044512054449283
27,299.96,1.0,4193046.534,89292.03724,17.448657325818782,0.9479286974005968,0.0008192387336899959,6.314215938487906e-05,1.4961481288105536e-06,-9.670121875468663,-9.694102030267507,-9.646703327360163
28,324.9,0.5,1908325.746,60931.44259,16.72100994900092,0.9657527095566336,0.0005604938624975917,9.435523806073149e-05,3.397178100660164e-06,-9.2684437703539,-9.305112037244708,-9.23307264164068
29,324.95,1.0,1608812.319,52650.85678,16.719612104999168,0.9807847661719592,0.000487136855470279,6.504172805229823e-05,2.869522640319884e-06,-9.640481524007894,-9.685602516418399,-9.597308842094334
30,349.9,0.5,638705.1055,37427.00713,16.050076237862132,0.9867480035637015,0.000349935113392313,8.369870009752615e-05,6.160950994281886e-06,-9.38828711108495,-9.464745654989311,-9.317261537127393
