,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.99,0.5,416217.45,30037.58594,26.79959264619178,0.0038866468562150694,0.0002792729951411551,7.32717743077818e-10,1.1672443860699706e-08,-21.034260559035882,,-18.205153192577747
1,100.0,1.0,712482.399,40951.29395,26.798874447273217,0.010540698405032009,0.0003810793348223216,2.3277992322237533e-09,2.1391961781677088e-10,-19.878342551249855,-19.974740897947246,-19.79042527216832
2,100.0,2.0,1279457.485,47893.29028,26.798874447273217,0.02248975048709948,0.0004436433615858387,4.784973440542736e-09,2.758350726630073e-10,-19.15778536262268,-19.217159750934673,-19.10173958119281
3,69.93,1.333333333,152093.9681,24727.7863,29.147720648245308,0.023911106272000826,0.00023085258439556496,1.1985515187130884e-09,2.0294557083607445e-10,-20.542152076984582,-20.727669571289624,-20.385724821994316
4,69.97,2.666666667,289645.5332,28345.62828,29.14432268594078,0.02661970575001448,0.00026469795995888326,1.2427203331856378e-09,1.3200459264218087e-10,-20.505963043147265,-20.61826121812324,-20.40501217978474
5,69.98,4.0,291614.6137,29859.50391,29.14347331915018,0.02934113189299047,0.0002791686491021081,9.237285200050061e-10,1.0201902910562037e-10,-20.802602896975728,-20.919634200736358,-20.697844173972378
6,90.0,2.0,481688.0018,33198.21795,27.53683051080821,0.03383998303181187,0.00030784795666416155,3.445491783140946e-09,2.6536625245404204e-10,-19.486199189943026,-19.56634516587467,-19.41200271062664
7,90.0,3.0,708224.8075,39328.92974,27.53683051080821,0.04045194502707145,0.0003664642171474609,3.9713271511308085e-09,2.544935047090563e-10,-19.34416550311627,-19.41039370142923,-19.28205235693044
8,100.0,3.0,1275936.333,50756.73815,26.798874447273217,0.052371371629509854,0.00047023248615472347,8.939375562431154e-09,4.310405496411563e-10,-18.532800097803225,-18.582219564174192,-18.48570833270963
9,119.98,1.0,1290828.21,46395.02499,25.436878386284434,0.0644308446377358,0.00042978692649788306,3.4137944516055624e-08,1.4526908970929291e-09,-17.192856328889565,-17.236341820420844,-17.151183283884652
10,119.99,2.0,2431336.199,67679.38237,25.436231367960524,0.08714730294523612,0.000623112601972405,4.171944329225441e-08,1.4290441636456509e-09,-16.992298550808567,-17.02715263139836,-16.95861847319705
11,119.99,3.0,2874581.432,67735.52483,25.436231367960524,0.11399124588675841,0.0006299241888516198,4.7441950109200725e-08,1.4006458528522108e-09,-16.863758976246814,-16.89372692472881,-16.83466303674026
12,139.97,1.0,2639192.641,67002.60658,24.206041828040277,0.13863893589262724,0.000620951121884922,1.6787239952312443e-07,5.04724680511505e-09,-15.600061672777722,-15.630588894587106,-15.570438822440307
13,139.99,2.0,4172213.088,88038.21372,24.204870019847995,0.17760358881786287,0.0008138469378363903,1.710683591887304e-07,4.371030936355156e-09,-15.581202598989421,-15.607086074598394,-15.555972209102023
14,139.99,3.0,4698138.044,91522.23963,24.204870019847995,0.2214925809412881,0.000846590109780125,1.6858501286797882e-07,3.924320325819366e-09,-15.59582568697875,-15.619378889193081,-15.572814496467352
15,159.97,1.0,3721358.412,86987.75415,23.088289619504987,0.25625616604811635,0.000796634204954884,4.98521769518774e-07,1.2937668897231082e-08,-14.511618578450335,-14.537913339455548,-14.485997553983532
16,159.99,2.0,5378826.1,110769.6109,23.087223530498225,0.3064935813314534,0.0010119069697589842,4.4400646855116303e-07,1.0312449489804605e-08,-14.627426705811384,-14.650926576697394,-14.60446642287116
17,159.99,3.0,5891289.451,115934.1194,23.087223530498225,0.36151882283676023,0.0010567147074689908,4.083347677193298e-07,8.982028156964496e-09,-14.711178489859831,-14.733420751553043,-14.68942020123413
18,179.97,1.0,4112433.201,95139.49814,22.06920903954802,0.39992521438132006,0.0008765882929543343,1.0305983066095206e-06,2.572955303849208e-08,-13.785371044164911,-13.810653618442966,-13.760711947715492
19,179.99,2.0,6098365.35,127756.6171,22.068234982566096,0.4568749329358729,0.0011494246327298278,9.156278928503586e-07,2.0529780636278678e-08,-13.903655785318957,-13.926332502094109,-13.881481920075958
20,179.99,3.0,6450346.986,123165.3016,22.068234982566096,0.5171164203876433,0.0011118593030515185,7.983095296763563e-07,1.639936832704354e-08,-14.040769432903355,-14.0615259861857,-14.020434967873575
21,199.96,1.0,4044442.413,94507.25999,21.136733529200395,0.5548942421166665,0.0008695896410440483,1.7846326113168774e-06,4.3828931331745214e-08,-13.236297983907058,-13.261163666324975,-13.21203563176376
22,199.98,2.0,6080441.011,116587.2878,21.13584004396255,0.6116752218039838,0.001055099140392957,1.5885872448121371e-06,3.2260682605432745e-08,-13.35266546198008,-13.373182281344821,-13.332561133666102
23,199.99,3.0,6663823.257,127804.3523,21.135393329669867,0.6739186364010499,0.0011590780017540828,1.4434315825415584e-06,2.9173252725739176e-08,-13.448487235889754,-13.468905312822995,-13.428477728527238
24,249.91,0.5,14519032.27,230627.9185,19.11826559094559,0.8095408488548475,0.0019348091382691756,2.8742843087750594e-05,4.3210442680639996e-07,-10.457121757788883,-10.472269367307161,-10.44220017878018
25,249.95,1.0,4051207.372,92116.70692,19.116803670426307,0.8473862677586732,0.0008496878672008942,6.151849002961734e-06,1.434756691941538e-07,-11.998757870444182,-12.022356505991008,-11.975703315601642
26,299.91,0.5,6570312.482,121802.2336,17.45017973685129,0.9087538473733743,0.001105846539726685,2.8956653652863683e-05,5.506151880569152e-07,-10.449710547784035,-10.468908813397729,-10.430873923583198
27,299.96,1.0,4193046.534,89292.03724,17.448657325818782,0.9479193143893755,0.0008198053551057445,1.5785539846219765e-05,3.787802410458675e-07,-11.056416236588554,-11.08070420944775,-11.032704208465418
28,324.9,0.5,1908325.746,60931.44259,16.72100994900092,0.9657479592047219,0.0005618097147152752,2.3588809515182872e-05,8.526211191576734e-07,-10.654738131473788,-10.691552700400669,-10.619230888780766
29,324.95,1.0,1608812.319,52650.85678,16.719612104999168,0.9807750174336396,0.0004884267714156627,1.626043201307456e-05,7.130658750617191e-07,-11.026775885127785,-11.071619313877576,-10.983857378088192
30,349.9,0.5,638705.1055,37427.00713,16.050076237862132,0.9867412087108837,0.00034920461254604366,2.0924675024381536e-05,1.5394105676235e-06,-10.77458147220484,-10.850997344594585,-10.703592719942723
31,349.95,1.0,567027.5284,37323.00476,16.048788316482106,0.9920388765940709,0.00034580452475600374,1.436382331629363e-05,1.3561124448234567e-06,-11.150797782129052,-11.249968232383843,-11.060580857414497
32,334.95,1.0,152686.6305,26539.62972,16.444663706627203,0.9934665107229782,0.00024870504718361514,5.561540120470399e-06,1.0746538089999266e-06,-12.09963548797462,-12.314351568605781,-11.922971962212824
33,309.95,1.0,50915.3286,22226.18472,17.149717029669013,0.9939411551177557,0.0002081685456285886,2.1290260182519965e-06,9.466534629583622e-07,-13.059845951248322,-13.64798749803874,-12.691984711616653
