,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.95,0.5,730381.2425,32689.54803,26.802465826856075,0.009611517679649162,0.0004268322411933504,4.0299860126586485e-08,1.3860620875970971e-08,-17.026917838804103,-17.448416595046478,-16.731314327241552
1,99.98,1.0,991969.552,43231.80835,26.80031088360625,0.022664883983459956,0.0005625344357948438,9.190153522545888e-08,1.2073051326633879e-08,-16.202548102333022,-16.34338545509093,-16.079119327741857
2,99.99,2.0,1694169.872,52309.70793,26.79959264619178,0.04495891961745962,0.000682081634984805,1.644254480983276e-07,1.4890127577481696e-08,-15.620808572518206,-15.715733214355597,-15.534118590750694
3,69.93,1.333333333,157279.4489,17919.95351,29.147720648245308,0.04702921537498557,0.00023665617691135212,3.114617136088413e-08,2.463717381901135e-09,-17.284574509029923,-17.366980260754648,-17.208445505456314
4,69.97,2.666666667,315477.1151,24755.59614,29.14432268594078,0.05118302162048484,0.00032452179652498993,3.33496585461719e-08,5.588024975420612e-09,-17.216218303132788,-17.39961085683056,-17.061303327174727
5,69.97,4.0,350475.868,24132.96537,29.14432268594078,0.05579372900160884,0.00031599524301567736,2.6903649308187695e-08,2.9809630785976427e-09,-17.431003897525464,-17.54843861360107,-17.325922124913742
6,90.0,2.0,636562.2286,33303.90159,27.53683051080821,0.06416763047153774,0.00043616773633045695,1.0959551124624942e-07,3.196492149536404e-09,-16.0264694190536,-16.056069479097218,-15.997720392276733
7,90.0,3.0,819255.973,36956.9935,27.53683051080821,0.07494676001459978,0.00048503711743514896,1.0904987685985962e-07,8.328858111153186e-09,-16.031460473507483,-16.110911332599972,-15.957860079084957
8,99.99,3.0,1564260.944,47658.87702,26.79959264619178,0.09552921773990769,0.0006238139410974788,2.551603641856189e-07,9.321679083620698e-09,-15.181373610290327,-15.218590267731074,-15.145492477293892
9,119.97,1.0,1476580.297,44754.53143,25.437525437525437,0.11495397201559839,0.00058661468853478,8.921737296006329e-07,1.0439766299003328e-08,-13.929604959204202,-13.941375455348487,-13.91797139741664
10,119.99,2.0,2524956.684,62240.48226,25.436231367960524,0.14816873995831906,0.0008094839884190279,9.536303883617971e-07,5.54752416072383e-08,-13.862989674152928,-13.922923014352662,-13.80644613429316
11,119.99,3.0,3229258.353,75873.33272,25.436231367960524,0.19065389256118762,0.0009775427670234685,1.0470484238512456e-06,4.2178648740860865e-08,-13.769535377048676,-13.810652601853652,-13.730042220972678
12,139.98,1.0,2701094.181,73793.5373,24.205455909762062,0.2261995213596466,0.0009457887128835409,3.2324471004854447e-06,3.181517064422132e-08,-12.642271091326666,-12.65216228957944,-12.632476771415986
13,139.99,2.0,4226336.68,91972.29513,24.204870019847995,0.28180658286362803,0.001172944758765086,3.0818091857185334e-06,1.4640237877932906e-07,-12.689993735468882,-12.738664508858326,-12.643582269277404
14,139.99,3.0,4746448.666,96002.40001,24.204870019847995,0.34426381847923393,0.0012230567220426001,2.8436078779403568e-06,9.19309853007518e-08,-12.770436932484047,-12.803300052983877,-12.738619522476457
15,159.89,1.0,3521459.111,80177.61199,23.092554960280808,0.3906010411682081,0.0010308124688415356,7.428888305786923e-06,5.8572492898152995e-08,-11.810134332799684,-11.81805000154288,-11.802280830104348
16,159.99,2.0,4930695.069,95831.49604,23.087223530498225,0.4554720065461353,0.001219137857812873,5.98799169539751e-06,2.381967190361933e-07,-12.025754478282018,-12.066346360075704,-11.986746223885298
17,159.99,3.0,5206959.663,107510.4343,23.087223530498225,0.5239893507106661,0.001355173656956966,4.88028618645416e-06,1.4954777742802575e-07,-12.230306695053558,-12.26142925579977,-12.200123583565992
18,179.97,1.0,3352792.422,81155.04075,22.06920903954802,0.5680933486133491,0.0010380090203190185,1.0511368435749186e-05,8.379514283085756e-08,-11.463053178339967,-11.471056982089817,-11.455112927139028
19,179.98,2.0,4673000.739,93880.72053,22.068722000308963,0.6295726959226845,0.0011956758813206696,8.645255013542986e-06,1.7366911955486664e-07,-11.65849994087855,-11.678792830228534,-11.638610675760178
20,179.96,3.0,4463598.199,103270.912,22.0696961002847,0.6883224369814787,0.0013036726660272903,6.47894879244276e-06,1.4678903924032624e-07,-11.94695228414819,-11.969869186762434,-11.924548821473168
21,199.97,1.0,2688002.411,59872.03342,21.13628677713899,0.7236959737132024,0.0007777259140860649,1.3561099362180834e-05,3.100047388089944e-07,-11.208305204831195,-11.231430395859649,-11.185702723273655
22,199.99,2.0,3585876.073,81622.03162,21.135393329669867,0.7708863176235362,0.0010503863657492477,1.0540944378656206e-05,2.4224191135448067e-07,-11.460243419371855,-11.483492644712458,-11.437522461944381
23,199.99,3.0,3068842.062,78105.46256,21.135393329669867,0.8112603834580684,0.001006296648197003,7.275917368230541e-06,1.8496259339635021e-07,-11.830940654130647,-11.856690561488985,-11.805837193382382
24,249.93,0.5,2545643.931,66433.06311,19.117534602737635,0.8447579709630614,0.0008621365143363683,4.399278059170757e-05,1.1761649429757654e-06,-10.031485014969384,-10.058584314621028,-10.005100752942985
25,249.97,1.0,2800414.219,74167.83805,19.1160727940052,0.8816135537344179,0.0009541321995830901,3.0507796481307314e-05,8.150243425825197e-07,-10.397528284678787,-10.424606904105536,-10.37116362627752
26,219.97,1.0,599134.3671,30693.85255,20.27903958468527,0.8894974885029225,0.00040500189365012595,7.758255270545349e-06,4.050003459065729e-07,-11.76675308531854,-11.820367495877644,-11.715867495952264
27,189.98,2.0,309627.775,22020.05348,21.592209530801288,0.8935712326488671,0.00028808907205354884,2.1146189636745185e-06,1.508754851308041e-07,-13.066635920715758,-13.140657968301909,-12.997717523159888
28,169.99,3.0,136203.71,19602.60858,22.566231890598907,0.8953626400251354,0.0002563604106239867,6.373171254574901e-07,9.112138386138932e-08,-14.265998463094078,-14.420288424355908,-14.132362622122951
29,199.97,1.0,176881.0016,21734.32562,21.13628677713899,0.8976916977674135,0.00028477371378801084,2.532431272185002e-06,3.0952811897496213e-07,-12.886330739519563,-13.016696489738681,-12.771016817216235
30,239.96,1.0,812161.5257,40539.68391,19.48899846036912,0.9083819334492337,0.0005307656608701418,1.2420214780307505e-05,6.218238238794288e-07,-11.296185188508023,-11.347547395415214,-11.247332679007847
31,299.92,0.5,2521354.128,68298.0334,17.449875233392085,0.9415585472781068,0.0008856247390751645,0.00010122848391920688,2.888414841449614e-06,-9.198130379061567,-9.227078993542683,-9.169996263522984
32,299.96,1.0,1809846.982,55653.15438,17.448657325818782,0.9653666445839303,0.0007329237984639901,5.8919715769430145e-05,2.0410123028534187e-06,-9.739334790389794,-9.774589566917253,-9.705280703214234
33,324.92,0.5,948646.8552,36937.10947,16.720450783353122,0.9778487606330029,0.00048288756612292045,0.00010064726377045781,4.846100621950256e-06,-9.203888591837101,-9.253235731636243,-9.156862503780662
34,324.96,1.0,704577.3617,35689.76228,16.719332564244038,0.9871225859458942,0.0004678484499697456,6.105631529198895e-05,3.966919278250599e-06,-9.70371391817136,-9.770892167589729,-9.640765897013667
35,349.9,0.5,354072.5937,28614.17069,16.050076237862132,0.9917821457530148,0.00037797754458442106,0.00010113269623456492,1.0283997289159737e-05,-9.199077079330099,-9.306315084133773,-9.102233389599727
36,349.95,1.0,288587.0446,27093.07745,16.048788316482106,0.9955773646779222,0.0003558418343993801,6.981535143473066e-05,9.935913124232266e-06,-9.56965663778302,-9.723177378709039,-9.436597959886313
37,324.96,1.0,60724.95599,16272.24458,16.719332564244038,0.9963776172163147,0.00021380762302817462,2.245045113103078e-05,7.006211324230138e-06,-10.704199849054492,-11.078274452176966,-10.432590444072009
38,299.96,1.0,13863.56635,12335.74353,17.448657325818782,0.9965599118265615,0.00016324950211462342,5.82013885039e-06,5.48152439803783e-06,-12.054186439050186,-14.898403685487937,-11.390560652951025
39,274.98,1.5,1847.832773,12970.37675,18.24384726251072,0.9965833999022251,0.00017086847887187988,5.326531134327851e-07,3.957897506338075e-06,-14.445395443730684,,-12.313535231263186
40,249.98,1.5,94.49142757,11187.6855,19.115707376751477,0.996584136689448,0.00014776995777487253,2.73397998147845e-08,3.4221802056467305e-06,-17.414922327740893,,-12.577275465452058
41,249.98,2.0,14958.35466,13007.3206,19.115707376751477,0.9967800035535618,0.00017094674966293218,3.3439768019817447e-06,3.040588942575773e-06,-12.608349799972297,-15.008253785974427,-11.96162708260826
42,199.96,3.0,5546.07063,12462.24444,21.136733529200395,0.9968531889038833,0.00016459068956558673,8.614151302887894e-07,2.0261087833866076e-06,-13.964689299715406,,-12.75511120035831
43,269.91,2.0,27365.40846,13495.13309,18.41417154642213,0.9972132770322865,0.0001773428923356329,6.849682046610844e-06,3.5968735665073074e-06,-11.891308323320583,-12.635991787059146,-11.46923824028576
44,284.97,1.5,16974.00503,10998.72538,17.917293771948685,0.997437331499422,0.00014565160027912402,6.2794980955754125e-06,4.360805976936761e-06,-11.978220501764746,-13.163866792247722,-11.4508614962155
45,299.96,1.0,0.0,11495.86945,17.448657325818782,0.9974379266634205,0.00015094729869136465,0.0,7.087165128216147e-06,-inf,,-11.857225138250108
46,329.95,1.0,30860.37208,12770.27531,16.580998176090205,0.997843711600524,0.00016918434095531792,1.9449232352015323e-05,8.900703434831617e-06,-10.847702956441399,-11.459524146894244,-10.470885792807296
47,359.95,1.0,37552.03469,13936.96268,15.795293002685202,0.9983370063228048,0.00018364968556622096,2.9347174416142257e-05,1.2785241625833786e-05,-10.436314288347027,-11.008403701427147,-10.074693136312254
48,379.95,1.0,39606.6337,15441.93655,15.311590874291841,0.9988589661664439,0.00020346354835797424,4.2446155309191336e-05,,-10.067274219174545,,
49,399.9,0.5,21936.27523,13882.08792,14.857737166629523,0.9991451057438399,0.00018430518654435183,6.586923776869139e-05,,-9.627839027130692,,
50,399.95,1.0,18212.82603,13633.44234,14.856633486851882,0.9993861106412398,0.00017968798308303573,3.73196253117532e-05,,-10.195991221913527,,
51,424.89,0.5,28435.14794,12749.67311,14.325826600194832,0.9997601462566383,0.00016760563383565278,0.00021413405692554958,,-8.448908304838902,,
52,424.94,1.0,17901.80275,11613.20386,14.32480052715266,0.9999958150575206,0.0001528328234800998,inf,,inf,,
