,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.95,0.5,730381.2425,32689.54803,26.802465826856075,0.00960820585541797,0.00042933366960580007,4.477762236287387e-09,7.350895150637263e-09,-19.22414241614032,,-18.252740657626376
1,99.98,1.0,991969.552,43231.80835,26.80031088360625,0.022665321556117366,0.000567935417259449,1.0211281691717654e-08,6.768250591446865e-10,-18.39977267966924,-18.468353586138388,-18.335594767194323
2,99.99,2.0,1694169.872,52309.70793,26.79959264619178,0.04495722337606213,0.0006817417402815716,1.826949423314751e-08,8.26320363465728e-10,-17.818033149854426,-17.864317447082904,-17.773796656973918
3,69.93,1.333333333,157279.4489,17919.95351,29.147720648245308,0.04702573574628161,0.00023335878930629,3.4606857067649046e-09,4.042545069197528e-10,-19.48179908636614,-19.606017876169954,-19.371319623672292
4,69.97,2.666666667,315477.1151,24755.59614,29.14432268594078,0.05117470678631623,0.000324054055102757,3.7055176162413215e-09,3.0934225337036414e-10,-19.413442880469006,-19.500615931764855,-19.33326339187241
5,69.97,4.0,350475.868,24132.96537,29.14432268594078,0.05578524305797273,0.00031357819567604125,2.989294367576411e-09,2.1929643691847012e-10,-19.628228474861682,-19.70441926380234,-19.55743399790894
6,90.0,2.0,636562.2286,33303.90159,27.53683051080821,0.06416352637385814,0.00043620282924791356,1.2177279027361047e-08,7.084848191532859e-10,-18.223693996389823,-18.28363603703238,-18.16714271275872
7,90.0,3.0,819255.973,36956.9935,27.53683051080821,0.07494039900549303,0.0004830860536576124,1.2116652984428847e-08,6.139036624107462e-10,-18.228685050843705,-18.280679758670406,-18.179260698165812
8,99.99,3.0,1564260.944,47658.87702,26.79959264619178,0.09552069613288598,0.0006216639723854358,2.8351151576179877e-08,1.035700292148737e-09,-17.378598187626547,-17.41581331376235,-17.342718477995362
9,119.97,1.0,1476580.297,44754.53143,25.437525437525437,0.11494581273605946,0.0005848580663168514,1.0818831792012328e-07,3.867298531653543e-09,-16.03939244382945,-16.075792967070512,-16.004270513441817
10,119.99,2.0,2524956.684,62240.48226,25.436231367960524,0.14816344014099364,0.0008053513487639415,1.1842233607989608e-07,3.529399126902477e-09,-15.949008482965105,-15.979265125234456,-15.919640483547674
11,119.99,3.0,3229258.353,75873.33272,25.436231367960524,0.19065597273040924,0.0009755082575896038,1.3466352766562562e-07,3.7441238915551776e-09,-15.820486557338711,-15.84868394144792,-15.793062509473266
12,139.98,1.0,2701094.181,73793.5373,24.205455909762062,0.22619420302693705,0.0009580509342151953,4.314620575794748e-07,1.324415276720312e-08,-14.656086261738778,-14.687263236874417,-14.625851974277268
13,139.99,2.0,4226336.68,91972.29513,24.204870019847995,0.28180189179405507,0.0011758072697728393,4.3111482822037303e-07,1.07332910214811e-08,-14.656891359541824,-14.682103116132334,-14.632299635544916
14,139.99,3.0,4746448.666,96002.40001,24.204870019847995,0.3442598123989847,0.0012211429334510928,4.2421891996839e-07,9.649339620922314e-09,-14.673016194281947,-14.696025010723188,-14.650524898259812
15,159.89,1.0,3521459.111,80177.61199,23.092554960280808,0.3906050469516162,0.0010358340151651237,1.1806147577098088e-06,2.9320064910171585e-08,-13.649475274040235,-13.674623429023237,-13.62494406540975
16,159.99,2.0,4930695.069,95831.49604,23.087223530498225,0.4554881766970501,0.0012297354043399958,1.0228747057237128e-06,2.1901591131822065e-08,-13.792893555794166,-13.814537916541447,-13.771707765458455
17,159.99,3.0,5206959.663,107510.4343,23.087223530498225,0.5239968140175829,0.001357587728199067,9.171846622274956e-07,2.001644562049318e-08,-13.901957008488553,-13.924022460020348,-13.880367948230681
18,179.97,1.0,3352792.422,81155.04075,22.06920903954802,0.5681091732535132,0.0010464618928313334,2.160094090630833e-06,5.42474935687871e-08,-13.045358776739693,-13.07079298780673,-13.020555451838675
19,179.98,2.0,4673000.739,93880.72053,22.068722000308963,0.6296028687714524,0.001206700342673273,1.819525568826233e-06,3.840043166356039e-08,-13.21693476732669,-13.238265293821451,-13.196049745873948
20,179.96,3.0,4463598.199,103270.912,22.0696961002847,0.6883366148087013,0.0013053510106016124,1.4474545754947814e-06,3.356247734047799e-08,-13.445704009342421,-13.469164303052045,-13.42278150833892
21,199.97,1.0,2688002.411,59872.03342,21.13628677713899,0.7237063335224181,0.0007795983658246836,3.143728957522184e-06,7.326597024177032e-08,-12.67010089655307,-12.693682197546822,-12.647062886406186
22,199.99,2.0,3585876.073,81622.03162,21.135393329669867,0.7708955083907106,0.0010414147719946445,2.507837789861148e-06,5.7999125596899246e-08,-12.896089614374109,-12.919488386896647,-12.87322584973056
23,199.99,3.0,3068842.062,78105.46256,21.135393329669867,0.8112764877778704,0.0010124012478788206,1.7682219839387644e-06,4.573070762611291e-08,-13.245536045103933,-13.271738898621408,-13.220002286233857
24,249.93,0.5,2545643.931,66433.06311,19.117534602737635,0.8447736755119741,0.0008618342997391127,1.0849588295079933e-05,2.9228616582558246e-07,-11.431383423851665,-11.458692792511027,-11.404800073624825
25,249.97,1.0,2800414.219,74167.83805,19.1160727940052,0.8816168962666988,0.0009541323121756098,7.652568531093953e-06,2.0722549578001525e-07,-11.780469210780604,-11.80792181695774,-11.75375015709884
26,219.97,1.0,599134.3671,30693.85255,20.27903958468527,0.8894989904606934,0.00039971719346115954,1.979403649581164e-06,1.028593828172263e-07,-13.132714945703988,-13.186078628580866,-13.082055259344742
27,189.98,2.0,309627.775,22020.05348,21.592209530801288,0.8935740740022655,0.0002898320467036468,5.435388525101904e-07,3.9147186490653416e-08,-14.425164647180813,-14.499912755554522,-14.355617322238615
28,169.99,3.0,136203.71,19602.60858,22.566231890598907,0.8953667018118943,0.0002581279268825833,1.6452436964997323e-07,2.3705005065392103e-08,-15.620207133944355,-15.77578787011826,-15.485604539533893
29,199.97,1.0,176881.0016,21734.32562,21.13628677713899,0.8976931984219431,0.00028262245269308924,6.559718089355617e-07,7.921682631464695e-08,-14.237148023109334,-14.365848300795205,-14.123138724062756
30,239.96,1.0,812161.5257,40539.68391,19.48899846036912,0.9083784859963535,0.0005305844667201742,3.1050536950768763e-06,1.5538111423007326e-07,-12.682479549627912,-12.733816383315798,-12.63364999439157
31,299.92,0.5,2521354.128,68298.0334,17.449875233392085,0.941549141361676,0.0008834211339422257,2.530712097980172e-05,7.150422707901044e-07,-10.584424740181458,-10.613086170578995,-10.55656195034215
32,299.96,1.0,1809846.982,55653.15438,17.448657325818782,0.9653714189298055,0.0007222127524006138,1.4729928942357536e-05,5.080814673208559e-07,-11.125629151509685,-11.160731221139512,-11.091717566774275
33,324.92,0.5,948646.8552,36937.10947,16.720450783353122,0.9778611054221528,0.00048485568820627573,2.5161815942614454e-05,1.2000873415841797e-06,-10.590182952956992,-10.6390526420343,-10.543590647438842
34,324.96,1.0,704577.3617,35689.76228,16.719332564244038,0.987132324864443,0.0004678202893250428,1.5264078822997237e-05,9.993428138917437e-07,-11.090008279291249,-11.157720079666653,-11.02659204320948
35,349.9,0.5,354072.5937,28614.17069,16.050076237862132,0.9917879145294554,0.0003793978932227813,2.528317405864123e-05,2.5977061319633962e-06,-10.58537144044999,-10.693786017920777,-10.487569401888637
36,349.95,1.0,288587.0446,27093.07745,16.048788316482106,0.9955817113823576,0.0003545848048693985,1.7453837858682666e-05,2.4821496409039646e-06,-10.95595099890291,-11.109349592492467,-10.822984042386583
37,324.96,1.0,60724.95599,16272.24458,16.719332564244038,0.9963798392110272,0.00021315741279017642,5.612612782757695e-06,1.7567624932356834e-06,-12.090494210174382,-12.465919007301126,-11.818177621164079
38,299.96,1.0,13863.56635,12335.74353,17.448657325818782,0.9965606079384556,0.00016348376089964222,1.4550347125975e-06,1.36964177459382e-06,-13.440480800170077,-16.276002432736494,-12.777116717731918
39,274.98,1.5,1847.832773,12970.37675,18.24384726251072,0.9965853070839238,0.00017100519653997267,1.3316327835819627e-07,9.897315468868762e-07,-15.831689804850575,,-13.699600541763012
40,249.98,1.5,94.49142757,11187.6855,19.115707376751477,0.996586013488833,0.00014754103550567135,6.834949953696125e-09,8.567422538526344e-07,-18.801216688860784,,-13.962182535358268
41,249.98,2.0,14958.35466,13007.3206,19.115707376751477,0.9967819785869168,0.00017058713825549317,8.359942004954362e-07,7.558381896812577e-07,-13.994644161092188,-16.339290966140375,-13.350624758637007
42,199.96,3.0,5546.07063,12462.24444,21.136733529200395,0.9968537408957088,0.0001636227193576527,2.1535378257219735e-07,5.040697858695076e-07,-15.350983660835297,,-14.144815544973673
43,269.91,2.0,27365.40846,13495.13309,18.41417154642213,0.997214050063297,0.0001766330493821739,1.712420511652711e-06,8.951527090640563e-07,-13.277602684440474,-14.017299008050863,-12.857090569653943
44,284.97,1.5,16974.00503,10998.72538,17.917293771948685,0.9974371044462474,0.0001447676155797205,1.5698745238938531e-06,1.084550286262622e-06,-13.364514862884635,-14.538448638177949,-12.839282570749935
