,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,24.58,1.0,36194.65288,12564.11172,33.5874785879824,5.456388145744982e-05,1.8894916653738014e-05,7.202917760852676e-14,4.5645350740977344e-10,-30.261705113421158,,-21.507376477507652
1,124.95,0.5,239592.3955,22816.44422,25.11931675458428,0.00041549052128514994,3.427853959257443e-05,8.219620597035749e-12,1.5331663732646885e-12,-25.52449706400406,-25.73093739368856,-25.353468028656412
2,149.95,0.5,625609.376,30455.27463,23.63507445048452,0.001357859615624304,4.619336984655299e-05,8.098358998428889e-11,7.077929676270164e-12,-23.236774574567356,-23.328231696753058,-23.15298545864606
3,174.95,0.5,829407.8775,36209.35489,22.316447221602324,0.0026070621319758238,5.474722737153577e-05,2.4006938533696136e-10,1.5731888226778445e-11,-22.150093128798847,-22.217869514454716,-22.086620248048195
4,174.97,1.0,660297.9675,35259.43772,22.315451218423636,0.003602348227668899,5.3114611866165346e-05,1.4964345560851852e-10,1.009592723948743e-11,-22.622765613902363,-22.692615867539605,-22.557477485924885
5,174.98,2.0,543215.7234,31591.39315,22.31495325017294,0.0044202662018461,4.767653831625641e-05,7.952722840923229e-11,5.465273487190642e-12,-23.254921657192916,-23.326119144328572,-23.188458076312486
6,199.93,0.5,508504.8975,27844.059,21.138073898706352,0.005186189791982811,4.188410697227934e-05,3.565913232945189e-10,2.253831042472551e-11,-21.75443074255515,-21.819721414379675,-21.693142927853394
7,199.93,0.5,316526.1743,22949.21558,21.138073898706352,0.005662740083194252,3.4409323160580613e-05,2.5068175981697635e-10,1.9672788375535315e-11,-22.10683687042368,-22.18856456875207,-22.03128687689264
8,224.84,0.25,548764.8837,29057.20979,20.080724512540414,0.0064898876054741645,4.383305432275148e-05,9.73650096172406e-10,5.860911020203373e-11,-20.749969121005837,-20.812052258245977,-20.691516032457205
9,224.92,0.5,646454.0948,30888.56622,20.077499146706288,0.0074633713915196265,4.64330395796679e-05,6.584519145329182e-10,3.582510498359575e-11,-21.141129620140557,-21.19707379821638,-21.088150071497864
10,249.81,0.25,848532.3478,36844.35828,19.121921370659322,0.008741218078156294,5.5059494160567835e-05,2.0075490887116604e-09,9.970872919327219e-11,-20.026351217748232,-20.077293936436284,-19.97787834705431
11,249.92,0.5,809049.1492,36656.96079,19.117900089854132,0.009959491043176318,5.501101972072388e-05,1.1045362974596173e-09,5.613586173447594e-11,-20.62384023035837,-20.676000228869746,-20.57426655206195
12,249.93,0.5,472491.8798,26985.48439,19.117534602737635,0.010670780252049684,4.059654223549231e-05,7.116440077608727e-10,4.350502107889038e-11,-21.0634433186527,-21.12652490013901,-21.00410599696647
13,274.87,0.25,792129.7557,35779.62198,18.247509214992153,0.01186360746298058,5.408181371038119e-05,2.6064448674296693e-09,1.301735816898023e-10,-19.76527866389895,-19.81651192199519,-19.716542821384767
14,274.64,0.5,817283.6807,39080.47789,18.255170777122622,0.013094588296388121,5.9105840891298796e-05,1.4892465582387213e-09,7.785938964923512e-11,-20.32499551049261,-20.378692808667502,-20.274035263932166
