,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,124.95,0.5,239592.3955,22816.44422,25.11931675458428,0.0003613251211040107,3.442267239830068e-05,6.313105226345257e-12,4.563350814313743e-10,-25.788393448482186,,-21.494054206710075
1,149.95,0.5,625609.376,30455.27463,23.63507445048452,0.0013036272980149072,4.579122627588176e-05,7.601190033034144e-11,6.600346489305281e-12,-23.300131204606135,-23.390967780413046,-23.21686317981034
2,174.95,0.5,829407.8775,36209.35489,22.316447221602324,0.0025530103762675216,5.448691191049325e-05,2.3349258695498546e-10,1.514895345551101e-11,-22.17787078683968,-22.244950993740705,-22.115008853423795
3,174.97,1.0,660297.9675,35259.43772,22.315451218423636,0.003547819268833463,5.3236956634689545e-05,1.4703143248962067e-10,9.931206580333912e-12,-22.640374725547428,-22.710308881591494,-22.575013306606344
4,174.98,2.0,543215.7234,31591.39315,22.31495325017294,0.00436559671525835,4.762174592428868e-05,7.845475484388669e-11,5.3905777605486476e-12,-23.268499028721497,-23.339682922867823,-23.202047292840863
5,199.93,0.5,508504.8975,27844.059,21.138073898706352,0.005131450704204953,4.196276422751275e-05,3.525819600578331e-10,2.2364122716166866e-11,-21.76573800990031,-21.831268566090316,-21.704238879564702
6,199.93,0.5,316526.1743,22949.21558,21.138073898706352,0.005608101049883125,3.47016533266288e-05,2.481892050611316e-10,1.9590550392811572e-11,-22.11682973700827,-22.199053249675618,-22.04085628129469
7,224.84,0.25,548764.8837,29057.20979,20.080724512540414,0.006434526107683437,4.394372599938467e-05,9.650187435045e-10,5.814274925122121e-11,-20.758873591457466,-20.821015395939735,-20.700368500504503
8,224.92,0.5,646454.0948,30888.56622,20.077499146706288,0.007408024930175314,4.681353528554011e-05,6.53377240195389e-10,3.5859873571274936e-11,-21.14886645024951,-21.205313923734256,-21.095435762221665
9,249.81,0.25,848532.3478,36844.35828,19.121921370659322,0.008685969406081044,5.5815819114237274e-05,1.9942575235386144e-09,9.970301396590122e-11,-20.032994024528847,-20.08428211334609,-19.98420857018447
10,249.92,0.5,809049.1492,36656.96079,19.117900089854132,0.009904894388365764,5.53317770092411e-05,1.0982158294224277e-09,5.586044808380446e-11,-20.629578947217134,-20.68178289481508,-20.57996557268595
11,249.93,0.5,472491.8798,26985.48439,19.117534602737635,0.01061624888424598,4.061282015161707e-05,7.079600581468807e-10,4.328915514468095e-11,-21.068633438872997,-21.131729080471015,-21.009283677278933
12,274.87,0.25,792129.7557,35779.62198,18.247509214992153,0.011809598622513686,5.401559546868685e-05,2.5941166498960365e-09,1.2975501056024364e-10,-19.77001978294372,-19.82133303283373,-19.721211564139004
13,274.64,0.5,817283.6807,39080.47789,18.255170777122622,0.013040334531084453,5.873752690051001e-05,1.48290247961335e-09,7.731681642056495e-11,-20.329264534810985,-20.382811778885152,-20.278439451183903
14,299.8,0.25,1027303.779,40697.69161,17.453529976437732,0.014587457022836285,6.173998947741426e-05,4.144735193625218e-09,1.8352857025218395e-10,-19.30142693613571,-19.346717155220535,-19.258099353664623
15,299.9,0.5,1198472.16,45919.82914,17.450484250937965,0.016391990111175633,6.962532244742504e-05,2.711027211247978e-09,1.1603555748028118e-10,-19.72593822913316,-19.769682536608222,-19.684027555181746
16,324.85,0.333333333,2132407.263,57215.54172,16.722408026755854,0.019603805470128365,8.652776354911325e-05,8.40718219279302e-09,2.6484850982774993e-10,-18.59417947346949,-18.62618900478164,-18.563162851824025
17,349.8,0.25,3660762.07,76517.43375,16.052652700858815,0.025118460933797167,0.00011580087156966505,2.3908390209427288e-08,6.175010534070156e-10,-17.549036384826508,-17.57520357619109,-17.523536491163078
