,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,1.0,241.67,4.5,26.798874447273217,0.015671771945916447,0.00029013642924998986,5.954059339638518e-09,2.0748664908637827e-09,-18.939192608054064,-19.3676387336185,-18.64021508748708
1,99.98,2.0,386.13,5.91,26.80031088360625,0.040714348770752806,0.00037766330304268977,1.7112987204411343e-08,4.1014819663087157e-10,-17.883428176062978,-17.907687131506247,-17.859743806203117
2,70.02,1.33,26.22,1.55,29.140076347000033,0.04241416541260284,0.0001003441436056182,2.576177390417936e-09,1.577096861205059e-10,-19.776959168335353,-19.840131677363342,-19.71754140288521
3,70.02,2.67,55.33,2.3,29.140076347000033,0.04600299093113181,0.0001501808782808962,2.880254187705101e-09,1.29351149159952e-10,-19.66538728707338,-19.711336601519292,-19.621456884102834
4,70.02,4.0,73.04,2.72,29.140076347000033,0.05074053818651581,0.00017503011349199449,2.776908583187722e-09,1.1134579787037417e-10,-19.701927548433414,-19.742850625143912,-19.662613537711003
5,90.02,2.0,140.81,4.1,27.535314040256633,0.05987378093020179,0.00026581260304958974,1.2241815176060637e-08,4.009798238047694e-10,-18.218408272159632,-18.251711656579335,-18.186178349264804
6,90.0,3.0,191.44,4.58,27.53683051080821,0.07228732999267086,0.0002969249463322372,1.3257120015860405e-08,3.6321606340518447e-10,-18.13873106915262,-18.16651119909649,-18.11170186110616
7,100.02,3.0,348.02,5.76,26.797438164911437,0.09485692965407819,0.00036935623751281626,3.048004446168282e-08,6.041491439691315e-10,-17.306193647412403,-17.326213858350027,-17.286566391152334
8,120.0,1.0,385.0,5.77,25.43558438255119,0.11982071620551109,0.0003739456637988956,1.4208467038309398e-07,2.583365958851329e-09,-15.766842686740175,-15.78519188501729,-15.74882412375747
9,120.02,2.0,590.52,8.34,25.434290510466212,0.15811625479871316,0.0005300169637922601,1.4517586170702873e-07,2.4522225675097654e-09,-15.745319990062526,-15.762355669984641,-15.728569670016897
10,120.02,3.0,652.91,7.47,25.434290510466212,0.2004578200938057,0.00047430044612522794,1.4332526981138643e-07,1.9695481709311874e-09,-15.758149175639266,-15.77198627509435,-15.744500931271007
11,139.98,1.0,554.98,7.16,24.205455909762062,0.23645111572332597,0.00045897184358620666,4.6246854403967677e-07,6.806979525281099e-09,-14.586687295194098,-14.601515486068704,-14.572075770705492
12,140.02,2.0,764.49,7.43,24.20311252027011,0.286035275510558,0.0004773307941020991,3.981536168064647e-07,4.61866341345935e-09,-14.736427934254417,-14.748095946113867,-14.724894496196159
13,139.99,3.0,758.15,8.95,24.204870019847995,0.3351993840749374,0.0005678973460756543,3.3024100802050595e-07,4.3434352715181145e-09,-14.923443121710251,-14.936682698970497,-14.910376542923364
14,159.98,1.0,535.99,8.75,23.087756562694803,0.3699571934610312,0.0005510059432855464,8.342994405502185e-07,1.413643105670075e-08,-13.996673457600494,-14.01376272437937,-13.97987133367056
15,160.02,2.0,790.64,7.49,23.085624581573057,0.42122920136066516,0.0004785939320259615,7.286400554710344e-07,7.843676948938996e-09,-14.132085977941491,-14.14290915491283,-14.121378688972696
16,160.02,3.0,751.43,11.35,23.085624581573057,0.4699667283323789,0.0007061647468607707,5.559456444296178e-07,8.598999967325897e-09,-14.40259530929206,-14.418183515930226,-14.38724636986396
17,180.02,1.0,619.38,7.28,22.066774058300417,0.510133670705837,0.00046466998203836997,1.6124216632620683e-06,2.018071765815034e-08,-13.337773370379324,-13.350368134252843,-13.325335263569189
18,180.02,2.0,900.27,11.36,22.066774058300417,0.5685097176588841,0.0007099406944970842,1.3966630499378404e-06,1.804617483668188e-08,-13.481424702245002,-13.49442982581745,-13.46858654284503
19,180.02,3.0,922.21,10.8,22.066774058300417,0.6283104700384795,0.000678079659578212,1.177729089085998e-06,1.4153116778916808e-08,-13.651922474492256,-13.664012559982465,-13.639976814787317
20,199.96,1.0,721.52,8.08,21.136733529200395,0.6750998877878118,0.0005142151314784071,3.361724118687586e-06,3.9338954548210044e-08,-12.603056585033848,-12.614827610044552,-12.591422506614034
21,200.02,2.0,908.53,9.66,21.134053300082424,0.7340159348468263,0.0006058888323546092,2.6086803481399476e-06,2.8625853811917195e-08,-12.856666078234884,-12.86770003742124,-12.845752539794667
22,200.02,3.0,840.62,8.86,21.134053300082424,0.7885273745515455,0.0005617996655558434,2.0630668091841653e-06,2.27946676553084e-08,-13.091316939918592,-13.102427356295275,-13.0803286097079
23,250.03,0.5,763.88,8.77,19.113880500019114,0.8380670106343587,0.0005579862023927347,1.4739351173337782e-05,1.7566901145168598e-07,-11.124989690262968,-11.136979651434535,-11.113141786677025
24,250.01,1.0,678.9,9.75,19.114611208808014,0.8820970620640338,0.0006178861812479278,8.947809163223775e-06,1.2768960721457322e-07,-11.62410184187453,-11.63847513293436,-11.60993221839381
25,299.85,0.5,626.62,9.35,17.452006980802793,0.9227326853696172,0.0005908749587434907,2.3788212606275606e-05,3.3920806019794443e-07,-10.646320368616752,-10.660682514033669,-10.63216157726612
26,299.92,1.0,380.0,6.44,17.449875233392085,0.9473781158034952,0.00041210882480619665,1.0810507622298196e-05,1.7888139295614203e-07,-11.4349919688312,-11.451677392425047,-11.418580385702523
27,325.01,0.5,233.11,4.16,16.717935000668717,0.962495840155213,0.0002669211150766882,1.9063065075309992e-05,3.570604316649515e-07,-10.867757860741047,-10.886665981708331,-10.849200632352929
28,325.01,1.0,231.35,5.01,16.717935000668717,0.9774962872142654,0.0003243787744984318,1.437820687681121e-05,3.083520200716944e-07,-11.149796909078564,-11.17147600268795,-11.128577843218638
29,350.01,0.5,131.95,2.74,16.047243083638232,0.9860533075394577,0.00017785009881832544,2.6932966459921138e-05,6.736316112391583e-07,-10.52215950273569,-10.547489018858936,-10.497455753262303
30,349.91,1.0,121.14,3.35,16.049818637049402,0.9939071656440266,0.00021675874494046768,2.332058097680168e-05,7.760046113412738e-07,-10.666174283550388,-10.700016036888291,-10.633440404345318
31,335.0,1.0,28.37,1.82,16.44331168297295,0.9957476708053526,0.00011868461735526111,1.0124303494067078e-05,6.980596472172077e-07,-11.500571738047284,-11.572012860197319,-11.433895903468212
32,309.92,1.0,9.53,1.13,17.150599413449502,0.9963649924119252,7.345588824096821e-05,4.423130179668485e-06,5.38210600230113e-07,-12.328662927074292,-12.45840827463218,-12.213834535228965
33,290.01,1.5,5.76,0.93,17.7569429646992,0.9967384381431373,6.050179871604428e-05,2.036558954218742e-06,3.3434736762113244e-07,-13.10424896148307,-13.283582219089912,-12.95223826164051
