,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,2.6436e-14,1.0544e-15,13.828389684021296,0.005071695930917502,1.8705638700819744e-08,5.976247291198836e-10,-17.794440823735158,0.03194890795649195,0.03194890795649195
1,450,0.36667,1.2973e-14,6.7557e-16,13.828389684021296,0.00756054111596035,1.870639719626502e-08,1.303324906910481e-09,-17.794400275530432,0.06967268433553346,0.06967268433553346
2,500,0.25,3.6047e-14,4.2344e-16,12.934100756644895,0.014476088975764526,1.329900486241992e-07,3.4902561939086746e-09,-15.832991533898433,0.026244491448915667,0.026244491448915667
3,500,0.36667,1.9301e-14,3.8414e-16,12.934100756644895,0.018178948832120963,7.194480973742418e-08,1.9185772694092655e-09,-16.44736654329045,0.0266673478797354,0.0266673478797354
4,550,0.31667,4.4509e-14,2.1831e-16,12.148454109214603,0.026717915173065397,2.641202911073065e-07,3.343167000772826e-09,-15.146861189442447,0.012657743889183313,0.012657743889183313
5,550,0.36667,3.2031e-14,3.7867e-16,12.148454109214603,0.032863001130215445,2.1784477216571717e-07,3.363511041059012e-09,-15.339483082074082,0.015439943807787813,0.015439943807787813
6,600,0.25,7.3976e-14,3.6042e-16,11.452785890167783,0.04705515494265126,9.897856116377659e-07,8.44913057898889e-09,-13.825777471170204,0.00853632390655628,0.00853632390655628
7,600,0.26667,4.8096e-14,4.5553e-16,11.452785890167783,0.05628228035850116,7.800767283968063e-07,8.832771556214728e-09,-14.063873552361263,0.011322952261846875,0.011322952261846875
8,650,0.26667,1.046e-13,3.9403e-16,10.832475762335482,0.0763495898748414,2.1774603850444443e-06,1.2610346877746772e-08,-13.03735132124658,0.005791309437525947,0.005791309437525947
9,650,0.36667,8.126e-14,3.2477e-16,10.832475762335482,0.09193916512625448,1.5609945338066112e-06,8.262076347652498e-09,-13.370187418162535,0.0052928284940913645,0.0052928284940913645
10,700,0.31667,1.7176e-13,3.8068e-16,10.275908133381288,0.1248909919190518,4.922431021367994e-06,1.6817307263615228e-08,-12.221708039458079,0.0034164637738166876,0.0034164637738166876
11,700,0.38333,1.2349e-13,4.9356e-16,10.275908133381288,0.14858231172949976,3.6873873706112564e-06,1.6849021483241138e-08,-12.510592380327848,0.004569365729657007,0.004569365729657007
12,750,0.33333,1.6397e-13,4.3665e-16,9.773737966085129,0.18003964195315472,6.765990955388195e-06,2.151475697810198e-08,-11.903601824380491,0.0031798382705445966,0.0031798382705445966
13,750,0.36667,8.3915e-14,3.2296e-16,9.773737966085129,0.19613857386580955,3.6033189690296605e-06,1.4897175345650512e-08,-12.53365520138246,0.0041342927100517495,0.0041342927100517495
14,800,0.3,1.2377e-13,2.7383e-16,9.318361831989936,0.21988361113958996,7.1838204995369965e-06,1.8453216588339506e-08,-11.843679213421161,0.002568719052700277,0.002568719052700277
15,800,0.33333,8.6842e-14,3.8871e-16,9.318361831989936,0.23654408239215227,4.977052787754454e-06,2.307319634430976e-08,-12.21067265180405,0.004635915536415261,0.004635915536415261
16,825,0.25,6.9825e-14,3.0083e-16,9.106224104175203,0.2499398748106844,5.687014088138267e-06,2.5290101363253103e-08,-12.0773252123896,0.004446991157627361,0.004446991157627361
17,850,0.26667,7.4422e-14,2.7041e-16,8.903530249744023,0.26421759286828544,6.005762713202432e-06,2.267256504704184e-08,-12.022791097474911,0.003775135004451787,0.003775135004451787
18,875,0.25,7.1168e-14,2.0457e-16,8.70966337151069,0.27787103726273005,6.4589198639530805e-06,1.9593111358736156e-08,-11.950048457872297,0.0030334965863385863,0.0030334965863385863
19,900,0.25,8.2459e-14,1.8962e-16,8.524059156970548,0.2936906383660561,7.8905268339455e-06,1.9544018859259423e-08,-11.749847652972486,0.002476896571111061,0.002476896571111061
20,925,0.25,1.009e-13,2.4947e-16,8.346200392271419,0.31304810997407456,1.0249383282931888e-05,2.6791093807301915e-08,-11.488293021708834,0.0026139225227255025,0.0026139225227255025
21,950,0.25,1.2301e-13,2.1916e-16,8.175612148959653,0.336647342704524,1.3379968229750788e-05,2.6187520186240243e-08,-11.221751877725099,0.001957218413120851,0.001957218413120851
22,975,0.25,1.4818e-13,2.2492e-16,8.011857549172776,0.3650753916923949,1.7408444774526074e-05,2.956913899464738e-08,-10.958555137609896,0.0016985514431430517,0.0016985514431430517
23,1000,0.25,1.7666e-13,2.1068e-16,7.854534029768684,0.3989672740935103,2.2597514510067927e-05,3.1610756417736724e-08,-10.697670635164618,0.0013988598791983564,0.0013988598791983564
