,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,2.64e-14,1.05e-15,13.828389684021296,0.005063096927620727,1.8642262074345015e-08,5.959684975030394e-10,-17.797834679132205,0.03196867929043844,0.03196867929043844
1,450,0.36667,1.3e-14,6.76e-16,13.828389684021296,0.007556288596524873,1.8720001421280663e-08,1.3023111595245523e-09,-17.793673289973857,0.06956789853894463,0.06956789853894463
2,500,0.25,3.6e-14,4.23e-16,12.934100756644895,0.014460511679644046,1.3265279046290128e-07,3.47650569784277e-09,-15.835530720301213,0.02620755798435342,0.02620755798435342
3,500,0.36667,1.93e-14,3.84e-16,12.934100756644895,0.018161942388094047,7.184528205046165e-08,1.9144470784022894e-09,-16.448750890454008,0.026646803015647536,0.026646803015647536
4,550,0.31667,4.45e-14,2.18e-16,12.148454109214603,0.02669632925472747,2.637517323027795e-07,3.3328240000627335e-09,-15.14825758420508,0.012636216531979954,0.012636216531979954
5,550,0.36667,3.2e-14,3.79e-16,12.148454109214603,0.0328334164397223,2.1737436300829644e-07,3.3586763892073518e-09,-15.341644794657872,0.015451115498285152,0.015451115498285152
6,600,0.25,7.4e-14,3.6e-16,11.452785890167783,0.04702543055502281,9.890413337707253e-07,8.429768633114714e-09,-13.826529712697806,0.008523171221748818,0.008523171221748818
7,600,0.26667,4.81e-14,4.56e-16,11.452785890167783,0.056250239729968156,7.794147729247998e-07,8.829222648364672e-09,-14.064722489994077,0.011328015525331261,0.011328015525331261
8,650,0.26667,1.05e-13,3.94e-16,10.832475762335482,0.07638755705573241,2.185154418709595e-06,1.2618652815967994e-08,-13.033824059735577,0.005774719034922814,0.005774719034922814
9,650,0.36667,8.13e-14,3.25e-16,10.832475762335482,0.09197959418510987,1.5619683374344725e-06,8.26101710508084e-09,-13.369563777280737,0.005288850552918078,0.005288850552918078
10,700,0.31667,1.72e-13,3.81e-16,10.275908133381288,0.12496643780445703,4.930295290690395e-06,1.681981265597931e-08,-12.220111675011648,0.003411522366163186,0.003411522366163186
