,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,8.05e-15,3.21e-16,13.828389684021296,0.0018557366467645633,2.504371854415759e-09,8.025242723497714e-11,-19.805227890574564,0.03204493258198635,0.03204493258198635
1,450,0.36667,3.95e-15,2.06e-16,13.828389684021296,0.002766315498282579,2.5041734245536177e-09,1.7697460652382274e-10,-19.805307127099816,0.0706718651306546,0.0706718651306546
2,500,0.25,1.27e-14,1.49e-16,12.934100756644895,0.0056939994006316415,2.161514159406765e-08,5.980373942289883e-10,-17.64987176811648,0.027667521474535318,0.027667521474535318
3,500,0.36667,1.13e-14,2.24e-16,12.934100756644895,0.008298946494847737,2.1688027950826383e-08,6.204820448725112e-10,-17.646505435981677,0.028609426651392197,0.028609426651392197
4,550,0.31667,3.62e-14,1.77e-16,12.148454109214603,0.016643998248000183,1.4340266340136953e-07,2.0570919749944457e-09,-15.757609335722064,0.014344865891624715,0.014344865891624715
5,550,0.36667,2.65e-14,3.13e-16,12.148454109214603,0.02275294497337421,1.4319929055575812e-07,2.5097295970918787e-09,-15.759028536651705,0.01752613150073292,0.01752613150073292
6,600,0.25,6.12e-14,2.98e-16,11.452785890167783,0.03686115401461537,7.339529870047093e-07,8.881541417272627e-09,-14.124820860785514,0.012100967738435869,0.012100967738435869
7,600,0.26667,3.98e-14,3.77e-16,11.452785890167783,0.04603610041725259,6.222385338336895e-07,9.0560289455955e-09,-14.289942322813141,0.014553950700867355,0.014553950700867355
8,650,0.26667,8.63e-14,3.25e-16,10.832475762335482,0.0659305193757348,1.822355267906893e-06,1.9920173356534076e-08,-13.215380790259918,0.01093100434769442,0.01093100434769442
9,650,0.36667,6.7e-14,2.68e-16,10.832475762335482,0.08137578090781254,1.3537192061039066e-06,1.4624092247783488e-08,-13.512654785996924,0.01080289928800862,0.01080289928800862
