,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.96,0.5,1.06e-17,2.12e-19,26.801747473935304,0.014035591294339558,0.0002825193950656739,9.547671975443843e-09,5.984556280217812e-09,-18.46696848437588,-19.452630479554347,-17.980348729353036
1,99.98,1.0,1.26e-17,2.5e-19,26.80031088360625,0.03071302373116409,0.00033300018188767226,1.809435092961028e-08,5.50968312326944e-10,-17.827666050725462,-17.858589016983352,-17.797670701341683
2,99.97,2.0,1.6e-17,2.99e-19,26.801029159519725,0.05189326397835995,0.0003990765373671357,2.1209495595147584e-08,5.57738179340607e-10,-17.66881685011665,-17.69546541627889,-17.642860035713426
3,69.99,1.333333333,8.77e-19,5.03e-20,29.14262400186513,0.053053960427560325,6.697479707769722e-05,2.21545956316511e-09,1.3209412896876347e-10,-19.927805977242926,-19.989281253570674,-19.869892033059184
4,69.99,2.666666667,1.74e-18,7.08e-20,29.14262400186513,0.055357414123663,9.41108705899344e-05,2.2703267366063004e-09,9.841418604789946e-11,-19.903342078980042,-19.947657697859114,-19.86090727923003
5,69.99,4.0,2.3e-18,7.07e-20,29.14262400186513,0.058402083823589114,9.439932297290383e-05,2.0993683029291126e-09,7.12142885767027e-11,-19.981629345597867,-20.016139810140317,-19.948270230078798
6,89.97,2.0,5.03e-18,1.2e-19,27.53910552985239,0.06506067892068161,0.00016123225656762856,9.96569957716826e-09,2.781940771231779e-10,-18.42411668231697,-18.452428874520518,-18.396584049930937
7,89.97,3.0,6.95e-18,1.52e-19,27.53910552985239,0.07426120631751948,0.00020409534573767553,1.0358972003999206e-08,2.6807731039814155e-10,-18.385412832451642,-18.41163233519372,-18.359863264085078
8,99.99,3.0,1.23e-17,2.41e-19,26.79959264619178,0.09054556051882084,0.00032294027634704434,2.1686428832034135e-08,5.135002546463372e-10,-17.646579171489236,-17.67054242516561,-17.62317674236695
9,119.93,1.0,1.38e-17,2.67e-19,25.440113971710595,0.10881674871627295,0.0003560622668757818,9.589679320990279e-08,2.2417033328049822e-09,-16.159993294511807,-16.183647059537517,-16.13688612591792
10,119.96,2.0,2.17e-17,3.99e-19,25.438172521686045,0.1375441396976476,0.0005284245304217533,9.51453755956395e-08,2.132700070528298e-09,-16.167859845587227,-16.19053005711167,-16.145692200316397
11,119.99,3.0,2.31e-17,4.11e-19,25.436231367960524,0.1681251101478408,0.0005458452140292397,8.605856788267212e-08,1.8543014430998748e-09,-16.268237750591545,-16.290020246678118,-16.246919634260134
12,139.97,1.0,3.65e-17,6.34e-19,24.206041828040277,0.2164453007768423,0.0008274031754185514,5.330309255648129e-07,1.1142994364693269e-08,-14.444686392766176,-14.465812963300735,-14.423996935432694
13,139.99,2.0,2.52e-17,4.48e-19,24.204870019847995,0.24980804282844268,0.0005939078504373161,2.3213261963340163e-07,4.847874246723364e-09,-15.275956992251054,-15.297062220585188,-15.255288003501734
14,159.9,1.0,2.9e-17,5.09e-19,23.092021706500407,0.28820541817902673,0.0006673442287525478,6.39986205313088e-07,1.2991266503996187e-08,-14.261819215023289,-14.282327368420884,-14.241723207779522
15,159.98,2.0,3.75e-17,6.45e-19,23.087756562694803,0.3378540094345954,0.0008454314759780458,5.054907660772489e-07,1.0114982658353153e-08,-14.497736065562226,-14.517949203970707,-14.477923416339962
16,179.96,1.0,3.62e-17,6.37e-19,22.0696961002847,0.3857733123035577,0.0008347758187772545,1.1942703566602444e-06,2.394298225664329e-08,-13.637975139261433,-13.658227041110774,-13.618125248910257
17,179.98,2.0,4.26e-17,7.29e-19,22.068722000308963,0.4421678492323058,0.0009399929807111049,8.592664889853945e-07,1.6600334584740235e-08,-13.96718673142632,-13.986694978258573,-13.948051785455405
18,199.96,1.0,3.7e-17,6.38e-19,21.136733529200395,0.49115732829638065,0.0008273178523144218,1.809403078081307e-06,3.511818803259656e-08,-13.222513558194889,-13.242113095060178,-13.203290790502626
19,199.94,2.0,4.27e-17,7.28e-19,21.137627089982878,0.5476895813383421,0.0009420294002834751,1.2603249643586477e-06,2.4131615632069763e-08,-13.584140962032347,-13.603473780154271,-13.565174824011237
20,249.85,0.5,7.32e-17,1.22e-18,19.120458891013385,0.6445990778648093,0.0015181650231691239,1.1399233431367667e-05,2.042572995751891e-07,-11.381964447687212,-11.40004543995759,-11.364204580039544
21,249.86,1.0,6.98e-17,1.17e-18,19.120093306055335,0.7370118620677342,0.0014606142200338848,7.776117250677734e-06,1.388297208147784e-07,-11.764453412386157,-11.78246805318407,-11.746757564402003
22,299.9,0.5,1.1e-16,1.82e-18,17.450484250937965,0.8826314521156404,0.0021393423854039707,4.467556919844125e-05,6.395691378929301e-07,-10.01608375612829,-10.030503075381144,-10.00186940169083
23,299.83,1.0,5.99e-17,1.01e-18,17.45261614716046,0.9619455647693635,0.00127003547357709,3.1694903687384376e-05,4.081109803325743e-07,-10.359354656964916,-10.372314507708753,-10.346560617355882
24,324.88,0.5,1.8e-17,3.38e-19,16.72156915204923,0.9857724897106594,0.00044573897569734274,5.538497761620834e-05,8.893804835546736e-07,-9.801202163144447,-9.8173906461153,-9.78527157772675
25,324.94,1.0,6.19e-18,1.39e-19,16.719891655102078,0.9939677774016965,0.0001853948609170074,2.414857270716275e-05,5.621293457606869e-07,-10.631285280764915,-10.654838444821934,-10.608274126674788
26,349.88,0.5,8.29e-19,5.18e-20,16.05059146429546,0.9950649749297026,6.900594713015857e-05,1.1303624086228464e-05,7.087918278051316e-07,-11.390387168068793,-11.455144198514379,-11.329569783564695
27,349.95,1.0,6.56e-20,3.58e-20,16.048788316482106,0.995152184012685,4.755807144393094e-05,4.997146332514515e-07,2.720060349041568e-07,-14.509228634951675,-15.29519910285364,-14.074643181211453
28,334.95,1.0,0.0,0.0,16.444663706627203,0.995152184012685,0.0,0.0,0.0,-inf,-inf,-inf
29,309.95,1.0,0.0,0.0,17.149717029669013,0.995152184012685,0.0,0.0,0.0,-inf,-inf,-inf
30,289.97,1.5,4.52e-19,4.25e-20,17.758204290382157,0.9957500231493016,5.639738696798003e-05,2.471833643396344e-06,2.2870183689112307e-07,-12.910550316994033,-13.007637540663978,-12.822060478585604
31,249.98,1.5,0.0,0.0,19.115707376751477,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
32,249.98,2.0,0.0,0.0,19.115707376751477,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
33,284.97,1.5,0.0,0.0,17.917293771948685,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
34,299.95,1.0,0.0,0.0,17.44896178677369,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
35,329.98,2.0,0.0,0.0,16.580173428614064,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
36,359.95,1.0,0.0,0.0,15.795293002685202,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
37,379.94,1.0,0.0,0.0,15.31182532269672,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
38,399.88,0.5,0.0,0.0,14.85817868445686,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
39,399.94,1.0,0.0,0.0,14.856854209689642,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
40,424.97,0.5,0.0,0.0,14.324184953876124,0.9957500231493016,0.0,0.0,0.0,-inf,-inf,-inf
41,424.64,1.0,3.21e-18,9.34e-20,14.330959171097323,1.0,0.00012396714093611938,inf,,inf,,
