,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,0.5,10000000,400000,26.798874447273217,0.008325253788093803,0.0003312079863558301,3.360038237857825e-09,2.003801569438798e-09,-19.511313482721224,-20.418552128425212,-19.043585736384447
1,100.0,1.0,18400000,500000,26.798874447273217,0.023641200270617592,0.0004115200365781838,1.187034308670412e-08,5.2960379266835e-10,-18.24922272506064,-18.294864347294226,-18.20557364826617
2,100.0,2.0,31000000,700000,26.798874447273217,0.049455587994083804,0.0005800936199248944,2.2863380189503564e-08,7.640204122346161e-10,-17.59372932470299,-17.62771719819667,-17.560858755956847
3,80.0,1.0,3200000,200000,28.31657935721365,0.05211953917376121,0.0001655931617346592,6.558794640298469e-09,4.302881962898175e-10,-18.842458994730325,-18.91031476366568,-18.778916500098095
4,80.0,1.0,3100000,200000,28.31657935721365,0.05470176680515648,0.00016684401917373495,6.681940041715965e-09,4.519241548095508e-10,-18.82385746615657,-18.893886954085065,-18.75841278628208
5,70.0,2.0,2500000,200000,29.141774734081306,0.05678165760122322,0.00016616158832350177,2.811932000307267e-09,2.319581014313421e-10,-19.689394045257924,-19.775486554778816,-19.610129500838326
6,70.0,2.0,2600000,200000,29.141774734081306,0.05894552851964183,0.0001661046240760116,3.0357945479045486e-09,2.408730669946427e-10,-19.61279265167108,-19.695461823431664,-19.53643890206611
7,70.0,2.0,2300000,200000,29.141774734081306,0.06086002284785462,0.00016721068337064715,2.7801796389595063e-09,2.497519086795943e-10,-19.700750293000784,-19.794877485144838,-19.614725809218577
8,90.0,1.5,9300000,400000,27.53683051080821,0.0686016079327016,0.00032963079923813235,1.6197064325593625e-08,7.579256209039909e-10,-17.938435825598926,-17.986360077280754,-17.892703654321057
9,90.0,2.0,11800000,400000,27.53683051080821,0.07842654894990891,0.0003312369686300966,1.75047912077679e-08,6.629963588033675e-10,-17.860791210187728,-17.89940225133166,-17.823615724936566
10,100.0,1.5,18100000,500000,26.798874447273217,0.09349430538495623,0.00041165820858266684,4.186215639909767e-08,1.3247820616389603e-09,-16.988883606704558,-17.02104146522629,-16.95772773785937
11,120.0,0.5,23900000,600000,25.43558438255119,0.11338931395184237,0.0004966802400624148,2.1745353572228788e-07,6.411440652110464e-09,-15.341280638102612,-15.3712082206661,-15.312222750881578
12,120.0,0.5,22500000,500000,25.43558438255119,0.1321161363496554,0.00041429384249954543,2.4709538867386313e-07,6.407431271651962e-09,-15.21349138590719,-15.239764524974394,-15.187890889931621
13,120.0,0.5,20700000,700000,25.43558438255119,0.14934645486024292,0.0005777893894564212,2.6486601014322183e-07,9.693412479059313e-09,-15.144041760931197,-15.181325667165112,-15.108098123569038
14,140.0,0.5,64600000,1000000,24.20428415829602,0.2031206173597862,0.0008198696377147976,1.0712371761003096e-06,2.090470124676389e-08,-13.74669633807428,-13.766403801197905,-13.727369764770486
15,140.0,0.5,51700000,900000,24.20428415829602,0.24616213366728543,0.0007350317945767281,1.1448510882119792e-06,2.3235678881820207e-08,-13.680235983379157,-13.700740582056682,-13.660143389421997
16,140.0,1.0,84200000,1500000,24.20428415829602,0.31626788382935095,0.0011878870325991249,1.2393899419786726e-06,2.4838050344738505e-08,-13.60089128168558,-13.62113536267019,-13.581048904831398
17,160.0,0.5,107200000,1600000,23.086690522913543,0.4055166119055719,0.0012650220417718165,4.441958961761275e-06,7.45700608794821e-08,-12.324415071219706,-12.341345232953376,-12.30776677446312
18,160.0,1.0,151300000,1500000,23.086690522913543,0.5314849392585899,0.0012032554893818652,4.712483981739053e-06,5.770384069399342e-08,-12.265295404296388,-12.277615879060626,-12.253124878067103
19,174.9,0.5,118100000,1400000,22.318937618569358,0.6298060797507944,0.00112150059109547,1.0937489784566185e-05,1.4851574089743775e-07,-11.423314240263498,-11.436985867212336,-11.409827008548634
20,175.0,0.5,82200000,1400000,22.313957380341403,0.698218121472825,0.0011122494726483253,1.0326608173445655e-05,1.814000684810555e-07,-11.480786675948375,-11.498509071839754,-11.463372901793486
21,200.0,1.0,259300000,2600000,21.134946634259748,0.9140748594384589,0.0018573560870317764,3.5359844061243816e-05,3.486782463805797e-07,-10.249933730237252,-10.25984352407016,-10.240121177566266
22,200.0,0.5,37600000,1100000,21.134946634259748,0.9453788940430128,0.0008937657992848775,2.5504408320752273e-05,6.68952704522026e-07,-10.576659245417492,-10.603238263842206,-10.550768419203505
23,225.0,0.5,38400000,700000,20.074274816822243,0.9773434524750502,0.0005753243739791966,4.955499322697847e-05,9.902467858907297e-07,-9.912427530782466,-9.932612672145174,-9.892641780870779
24,225.0,1.0,10300000,400000,20.074274816822243,0.9859183573225689,0.0003334275262611795,1.339419190568325e-05,5.298557167918562e-07,-11.220689384844007,-11.261051711782446,-11.181893167848918
25,250.0,0.5,4300000,200000,19.114976584153684,0.9894982492882411,0.00016719422782965438,1.652755695609283e-05,8.598475649256254e-07,-11.01048145160377,-11.063908690254124,-10.959764491972438
