,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.1,0.5,8.0,0.4,26.79169457468185,0.051025519911577034,0.002474271696089306,1.2636210380502743e-07,3.089852480212896e-08,-15.884114211855245,-16.164521033897806,-15.665361353143437
1,100.0,1.0,11.4,0.4,26.798874447273217,0.1237368819110545,0.0024620892281156407,3.3284806065554264e-07,1.8665398564864832e-08,-14.915579725398443,-14.973291293771938,-14.861017835616796
2,100.0,2.0,14.3,0.5,26.798874447273217,0.21496998992256364,0.0030563460075507163,4.3538853493191847e-07,2.07361193922319e-08,-14.647027020757436,-14.695825220575545,-14.600499700043416
3,70.0,1.3,0.9,0.1,29.141774734081306,0.2207113109642832,0.0006347464950444652,5.6572125026585256e-08,6.469248133101112e-09,-16.68774946374702,-16.809187407480596,-16.579474609278588
4,70.0,2.0,1.2,0.1,29.141774734081306,0.22836718721644866,0.0006362430547922402,5.0876983305363885e-08,4.454342866548116e-09,-16.79385521005429,-16.885478556226733,-16.709926611917485
5,90.0,1.0,2.4,0.2,27.53683051080821,0.2436709366064673,0.0012671278146686457,2.1643148453753018e-07,1.8977567872764707e-08,-15.345991808239459,-15.437760613174653,-15.26194118742082
6,90.0,2.0,4.2,0.3,27.53683051080821,0.2704746405167274,0.0018735063155191382,2.108471764656083e-07,1.5945221221704904e-08,-15.372132248042897,-15.45076919844677,-15.299230785551826
7,120.1,0.5,7.4,0.4,25.429116338207248,0.3177056199223908,0.002479039844134633,1.7698265571211006e-06,1.0411513122921625e-07,-13.244629006506964,-13.305258242973228,-13.187466490773934
8,120.0,1.0,10.7,0.5,25.43558438255119,0.3859982387155652,0.0030519681908516396,1.6371981961843684e-06,8.254732680535792e-08,-13.322524194097419,-13.374259558841429,-13.273334229835012
9,140.1,0.5,13.3,0.5,24.198427102238355,0.47085280974213906,0.003041797091684144,5.469269156347633e-06,2.2479533456279494e-07,-12.116365559899767,-12.158335641113156,-12.076086243055528
10,140.0,1.0,15.9,0.6,24.20428415829602,0.5722921581390252,0.0035677166660934554,4.5774625766026415e-06,1.7834793713816504e-07,-12.294365735941238,-12.334107255590705,-12.256143421447346
11,200.0,0.5,40.1,0.8,21.134946634259748,0.8282691104016968,0.004448859642634967,4.7675289539836e-05,1.02662167298546e-06,-9.951097333295687,-9.972866186987533,-9.929792284029322
12,200.0,1.0,6.6,0.3,21.134946634259748,0.8703969363681511,0.0018811358743558645,7.89059800035409e-06,3.7152319714745185e-07,-11.749838633791743,-11.798067459059999,-11.703829199828165
13,250.0,0.5,4.5,0.2,19.114976584153684,0.8991041159102836,0.0012705719904782776,1.4412300377477525e-05,6.543075347256176e-07,-11.147428523117055,-11.193890605085045,-11.103029659434336
14,250.0,1.0,3.1,0.2,19.114976584153684,0.9188822917511652,0.0012759921338510605,6.147042128666697e-06,4.1745341183163453e-07,-11.999539546529993,-12.069866806980386,-11.933834893908552
15,300.0,0.5,3.9,0.2,17.447439588240428,0.9437689059585511,0.0012703675180426566,2.064983543142566e-05,1.2503650891036461e-06,-10.787803208011475,-10.850264794209862,-10.729014764995183
16,300.0,1.0,3.5,0.3,17.447439588240428,0.9661327543160738,0.001897149298193092,1.4270663756011845e-05,1.1841169040870182e-06,-11.157304613470952,-11.243925813308037,-11.077592174645327
17,325.0,0.5,1.9,0.2,16.718214494691967,0.9782726027042514,0.0012570928545254873,2.4988696546099166e-05,2.6342214939966127e-06,-10.597086973497383,-10.7084840309024,-10.496864766030853
18,325.0,1.0,1.8,0.2,16.718214494691967,0.9897448247150804,0.0012718695557321419,2.121473644805387e-05,2.283503748753976e-06,-10.76081450229293,-10.874697476041211,-10.65858502486042
19,350.0,0.5,0.8,0.1,16.047500601781273,0.9948440637582544,0.0006366000312279073,3.901694042926949e-05,5.908455824397551e-06,-10.15151463616469,-10.31572097595534,-10.010507304995942
20,350.0,1.0,0.7,0.1,16.047500601781273,0.9993095394744749,0.0006341432811909039,5.8525410643905456e-05,,-9.746049528056504,,
21,335.0,1.0,0.1,0.1,16.44331168297295,0.9999460190354517,0.000637799687646372,inf,,inf,,
