,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,1.32e-14,5.25e-16,13.828389684021296,0.0025324190821451827,0.00010048690114137859,4.663301817536393e-09,6.30870718872846e-10,-19.18354209517232,-19.32889639258141,-19.056659142737697
1,450,0.366666667,6.09e-15,3.17e-16,13.828389684021296,0.0037011685990344986,6.068815930940855e-05,4.332738619066417e-09,3.6809569376695655e-10,-19.2570660193254,-19.34585004258595,-19.17552583061523
2,500,0.25,2.16e-14,2.53e-16,12.934100756644895,0.007844942946605258,4.851344737188027e-05,4.174772777543903e-08,7.281991358750559e-10,-16.991620811670998,-17.00921757535884,-16.974328347111772
3,500,0.366666667,1.77e-14,3.52e-16,12.934100756644895,0.01124015867050878,6.69799291380676e-05,3.855711485558862e-08,1.5030912725798881e-09,-17.071125192213227,-17.11088889236905,-17.032882361235995
4,550,0.316666667,5.35e-14,2.62e-16,12.148454109214603,0.021503571950333488,5.0073482584328225e-05,2.3152664694319214e-07,2.118278264748767e-09,-15.27857086445812,-15.287762152190986,-15.269463287668032
5,550,0.366666667,3.01e-14,3.56e-16,12.148454109214603,0.027278059222490554,6.761627202630236e-05,1.676000656980821e-07,2.7878680249314884e-09,-15.601685256905176,-15.618459207203033,-15.585188036543109
6,600,0.25,6.64e-14,3.24e-16,11.452785890167783,0.04001636999190396,6.169872849053198e-05,7.480485948159754e-07,3.749571666238916e-09,-14.105797894750637,-14.110822970022982,-14.10079794465648
7,600,0.266666667,4.45e-14,4.22e-16,11.452785890167783,0.048553220746218755,8.032792438970503e-05,6.18584817465721e-07,7.189937533127984e-09,-14.295831520375684,-14.307522801858086,-14.284275346891496
8,650,0.266666667,1.16e-13,4.37e-16,10.832475762335482,0.07080724323428808,8.242654127218284e-05,2.173062513301466e-06,1.1389222142454391e-08,-13.03937308890246,-13.044627964338675,-13.03414568289654
9,650,0.366666667,7.91e-14,3.16e-16,10.832475762335482,0.08598135263942001,5.982478517662714e-05,1.415607454462515e-06,9.490908788870767e-09,-13.467951822550486,-13.47467887635135,-13.461269719782825
