,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,199270000.0,8107200.0,13.828389684021296,0.04985569909823732,0.0019231935766019844,1.809225729045355e-06,1.8323951041791702e-07,-13.222611578216034,-13.329396022503456,-13.12613787212392
1,450,0.36667,52506000.0,2760300.0,13.828389684021296,0.06299637283807327,0.0006819786364145027,8.828451992613074e-07,7.052426007103505e-08,-13.940115963986294,-14.023370329565367,-13.863263328114042
2,500,0.25,129760000.0,1523500.0,12.934100756644895,0.09548038068793042,0.0003766898996474248,4.493127200611329e-06,8.033982603084114e-08,-12.312961617435391,-12.331004010441875,-12.295238991531132
3,500,0.36667,82828000.0,1650500.0,12.934100756644895,0.11621160003285975,0.000409218113526373,2.611866586895256e-06,1.0173097276079269e-07,-12.855445424847192,-12.895173776744482,-12.81723529065051
4,550,0.31667,132860000.0,649720.0,12.148454109214603,0.14946825617931092,0.00017382588800765193,6.087983897674508e-06,6.976571821299276e-08,-12.009193582337016,-12.020719325933452,-11.997799169261404
5,550,0.36667,67937000.0,802110.0,12.148454109214603,0.16647376530256475,0.0002017652021990571,3.1970761479867077e-06,5.695200130624522e-08,-12.653273869594466,-12.671248221666302,-12.63561689853092
6,600,0.25,102760000.0,496300.0,11.452785890167783,0.19219567404459958,0.0001345443781372969,8.05165756955711e-06,5.143729746710492e-08,-11.729632578468452,-11.736041482652242,-11.723264486912086
7,600,0.26667,47692000.0,450370.0,11.452785890167783,0.20413316872308396,0.00011418164094299747,3.871051375921514e-06,4.8459724195960334e-08,-12.461984414454378,-12.474581922524015,-12.449543631297797
8,650,0.26667,100850000.0,377350.0,10.832475762335482,0.2293765636265575,0.00010900611559768417,8.953624029814244e-06,6.280690060535047e-08,-11.623452188102982,-11.63049159711588,-11.616461986182266
9,650,0.36667,68056000.0,272790.0,10.832475762335482,0.24641167490218663,7.721170309288533e-05,4.822799577931795e-06,4.265688925938754e-08,-12.242155973218438,-12.251040160719752,-12.233350019966984
10,700,0.31667,122280000.0,270680.0,10.275908133381288,0.2770206724321205,9.603038214786763e-05,1.1038212531493364e-05,4.4762148255791054e-08,-11.414147438603125,-11.418210882204287,-11.410100439775988
11,700,0.38333,91058000.0,364310.0,10.275908133381288,0.29981363627847857,0.00010363806225788308,7.483100481315587e-06,4.734216028274092e-08,-11.802863349010785,-11.809209989839163,-11.79655673413537
12,750,0.33333,189530000.0,503900.0,9.773737966085129,0.3472557867407899,0.00016181965421883837,2.0092559704722894e-05,6.387999916759236e-08,-10.815160975370963,-10.818345326307554,-10.811986732346632
13,750,0.36667,152530000.0,585710.0,9.773737966085129,0.38543649595229434,0.00016548480288511172,1.6644773366902553e-05,7.638262975989054e-08,-11.00341430271622,-11.008013850304163,-10.998835814141312
14,800,0.3,265620000.0,590530.0,9.318361831989936,0.4519249605134314,0.00020445002447675592,4.0487853111209145e-05,7.935178905038213e-08,-10.114508552017753,-10.11647036636789,-10.112550578848706
15,800,0.33333,188170000.0,847280.0,9.318361831989936,0.4990262460463215,0.00022784242919191095,2.931590712992566e-05,1.411636366256764e-07,-10.43738028380289,-10.442207171833733,-10.432576582743993
16,825,0.25,149740000.0,649160.0,9.106224104175203,0.5365070540686822,0.00017819057201680824,3.387112921877893e-05,1.0701356148078138e-07,-10.292947551897647,-10.296111986386691,-10.289793099474947
17,850,0.26667,152180000.0,552120.0,8.903530249744023,0.57459970158333,0.0001572172747285218,3.4626290800812565e-05,1.2941499804857153e-07,-10.270897314705783,-10.274641794469066,-10.267166803781423
18,875,0.25,132870000.0,380320.0,8.70966337151069,0.6078579368648668,0.00011918217700583926,3.6659438581520584e-05,1.0250189577448721e-07,-10.213839629867453,-10.216639603571886,-10.211047474130755
19,900,0.25,145150000.0,334030.0,8.524059156970548,0.6441908985582282,0.00011622954651767563,4.378400072367244e-05,9.914612510923347e-08,-10.036242087594418,-10.03850909262623,-10.033980210252114
20,925,0.25,176980000.0,436720.0,8.346200392271419,0.688490364463883,0.00014489321621142138,5.987702107666541e-05,1.4162734888914482e-07,-9.723217747869011,-9.725585853475891,-9.720855236940116
21,950,0.25,189400000.0,337110.0,8.175612148959653,0.7358988758232772,0.0001346833163316321,7.434764973447615e-05,1.2814399175076904e-07,-9.506758496391958,-9.508483561708276,-9.505036401802023
22,975,0.25,188060000.0,285920.0,8.011857549172776,0.7829727252820816,0.00012674359702280109,8.840136700131067e-05,1.30751627938578e-07,-9.33362312462451,-9.335103287467001,-9.332145149426383
23,1000,0.25,150570000.0,179480.0,7.854534029768684,0.8206621814253946,9.536145217107029e-05,8.58992700749565e-05,1.0681187032837037e-07,-9.362335226391348,-9.363579455046722,-9.361092543917318
24,1025,0.25,96002000.0,169410.0,7.703270038131186,0.8446926250434398,6.850593156295549e-05,6.478534326179567e-05,1.1558099942744651e-07,-9.644431164421105,-9.646216818678168,-9.64264869304249
25,1050,0.25,53959000.0,50006.0,7.557722102558288,0.8581991305102502,3.306423980440715e-05,4.0971524248180164e-05,4.8280822958324285e-08,-10.10263326309022,-10.103812357431007,-10.101455557375736
26,1075,0.25,37289000.0,52296.0,7.4175722286095755,0.8675330531503828,2.4942540550943263e-05,3.0662497626187414e-05,4.894318919991016e-08,-10.39247022579712,-10.394067691624638,-10.390875307797145
27,1100,0.25,37474000.0,57946.0,7.282525579871098,0.8769131782394355,2.55977838707224e-05,3.307327373493832e-05,5.7232504830665916e-08,-10.316785041768613,-10.318517016723046,-10.315056061365683
28,1100,0.5,59580000.0,96502.0,7.282525579871098,0.8918269953321314,4.1311608634517356e-05,2.9080905494186623e-05,5.2115414232054946e-08,-10.445428767744303,-10.447222459061729,-10.443638287995718
29,1100,1.0,91797000.0,93861.0,7.282525579871098,0.9148049778108516,5.696132093936026e-05,2.6882855876802276e-05,3.8841778510446916e-08,-10.524021802536218,-10.525467700475012,-10.522577992200178
30,1100,2.0167,125750000.0,270980.0,7.282525579871098,0.9462818277302887,9.647101570809385e-05,2.5745614953372612e-05,5.456346669168352e-08,-10.567246238428949,-10.569367817875454,-10.565129150554247
31,1100,3.1167,108990000.0,296070.0,7.282525579871098,0.9735643587061713,9.5580713706274e-05,2.5610655980574412e-05,5.5857527088870506e-08,-10.572502043845253,-10.574685452549323,-10.570323392030401
32,1100,8.85,91577000.0,141080.0,7.282525579871098,0.9964872005099263,6.239542992857027e-05,2.5674326814503403e-05,1.9503834475969525e-08,-10.570019021986928,-10.57077897361257,-10.569259647449226
33,1150,0.26667,1520800.0,5049.9,7.026666198222253,0.9968678790505013,1.5327367119580667e-06,4.8422897822045596e-05,1.573794338900048e-07,-9.935537760619269,-9.938793157264405,-9.932292927203248
34,1175,0.25,1686500.0,3471.1,6.905362013603563,0.9972900348367616,1.289475632525949e-06,6.519312933417104e-05,1.372230542988891e-07,-9.638156472894611,-9.640263561126359,-9.63605381514989
35,1200,0.25,1899800.0,3334.8,6.788174999151478,0.9977655707915644,1.3611359730556974e-06,8.688896861577545e-05,1.6413513437116292e-07,-9.35087947718274,-9.352770285186358,-9.348992237587915
36,1225,0.98333,5658100.0,6288.3,6.674899042151987,0.9991818510373238,3.5907831562429476e-06,0.00011502499114061999,1.8517260165156945e-07,-9.070361138944088,-9.071972282833102,-9.068752586664809
37,1250,0.58333,1773300.0,3802.8,6.5653415618947575,0.9996257258983335,1.3839038028477743e-06,0.00015093110700992792,5.096482175220308e-07,-8.798687070228118,-8.802069478485096,-8.795316064100932
38,1275,0.26667,552340.0,3196.2,6.4593224170784485,0.9997639835461233,8.688411594468146e-07,0.00019465081546787537,1.3154025899187954e-06,-8.544303294510598,-8.551083986884475,-8.537568270436894
39,1300,0.3,464180.0,3663.4,6.356672917395035,0.99988016605929,9.607937674132715e-07,0.0002543647860771522,2.2253457502007026e-06,-8.27674115558722,-8.285528288855248,-8.26803056393708
40,1550,0.25,473580.0,4278.0,5.485012204152154,0.9999987094359492,1.1028607783828717e-06,0.002040516430090943,6.440594180712632e-05,-6.19455235115821,-6.226624766096264,-6.163476690485963
41,1550,0.25,5154.4,719.01,5.485012204152154,1.0,1.8158893174611775e-07,inf,,inf,,
