,TC,thr,M,delM
0,450,0.3,2.6457838e-14,1.0552444e-15
1,450,0.366666667,1.2983176e-14,6.7612483e-16
2,500,0.25,3.6081008e-14,4.238436e-16
3,500,0.366666667,1.9331643e-14,3.8473838e-16
4,550,0.316666667,4.4606588e-14,2.1879086e-16
5,550,0.366666667,3.2102308e-14,3.7951348e-16
6,600,0.25,7.415124e-14,3.612797e-16
7,600,0.266666667,4.824457e-14,4.56934e-16
8,650,0.266666667,1.0512415e-13,3.9601318e-16
9,650,0.366666667,8.178488e-14,3.2686964e-16
10,700,0.316666667,1.7292164e-13,3.8324622e-16
11,700,0.383333333,1.2447468e-13,4.9748797e-16
12,750,0.333333333,1.6598004e-13,4.4200485e-16
13,750,0.366666667,8.5540624e-14,3.292202e-16
14,800,0.3,1.2674117e-13,2.8041484e-16
15,800,0.333333333,8.937242e-14,4.000399e-16
16,825,0.25,7.241416e-14,3.1198918e-16
17,850,0.266666667,7.8100524e-14,2.8377827e-16
18,875,0.25,7.561622e-14,2.1735125e-16
19,900,0.25,8.808653e-14,2.0256379e-16
20,925,0.25,1.07873515e-13,2.6671728e-16
21,950,0.25,1.3152344e-13,2.3432216e-16
22,975,0.25,1.5842902e-13,2.404794e-16
23,1000,0.25,1.8887734e-13,2.2525512e-16
24,1025,0.25,2.2320958e-13,3.9336226e-16
25,1050,0.25,2.61761e-13,2.429273e-16
26,1075,0.25,2.9051298e-13,4.0741538e-16
27,1100,0.25,3.18768e-13,4.9415415e-16
28,1100,0.5,4.4955082e-13,7.2764297e-16
29,1100,1.0,5.2722816e-13,5.3940715e-16
30,1100,2.016666667,5.030609e-13,1.0838951e-15
31,1100,3.116666667,3.015638e-13,8.1470477e-16
32,1100,8.85,1.7191753e-13,2.6444355e-16
33,1150,0.266666667,2.1159559e-15,7.040631e-18
34,1175,0.25,2.3061122e-15,4.745748e-18
35,1200,0.25,2.5515756e-15,4.470105e-18
36,1225,0.983333333,7.354578e-15,8.167994e-18
37,1250,0.583333333,2.2461446e-15,4.819328e-18
38,1275,0.266666667,7.022115e-16,4.040174e-18
39,1300,0.3,5.875584e-16,4.6730866e-18
40,1550,0.25,6.3634033e-16,5.7151633e-18
41,1550,0.25,8.0785395e-18,1.5072131e-18
