,TC,thr,M,delM
0,450,0.3,9.893484e-15,3.9459173e-16
1,450,0.366666667,4.8548515e-15,2.528261e-16
2,500,0.25,1.5588323e-14,1.8311603e-16
3,500,0.366666667,1.383444e-14,2.7533304e-16
4,550,0.316666667,4.4460644e-14,2.1807502e-16
5,550,0.366666667,3.258037e-14,3.8516515e-16
6,600,0.25,7.525738e-14,3.6666902e-16
7,600,0.266666667,4.8970143e-14,4.63806e-16
8,650,0.266666667,1.06740165e-13,4.0210086e-16
9,650,0.366666667,8.306183e-14,3.3197323e-16
10,700,0.316666667,1.7565199e-13,3.892975e-16
11,700,0.383333333,1.2656788e-13,5.0585385e-16
12,750,0.333333333,1.6937412e-13,4.510433e-16
13,750,0.366666667,8.7795006e-14,3.3789664e-16
14,800,0.3,1.3057258e-13,2.8889184e-16
15,800,0.333333333,9.245391e-14,4.1383295e-16
16,825,0.25,7.5385045e-14,3.2478893e-16
17,850,0.266666667,8.2082934e-14,2.9824835e-16
18,875,0.25,8.025237e-14,2.306774e-16
19,900,0.25,9.3879155e-14,2.158845e-16
20,925,0.25,1.1504088e-13,2.844386e-16
21,950,0.25,1.4026597e-13,2.4989785e-16
22,975,0.25,1.6896e-13,2.564644e-16
23,1000,0.25,2.0143216e-13,2.40228e-16
24,1025,0.25,2.380466e-13,4.195095e-16
25,1050,0.25,2.7916075e-13,2.5907514e-16
26,1075,0.25,3.0745523e-13,4.311752e-16
27,1100,0.25,3.3162186e-13,5.1408023e-16
28,1100,0.5,4.5366437e-13,7.343011e-16
29,1100,1.0,4.9807397e-13,5.0957947e-16
30,1100,2.016666667,4.558139e-13,9.820966e-16
31,1100,3.116666667,2.845684e-13,7.6879e-16
32,1100,8.85,1.7085924e-13,2.628157e-16
33,1150,0.266666667,2.1345986e-15,7.102663e-18
34,1175,0.25,2.32693e-15,4.788589e-18
35,1200,0.25,2.5745683e-15,4.510386e-18
36,1225,0.983333333,7.424178e-15,8.245292e-18
37,1250,0.583333333,2.2669623e-15,4.8639945e-18
38,1275,0.266666667,7.093579e-16,4.0812905e-18
39,1300,0.3,5.925298e-16,4.7126262e-18
40,1550,0.25,6.425546e-16,5.7709753e-18
41,1550,0.25,8.3892525e-18,1.5651829e-18
