,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,203270000.0,8107200.0,13.828389684021296,0.05081781997694437,1.8780112377354345e-06,3.153787480709446e-08,-13.185297193311424,0.016793230079455664,0.016793230079455664
1,450,0.36667,53005000.0,2760300.0,13.828389684021296,0.06406915341462793,9.058209743156583e-07,5.8655478389911366e-08,-13.914424150521995,0.06475394151060059,0.06475394151060059
2,500,0.25,129690000.0,1523500.0,12.934100756644895,0.09649185756580575,4.542936845849153e-06,1.1860698588354358e-07,-12.301936872703587,0.02610799795553264,0.02610799795553264
3,500,0.36667,82933000.0,1650500.0,12.934100756644895,0.11722523811457304,2.6364612022602676e-06,6.968742929583732e-08,-12.846072993707047,0.026432184640568013,0.026432184640568013
4,550,0.31667,132460000.0,649720.0,12.148454109214603,0.15034044662613918,6.104335108001867e-06,8.074505612677112e-08,-12.006511365750871,0.013227494018296355,0.013227494018296355
5,550,0.36667,67849000.0,802110.0,12.148454109214603,0.16730280343046694,3.205810355270361e-06,4.9376309783197806e-08,-12.650545658592538,0.015402130603896459,0.015402130603896459
6,600,0.25,101860000.0,496300.0,11.452785890167783,0.19276796377312228,8.001688692837057e-06,7.523865529524834e-08,-11.735857951955449,0.009402847096838494,0.009402847096838494
7,600,0.26667,47551000.0,450370.0,11.452785890167783,0.20465578862540587,3.8651774495103065e-06,4.533119601239211e-08,-12.46350296507446,0.011728102164658775,0.011728102164658775
8,650,0.26667,100170000.0,377350.0,10.832475762335482,0.22969844630775207,8.898928080802617e-06,6.240716168021793e-08,-11.629579728838959,0.007012885272648397,0.007012885272648397
9,650,0.36667,68254000.0,272790.0,10.832475762335482,0.24676205374960952,4.837374997919132e-06,3.0999493924810676e-08,-12.239138340165674,0.006408329711495504,0.006408329711495504
10,700,0.31667,122130000.0,270680.0,10.275908133381288,0.2772947460002329,1.1023612010069763e-05,5.2015454363739094e-08,-11.41547103933503,0.00471854908502081,0.00471854908502081
11,700,0.38333,91153000.0,364310.0,10.275908133381288,0.3000831394884919,7.488389522744786e-06,3.915942791219656e-08,-11.802156800544628,0.005229352425278635,0.005229352425278635
12,750,0.33333,189220000.0,503900.0,9.773737966085129,0.34738843734866515,2.004672661974067e-05,7.36687900740988e-08,-10.817444678401015,0.003674853828831822,0.003674853828831822
13,750,0.36667,152180000.0,585710.0,9.773737966085129,0.38543367690241825,1.6588644170072506e-05,6.931506590418657e-08,-11.006792182835676,0.004178464809633903,0.004178464809633903
14,800,0.3,266910000.0,590530.0,9.318361831989936,0.45216159705810394,4.0645075314008544e-05,9.73107823472812e-08,-10.1106328777964,0.0023941592332034013,0.0023941592332034013
15,800,0.33333,189290000.0,847280.0,9.318361831989936,0.4994843950284675,2.9475339472353655e-05,1.2759021681430302e-07,-10.431956594309328,0.004328710681482602,0.004328710681482602
16,825,0.25,150670000.0,649160.0,9.106224104175203,0.537152132205258,3.407559211825112e-05,1.4243849344872755e-07,-10.286929203621396,0.0041800739061093675,0.0041800739061093675
17,850,0.26667,151950000.0,552120.0,8.903530249744023,0.5751398713969572,3.4568097828798365e-05,1.2250621046154255e-07,-10.27257932929935,0.003543909504892796,0.003543909504892796
18,875,0.25,132310000.0,380320.0,8.70966337151069,0.6082175796724013,3.649965953131096e-05,1.0266316926196774e-07,-10.218207625328622,0.002812715805578924,0.002812715805578924
19,900,0.25,145250000.0,334030.0,8.524059156970548,0.6445303083173128,4.380076283161916e-05,9.888031291489338e-08,-10.035859324486522,0.0022575020735372455,0.0022575020735372455
20,925,0.25,176630000.0,436720.0,8.346200392271419,0.6886880863589702,5.9732054285734026e-05,1.416581006860811e-07,-9.725641758948028,0.002371559163333743,0.002371559163333743
21,950,0.25,189220000.0,337110.0,8.175612148959653,0.7359933842191434,7.42216778884433e-05,1.2780285195852534e-07,-9.508454295629079,0.0017219073402061273,0.0017219073402061273
22,975,0.25,188360000.0,285920.0,8.011857549172776,0.7830836807255498,8.847028419323731e-05,1.3102971575925455e-07,-9.3328438341622,0.001481059057898567,0.001481059057898567
23,1000,0.25,150500000.0,179480.0,7.854534029768684,0.8207089176347353,8.578572370992679e-05,1.0715915796701828e-07,-9.363657955641957,0.001249149081371196,0.001249149081371196
24,1025,0.25,96130000.0,169410.0,7.703270038131186,0.844741568957526,6.48093601874988e-05,1.1523582970751643e-07,-9.644060517699613,0.001778073867326104,0.001778073867326104
25,1050,0.25,53883000.0,50006.0,7.557722102558288,0.858212403777311,4.0871114251295845e-05,4.784739015272234e-08,-10.105086997454224,0.0011706896430210563,0.0011706896430210563
26,1075,0.25,37290000.0,52296.0,7.4175722286095755,0.8675349624772679,3.062664403515019e-05,4.854749987364707e-08,-10.393640207759837,0.0015851393909802561,0.0015851393909802561
27,1100,0.25,37379000.0,57946.0,7.282525579871098,0.8768797713173241,3.2943973100758656e-05,5.704752861676511e-08,-10.3207022241933,0.0017316529625095944,0.0017316529625095944
28,1100,0.5,59621000.0,96502.0,7.282525579871098,0.8917851151695669,2.90549576888779e-05,5.196005648510108e-08,-10.446321428680637,0.001788337021223443,0.001788337021223443
29,1100,1.0,91742000.0,93861.0,7.282525579871098,0.9147207595849988,2.6814974496525742e-05,3.849943185594324e-08,-10.526550076619685,0.0014357437431436447,0.0014357437431436447
30,1100,2.0167,125770000.0,270980.0,7.282525579871098,0.9461634575655187,2.5677578403777065e-05,5.4318231701887355e-08,-10.569892382507275,0.0021153954180467955,0.0021153954180467955
