,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,255238109.6,4538054.741,26.801029159519725,0.09011563684305067,3.543379666286923e-06,5.656162303257867e-08,-12.550429578271755,0.01596261997288287,0.01596261997288287
1,99.97,0.5,119141426.8,2142558.564,26.801029159519725,0.1321803017447676,4.0800580100206854e-06,9.656139116407894e-08,-12.409399351506956,0.02366667114215599,0.02366667114215599
2,99.97,0.5,91297005.74,1646689.208,26.801029159519725,0.1644140768147102,4.171492458407299e-06,8.980617766397576e-08,-12.387236682491018,0.021528548489397076,0.021528548489397076
3,99.98,0.5,77552049.92,1405726.892,26.80031088360625,0.1917949893985607,4.255692734459442e-06,8.781835791657086e-08,-12.367253004381872,0.020635502466022262,0.020635502466022262
4,99.98,0.5,66306294.82,1215479.434,26.80031088360625,0.21520541973661464,4.1573981568061796e-06,8.431312449296396e-08,-12.390621122437652,0.02028026215264777,0.02028026215264777
5,99.97,0.5,58690564.98,1076757.412,26.801029159519725,0.23592700260736926,4.0789120746453396e-06,8.143353247730923e-08,-12.409680253476441,0.019964522644041024,0.019964522644041024
6,99.97,0.5,53858325.28,991632.281,26.801029159519725,0.2549424908881498,4.072779522453944e-06,8.066275381252413e-08,-12.411184862250039,0.01980533278755118,0.01980533278755118
7,49.51,2.0,2729189.2,114926.8364,30.99237587553462,0.2559060720054391,5.3695493933177906e-08,2.2930989441468828e-09,-16.739936750811275,0.042705612262372725,0.042705612262372725
8,49.53,2.133333333,2832309.587,175189.0737,30.99045493987852,0.25690606131960997,5.2442370299684015e-08,3.264891104747483e-09,-16.763550978849604,0.06225674175461812,0.06225674175461812
9,49.78,4.333333333,4734197.467,144688.0617,30.966463320224204,0.2585775406310187,4.3379160503392646e-08,1.3607131610066413e-09,-16.953286683892784,0.031367899821395144,0.031367899821395144
10,59.84,2.0,7092583.89,177313.7637,30.03093185981561,0.26108168358644085,1.4194991723247027e-07,3.686168720818529e-09,-15.767791537102838,0.025968093484561316,0.025968093484561316
11,59.89,3.0,10486832.56,230440.4622,30.02642325246217,0.2647842168644527,1.4159245328492604e-07,3.2639859746039897e-09,-15.770312953117484,0.0230519769866257,0.0230519769866257
12,69.98,2.0,17286615.38,356606.5669,29.14347331915018,0.2708875152953606,3.566323372939507e-07,7.753524935183583e-09,-14.846560453368662,0.02174094753721903,0.02174094753721903
13,69.99,3.0,24888485.11,486823.5938,29.14262400186513,0.279674767674174,3.5182417825414334e-07,7.2757724806244526e-09,-14.86013427973298,0.02068013777998149,0.02068013777998149
