,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,1.2234e-14,4.8794e-16,13.828389684021296,0.0026465886480427354,5.093766308992383e-09,1.6297085224037314e-10,-19.095248337179125,0.03199417530259864,0.03199417530259864
1,450,0.36667,6.0034e-15,3.1264e-16,13.828389684021296,0.003945307815090288,5.0937500405687825e-09,3.564669348939341e-10,-19.095251530974952,0.06998123819482316,0.06998123819482316
2,500,0.25,1.8518e-14,2.1754e-16,12.934100756644895,0.007951317998550757,4.1589454374543406e-08,1.0951622378720603e-09,-16.995419202427843,0.026332690686666015,0.026332690686666015
3,500,0.36667,1.6579e-14,3.2996e-16,12.934100756644895,0.01153786313472049,4.1589327202256537e-08,1.1360832605683187e-09,-16.9954222602338,0.027316702072224856,0.027316702072224856
4,550,0.31667,5.1573e-14,2.5296e-16,12.148454109214603,0.022694681537982545,2.631237235370933e-07,3.002858582388402e-09,-15.150641483686973,0.011412344512390881,0.011412344512390881
5,550,0.36667,3.7364e-14,4.4171e-16,12.148454109214603,0.03077765834405323,2.571653921673086e-07,3.8887409896630865e-09,-15.173546409751097,0.015121556430630139,0.015121556430630139
6,600,0.25,7.3657e-14,3.5887e-16,11.452785890167783,0.0467119218759221,1.0775133898972896e-06,8.925949562216099e-09,-13.74085458822689,0.008283840967458359,0.008283840967458359
7,600,0.26667,4.2071e-14,3.9846e-16,11.452785890167783,0.0558131668499131,7.633859766197767e-07,8.750380855720437e-09,-14.085502066440139,0.011462590516093253,0.011462590516093253
8,650,0.26667,1.0081e-13,3.7977e-16,10.832475762335482,0.07762145535810243,2.380692665529913e-06,1.5415759838498815e-08,-12.948119076686696,0.006475325463762647,0.006475325463762647
9,650,0.36667,9.1722e-14,3.6658e-16,10.832475762335482,0.09746373130838654,2.0670590850693942e-06,1.294772437036787e-08,-13.089383692733952,0.006263838544282926,0.006263838544282926
10,700,0.31667,1.638e-13,3.6303e-16,10.275908133381288,0.13289868476182776,5.623723373929889e-06,2.7777023089771545e-08,-12.08851659137794,0.004939258431262562,0.004939258431262562
11,700,0.38333,9.3091e-14,3.7206e-16,10.275908133381288,0.15303711731331923,3.2772439703784655e-06,1.9249616301217552e-08,-12.628507741711983,0.005873720868878295,0.005873720868878295
12,750,0.33333,1.1575e-13,3.0823e-16,9.773737966085129,0.1780773850925367,5.426629231511953e-06,2.6865914866484814e-08,-12.124192384451817,0.004950755564886732,0.004950755564886732
13,750,0.36667,7.2603e-14,2.7943e-16,9.773737966085129,0.19378363616445485,3.475083107420265e-06,1.96145714838268e-08,-12.569892163429104,0.005644346013464903,0.005644346013464903
14,800,0.3,1.0513e-13,2.326e-16,9.318361831989936,0.21652647289559207,6.786142524218758e-06,3.1457515798824726e-08,-11.900627889138033,0.0046355518892445035,0.0046355518892445035
