,TC,thr,M,delM,Tplot,Fi,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,450,0.3,2.47e-14,9.85e-16,13.828389684021296,0.005403158769742311,2.1230566587353203e-08,6.770942459619277e-10,-17.667823873534932,0.03189242468758534,0.03189242468758534
1,450,0.36667,1.21e-14,6.31e-16,13.828389684021296,0.008050050312814454,2.118722312542774e-08,1.4793896314472575e-09,-17.669867519717545,0.06982461187524737,0.06982461187524737
2,500,0.25,3.33e-14,3.91e-16,12.934100756644895,0.015334470840442751,1.4865203629758684e-07,3.9470753177757885e-09,-15.721657588991441,0.02655244701710059,0.02655244701710059
3,500,0.36667,1.69e-14,3.36e-16,12.934100756644895,0.01903136894605591,7.559210579289037e-08,2.0348459064158095e-09,-16.39791397994211,0.026918762019819166,0.026918762019819166
4,550,0.31667,3.67e-14,1.8e-16,12.148454109214603,0.02705954412215076,2.5492510712800463e-07,3.443960371311414e-09,-15.18229603246279,0.013509694710384532,0.013509694710384532
5,550,0.36667,2.63e-14,3.11e-16,12.148454109214603,0.03281270507940674,2.0494819605724353e-07,3.300803600633249e-09,-15.400508591902362,0.016105550886192286,0.016105550886192286
6,600,0.25,6.08e-14,2.96e-16,11.452785890167783,0.04611278820492627,9.16049690156132e-07,8.839016241677787e-09,-13.90319522684825,0.009649057618447816,0.009649057618447816
7,600,0.26667,3.95e-14,3.74e-16,11.452785890167783,0.05475346720917005,7.130286650182819e-07,8.635799862716063e-09,-14.153744213948551,0.012111434345342403,0.012111434345342403
8,650,0.26667,8.59e-14,3.23e-16,10.832475762335482,0.07354420965131031,1.9723135212523603e-06,1.4107427159154166e-08,-13.136303327984546,0.00715273054062742,0.00715273054062742
9,650,0.36667,6.67e-14,2.66e-16,10.832475762335482,0.08813492584328651,1.4035975139698222e-06,9.400868747499959e-09,-13.476471964420295,0.0066976954959910824,0.0066976954959910824
10,700,0.31667,1.41e-13,3.12e-16,10.275908133381288,0.11897886861792886,4.401081110384624e-06,2.3295275014776565e-08,-12.333660340315461,0.005293080138834506,0.005293080138834506
11,700,0.38333,1.01e-13,4.05e-16,10.275908133381288,0.14107275670472938,3.269989015153452e-06,1.9902987520105605e-08,-12.630723932341045,0.006086560972490487,0.006086560972490487
12,750,0.33333,1.34e-13,3.57e-16,9.773737966085129,0.17038543990899943,5.975418362377605e-06,3.0456176110176905e-08,-12.027856443789934,0.005096911088591706,0.005096911088591706
13,750,0.36667,6.84e-14,2.63e-16,9.773737966085129,0.1853480334252089,3.1669675437283133e-06,1.8146834601357573e-08,-12.662736038730474,0.005730034915354456,0.005730034915354456
