,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,90262000.0,2603500.0,26.801029159519725,0.022585621448584416,0.0006546490769807375,2.47251689539289e-08,2.0661465692012498e-11,-17.515444126137265,-17.51628012055934,-17.514608830018126
1,99.97,0.5,87392000.0,2514300.0,26.801029159519725,0.04445053600808707,0.0006291832765723347,7.105582601031906e-08,3.0476000683786675e-09,-16.45979998702724,-16.503637169352135,-16.417804069833355
2,99.98,0.5,80979000.0,2441000.0,26.80031088360625,0.0647150685302033,0.0006149953727676678,1.0721956609839436e-07,4.260385535292345e-09,-16.048387085389805,-16.088933232479043,-16.009421068189173
3,99.98,0.5,80328000.0,2341600.0,26.80031088360625,0.08481067071326454,0.0005823065781407474,1.4568087653713016e-07,5.2552374410686176e-09,-15.741847384678533,-15.778587747382412,-15.706409175894816
4,99.98,0.5,76586000.0,2266600.0,26.80031088360625,0.10397208887785316,0.0005706919000182513,1.8959524868342573e-07,6.928998022251832e-09,-15.478374307126062,-15.51560511607143,-15.442480020345162
5,49.52,2.0,3360400.0,139720.0,30.991415377940314,0.1048130816833372,3.514155821582323e-05,2.31946657214152e-09,1.0398161723854275e-10,-19.88192860350625,-19.927794516148,-19.838074439299508
6,49.54,2.0,3320100.0,143040.0,30.989494561343705,0.10564406573958049,3.6202695124596464e-05,2.3116838604551523e-09,1.0765602933821449e-10,-19.88528963404331,-19.93297931818695,-19.839771106799745
7,49.69,3.0,5302100.0,201050.0,30.975096022797672,0.10697048134907654,5.0794125033902864e-05,2.48870325422473e-09,1.0341077962791372e-10,-19.8115040435594,-19.853944089266452,-19.7707920648822
8,49.8,4.3333,7439800.0,260620.0,30.96454559529339,0.10883176686691615,6.599158832101731e-05,2.457308104143885e-09,9.57247852561734e-11,-19.824199352757145,-19.863933545026462,-19.785983816122158
9,59.88,3.0,13685000.0,447980.0,30.027324865627723,0.112255838698461,0.00011360646584238459,6.704394757934601e-09,2.4760424496376927e-10,-18.820502591560096,-18.858133467227663,-18.78423659240992
10,59.93,4.3333,18431000.0,625010.0,30.022817341179298,0.11686816861170414,0.00015959911140830612,6.501461143532248e-09,2.4870586405398714e-10,-18.851238893993948,-18.89024362562506,-18.81369859050342
11,69.98,2.0,23121000.0,722530.0,29.14347331915018,0.1226519069034236,0.00018411172185905133,1.8558038506703985e-08,6.621069089482012e-10,-17.80236279907933,-17.838692434974437,-17.767306867582096
12,69.99,3.0,33532000.0,1053100.0,29.14262400186513,0.13104184030931584,0.00026730711014855076,1.9125714206260196e-08,6.856892476640761e-10,-17.772232113812905,-17.808742265315836,-17.737008133014736
13,69.99,4.3333,51980000.0,1440900.0,29.14262400186513,0.14404698488017945,0.0003680860640793319,2.247341307562982e-08,7.340244291492103e-10,-17.610932867507433,-17.6441400767858,-17.578793027547064
14,79.98,1.0,26862000.0,814880.0,28.31818310537196,0.15076891845665724,0.00020603484318950657,5.441690510562891e-08,1.867973135341352e-09,-16.726590975740862,-16.76152106389683,-16.69283993040093
15,80.0,2.0,53126000.0,1548700.0,28.31657935721365,0.16406113424581278,0.0003933629258824628,5.800045248769742e-08,1.9428472715552995e-09,-16.662815024918398,-16.696886010350152,-16.629866725534562
16,79.99,3.0,76844000.0,2203200.0,28.317381208585832,0.18328804248846048,0.0005529200532023339,6.265822113408171e-08,2.0526061216179583e-09,-16.58557094100374,-16.618878291192186,-16.55333730391167
17,90.0,1.0,56555000.0,1670200.0,27.53683051080821,0.19743864319517895,0.00041885275684074865,1.5405437731109363e-07,5.0996656108257845e-09,-15.685960197435026,-15.719623525522955,-15.653393280324382
18,90.0,1.0,51899000.0,1633600.0,27.53683051080821,0.21042651722166755,0.0004082295035955705,1.5345237885387174e-07,5.332477361841095e-09,-15.689875553531804,-15.725243745956375,-15.655715656561702
19,90.0,1.5,83823000.0,2312100.0,27.53683051080821,0.23139679496380353,0.0005837813382908584,1.8203938093145215e-07,5.7503682573405465e-09,-15.519042794531877,-15.551141071242402,-15.487942855321242
20,90.0,2.0,100420000.0,2894500.0,27.53683051080821,0.25652058252339927,0.0007233712704609529,1.8491390174593877e-07,5.990497246101895e-09,-15.503375516166301,-15.536308030506474,-15.471493063043638
21,99.97,0.5,51093000.0,1550100.0,26.801029159519725,0.2693047338773256,0.0003910770111511243,4.135708199227598e-07,1.392205957586921e-08,-14.698437067685067,-14.732679774726083,-14.66532820485187
22,119.96,0.5,218020000.0,6259900.0,25.438172521686045,0.3238283197765568,0.0015333190414108867,2.066842546260696e-06,6.656907613600673e-08,-13.089488455173026,-13.12222665168937,-13.057788158941658
23,119.98,1.0,359820000.0,9760900.0,25.436878386284434,0.4138450168695376,0.0022760221803707174,2.31237527227039e-06,6.777493977598077e-08,-12.977235305329954,-13.00698307823346,-12.948346957967317
24,119.99,1.5,372640000.0,10514000.0,25.436231367960524,0.5070712895827909,0.0024437522620963962,2.2517641543077893e-06,6.511485901727445e-08,-13.003796580387897,-13.03314018793484,-12.975289530828158
25,119.99,2.0,327230000.0,9223000.0,25.436231367960524,0.5889572737074013,0.002177983617702997,2.0236391379164947e-06,5.721908932338964e-08,-13.110613113978115,-13.13929590260428,-13.082730140100892
26,139.97,0.5,204390000.0,5863800.0,24.206041828040277,0.6400929283523537,0.0014242240249040092,6.4026939132498594e-06,1.8568826256126342e-07,-11.958791732216989,-11.988222173768271,-11.930202736431156
27,139.99,1.0,256260000.0,7578700.0,24.204870019847995,0.7042253364378476,0.0018157313920184447,4.99062694092904e-06,1.4248436866172425e-07,-12.207949016628087,-12.2369149011587,-12.179798589526591
28,139.99,1.5,243490000.0,7027900.0,24.204870019847995,0.7651368441838808,0.0016885459814640804,4.0886014203595746e-06,1.1201454961934297e-07,-12.407307597400472,-12.435086676757356,-12.380279383909617
29,139.99,2.0,210870000.0,6122100.0,24.204870019847995,0.8178948940696109,0.0014932005348785395,3.4814763740933757e-06,9.488087515122096e-08,-12.568054108715408,-12.59568541879473,-12.541165803728832
30,159.95,0.5,125280000.0,3555800.0,23.089355806972986,0.8492431431287882,0.0008890202985178245,1.0512056000954528e-05,2.9118908118503255e-07,-11.462987768900353,-11.491079150977074,-11.435663998397864
31,159.98,1.0,164350000.0,4640500.0,23.087756562694803,0.8903540638134764,0.0011338815667322898,9.040097971848497e-06,2.2819615980844568e-07,-11.613840546025054,-11.63940727161462,-11.588911215637808
32,159.98,1.5,116600000.0,3328300.0,23.087756562694803,0.9195275352742881,0.0008316598225444443,5.804634126013901e-06,1.4683925562030465e-07,-12.056853972188515,-12.08247634053293,-12.031871741895868
33,159.99,2.0,58054000.0,1617400.0,23.087223530498225,0.9340538620002884,0.00040956779313744066,2.8014938960065963e-06,7.205930084615641e-08,-12.785357748773858,-12.811416078217068,-12.759961246257935
34,179.94,0.5,14837000.0,428800.0,22.070670286256593,0.9377667874753514,0.00010960727347129689,3.261603227828992e-06,9.330716110214342e-08,-12.63329169579598,-12.662316632972576,-12.6050854976049
35,179.97,1.0,9379600.0,265720.0,22.06920903954802,0.9401137711122237,6.81273464699201e-05,1.0819399603019502e-06,3.0689640820696373e-08,-13.736754868634161,-13.765530321753232,-13.708784334299933
36,179.98,1.5,2832800.0,83428.0,22.068722000308963,0.9408222916728672,2.128941976368715e-05,2.2340904959560867e-07,6.6405573164230855e-09,-15.31426144264649,-15.344435908758031,-15.284970869053058
37,179.99,2.0,1632200.0,48327.0,22.068234982566096,0.9412307200597521,1.2340226665818743e-05,9.74564371134336e-08,2.9124566779850217e-09,-16.14386035762353,-16.174200709279052,-16.114413500488414
38,199.93,0.5,950520.0,27675.0,21.138073898706352,0.9414685623226657,7.089121819221978e-06,2.282671329407304e-07,6.759105631881843e-09,-15.292749258116482,-15.322807007445896,-15.263568675534563
39,199.97,1.0,1754000.0,49364.0,21.13628677713899,0.9419074048999435,1.2595629124398379e-05,2.118341384956335e-07,6.045870454320582e-09,-15.36746223406871,-15.396418021773378,-15.339321343353491
40,199.93,0.5,782690.0,23804.0,21.138073898706352,0.9421032673959553,6.080601517794648e-06,1.900879725500627e-07,5.860114293617587e-09,-15.475778858522181,-15.50709248538347,-15.445416075840752
41,199.97,1.0,1456000.0,41902.0,21.13628677713899,0.9424676112748532,1.0749152523521653e-05,1.7766413311913164e-07,5.210543094974593e-09,-15.543370961667812,-15.573137680011868,-15.514464748138893
42,199.98,1.5,1906100.0,56307.0,21.13584004396255,0.9429446907788132,1.434425098510682e-05,1.561962801275275e-07,4.668510740447898e-09,-15.672152414628965,-15.702496932509344,-15.642701633071917
43,199.98,2.0,2256200.0,66080.0,21.13584004396255,0.9435092069935718,1.7029970646909002e-05,1.3993627689373709e-07,4.18979507426822e-09,-15.782078683000895,-15.812476795083539,-15.752577420618984
44,219.94,0.5,1347100.0,38562.0,20.280273378085138,0.943846259757548,9.922012854276338e-06,3.3687794296617727e-07,9.842168865925306e-09,-14.903545159243603,-14.9331962711148,-14.874747976615433
45,219.97,1.0,2463100.0,70189.0,20.27903958468527,0.9444625591297522,1.790079842478901e-05,3.1061276010920976e-07,8.9407093040945e-09,-14.984718844946858,-15.01392533410111,-14.956341223724568
