,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.1,0.5,3.6,0.3,26.79169457468185,0.01585305167966179,0.0013352797595127938,1.2193493580662515e-08,4.230083208036607e-08,-18.222363340529643,,-16.725169257009096
1,100.0,1.0,6.5,1.8,26.798874447273217,0.0444428109356478,0.007747677514138748,4.189161278387334e-08,1.670479359036663e-08,-16.988180202278045,-17.49694502714301,-16.65259246691555
2,100.0,2.0,10.4,2.9,26.798874447273217,0.09022757134874924,0.012253656843879157,7.485450225906709e-08,3.014584175435643e-08,-16.407719577468,-16.92309860678451,-16.069302210475936
3,70.0,1.3,0.7,0.1,29.141774734081306,0.09330335286283283,0.0004401696168683726,1.0562917783105981e-08,2.4783280704580206e-09,-18.365916291615182,-18.633306091939946,-18.155148744094163
4,70.0,2.0,1.1,0.2,29.141774734081306,0.09814981865139578,0.0008779395508875838,1.125498973446572e-08,2.9616969806695928e-09,-18.302454274674695,-18.607818750786528,-18.068849441469013
5,90.0,1.0,2.6,0.2,27.53683051080821,0.10960784196397398,0.000891460209320645,6.292408522973223e-08,1.0514521678010499e-08,-16.581336833500192,-16.764176751743395,-16.42681605993524
6,90.0,2.0,4.7,0.3,27.53683051080821,0.13030669248635507,0.0013428675169528525,6.661919850634824e-08,8.628279027130054e-09,-16.524273035079602,-16.662979399360033,-16.402483455029063
7,120.1,0.5,9.9,0.4,25.429116338207248,0.17390832361813904,0.0018492939104844176,7.332662675362106e-07,6.895615630321212e-08,-14.12575694380994,-14.224516761507418,-14.03587993107241
8,120.0,1.0,16.8,0.6,25.43558438255119,0.24792203614644368,0.0027642560990062833,9.136961417391925e-07,6.191451154655065e-08,-13.905767769628662,-13.975935645559014,-13.840202250937182
9,140.0,0.5,24.1,0.7,24.20428415829602,0.3540836678454687,0.0033101595889155197,4.119267533031072e-06,1.9007793476747166e-07,-12.39983519365304,-12.447077362440353,-12.354724529000892
10,140.0,1.0,32.4,0.8,24.20428415829602,0.49680799109339263,0.0038872906979712366,4.574762593055932e-06,1.4770642056108466e-07,-12.294955752811449,-12.327775715680618,-12.263178799028585
11,200.0,0.5,92.6,1.2,21.134946634259748,0.9048216479338249,0.007395487732441768,9.373661658887359e-05,2.1786326538777976e-06,-9.275021659689765,-9.298538082180919,-9.252045576799864
12,200.0,1.0,14.8,0.5,21.134946634259748,0.9700046768041505,0.002330051060846583,3.252890433257028e-05,1.1352226639630708e-06,-10.3333814997994,-10.36890390604267,-10.299077768383077
13,249.9,0.5,6.0,0.3,19.11863110601281,0.9964398630196222,0.001368819469942579,0.00012046335375464467,8.675042257925851e-06,-9.024164969505604,-9.098903551038719,-8.954625891374523
14,249.9,1.0,0.7,0.1,19.11863110601281,0.9995258697774976,0.0004429191311656547,5.8525410643905943e-05,,-9.746049528056496,,
15,300.0,0.5,0.1,0.1,17.447439588240428,0.9999638199558826,0.0004364809268888067,inf,,inf,,
