,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,0.5,2700000,200000,26.798874447273217,0.00438719035987795,0.00032642413551057446,9.338341277812212e-10,7.920241114420913e-09,-20.79172228685327,,-18.542388004569776
1,100.0,1.0,6000000,300000,26.798874447273217,0.014145558876108267,0.0004874035384157714,4.3809502290970875e-09,3.685043851906854e-10,-19.246000188805276,-19.333864845427115,-19.165236043536638
2,100.0,2.0,9600000,400000,26.798874447273217,0.029754789324830666,0.0006487608047112812,8.300747802499746e-09,5.173189212408361e-10,-18.606920229515605,-18.671268865610223,-18.54646318327352
3,80.0,1.0,1100000,100000,28.31657935721365,0.03154330042342875,0.0001626394522750067,2.6561111988400014e-09,2.603390347125857e-10,-19.74640273917549,-19.84956025131163,-19.652898633637484
4,80.0,1.0,900000,100000,28.31657935721365,0.03300693919754594,0.00016245538566493208,2.2884700538836114e-09,2.681340281273593e-10,-19.89538234139846,-20.020001989983538,-19.784585989539806
5,70.0,2.0,900000,100000,29.141774734081306,0.034469328952854233,0.0001623038179725309,1.1961147007074257e-09,1.3939364825652461e-10,-20.5441872824149,-20.66809506985339,-20.433953831833904
6,70.0,2.0,800000,100000,29.141774734081306,0.0357714893935346,0.00016272957583822063,1.1067663736666367e-09,1.4430737777390847e-10,-20.621823250057865,-20.761529652343977,-20.49926365321011
7,70.0,2.0,800000,100000,29.141774734081306,0.03707067244656974,0.00016113293221012162,1.1477577208394704e-09,1.4790333642972153e-10,-20.585455605886995,-20.72341146313964,-20.464244803106116
8,90.0,1.5,3000000,200000,27.53683051080821,0.04194473643516764,0.0003264659096222244,6.225560851874809e-09,4.678880239249647e-10,-18.894602301967385,-18.972732466803237,-18.8221365686193
9,90.0,2.0,4000000,300000,27.53683051080821,0.0484482439760179,0.00048739409549355235,7.122246571280647e-09,5.938388825369385e-10,-18.760042631617296,-18.847102768914862,-18.679958667078616
10,120.0,0.5,8500000,400000,25.43558438255119,0.06226401602339756,0.0006500778477916791,7.414950409686691e-08,4.1989138153773255e-09,-16.417182456222097,-16.475476697250233,-16.36210006091693
11,120.0,0.5,8000000,400000,25.43558438255119,0.07526927697528875,0.0006503712163756014,8.66966992705529e-08,5.021040107158853e-09,-16.26085002458182,-16.32050980892687,-16.204550026254434
12,120.0,0.5,6900000,300000,25.43558438255119,0.08648747797213334,0.0004859805290082863,8.794565437972535e-08,4.351576760322284e-09,-16.246546777106072,-16.29729316123833,-16.19825169437026
13,140.0,0.5,23400000,200000,24.20428415829602,0.12452353208058392,0.00040647907326902237,4.250656592426218e-07,8.987900817421606e-09,-14.671022187619126,-14.692393674861036,-14.65009790018383
14,140.0,1.0,31400000,200000,24.20428415829602,0.17556764328885954,0.00046566966044202875,4.22295508768793e-07,7.609832582678452e-09,-14.6775605102305,-14.69574501047359,-14.659700788884303
15,160.0,0.5,36500000,800000,23.086690522913543,0.23490655390259843,0.0012856328080082505,1.4153245700929996e-06,3.911187836905654e-08,-13.468151675014624,-13.49617525792442,-13.440892053013467
16,160.0,1.0,43700000,1200000,23.086690522913543,0.30593718447571927,0.0018664249684704648,1.1937998681873136e-06,3.7694291160452244e-08,-13.638369171626248,-13.670453462276372,-13.60728236211102
17,175.0,0.5,32300000,800000,22.313957380341403,0.3584445375200914,0.0012747653577224656,2.3195982727337824e-06,6.695065448706391e-08,-12.97411654558409,-13.003404314318601,-12.945662199046737
18,175.0,0.5,22300000,800000,22.313957380341403,0.39469642142745326,0.0012743348138037121,1.913649129374943e-06,7.343837394431523e-08,-13.16649859972423,-13.205630451907792,-13.128840557458217
19,200.0,1.0,82500000,2000000,21.134946634259748,0.5287996296402624,0.0029274393747146786,4.900932692414126e-06,1.269055420392398e-07,-12.226085025570441,-12.2523203429304,-12.20052044069469
20,200.0,0.5,20100000,600000,21.134946634259748,0.5614649946957105,0.0009706791218684289,3.187194721585438e-06,1.0358878035364684e-07,-12.65636942568657,-12.68941088564381,-12.624384875053323
21,225.0,0.5,36400000,1100000,20.074274816822243,0.6206223086149194,0.0017296812585950356,6.807151178729613e-06,2.14456266407199e-07,-11.897536854441482,-11.929548353388503,-11.866518385349934
22,225.0,1.0,35300000,900000,20.074274816822243,0.6780007258090857,0.0014215017421438721,4.0886958452796145e-06,1.134179236804627e-07,-12.407284502992386,-12.43541589491865,-12.379922880953183
23,250.0,0.5,26400000,800000,19.114976584153684,0.7209094523610874,0.0012718318973359045,7.430575380127124e-06,2.3855659177107454e-07,-11.809907262108156,-11.842538648401808,-11.77830712084113
24,250.0,1.0,31100000,1600000,19.114976584153684,0.7714601385950057,0.0024816395583962918,5.349027209027483e-06,2.580598706850465e-07,-12.138595843677775,-12.188042698632827,-12.09147921040784
25,275.0,0.5,25000000,700000,18.243181610872938,0.8121014214548696,0.001119810377727107,1.0716188828728441e-05,3.173114256236013e-07,-11.4437549852419,-11.473812699652255,-11.41457443557057
26,275.0,1.0,30200000,1000000,18.243181610872938,0.8611779483201201,0.0015835533713708452,8.439965443244127e-06,2.798986680138243e-07,-11.682532343767145,-11.716258205782733,-11.649906903736147
27,300.0,0.5,23900000,600000,17.447439588240428,0.9000310274697108,0.0009715290975812356,1.848036054491454e-05,4.843971603561378e-07,-10.898801981934856,-10.925363081630762,-10.87292815879373
28,299.8,1.0,20600000,900000,17.453529976437732,0.9335097129280375,0.0014277698943613328,1.1480453161118622e-05,4.899389471737231e-07,-11.374864693886893,-11.418478001385374,-11.333074281345919
29,325.0,0.5,15300000,700000,16.718214494691967,0.9583903970026552,0.001117573871352965,2.6373775287033187e-05,1.2228665529552905e-06,-10.543140401861018,-10.590616529503581,-10.49781646510805
30,324.9,1.0,10200000,600000,16.72100994900092,0.9749718494062594,0.0009690026840300324,1.4303872931822293e-05,8.357057507155515e-07,-11.15498022297426,-11.215181643532901,-11.09819813844404
31,350.0,0.5,5900000,500000,16.047500601781273,0.9845556357296388,0.0008106683859076978,2.7192112671359073e-05,2.1406513181210147e-06,-10.512583602030976,-10.594578394680351,-10.436805441792085
32,349.8,1.0,5000000,300000,16.052652700858815,0.9926868779331114,0.0004892338390609889,2.1030179896677728e-05,1.550334495898401e-06,-10.7695520139982,-10.84613019608634,-10.6984232186087
33,337.0,1.0,1400000,200000,16.389412439564044,0.9949609482155137,0.0003242913418117498,1.0488861394260749e-05,1.5571669784248283e-06,-11.465196683462361,-11.625904436860475,-11.32677554798394
34,312.0,1.3,500000,100000,17.08963513628984,0.9957718948838968,0.000161944277140002,3.8080022473802102e-06,8.196993943480077e-07,-12.478405850861956,-12.72080493939344,-12.283450218790469
35,287.0,1.5,200000,100000,17.85236097473891,0.9960969859175002,0.00016215080705020898,1.5018559043366919e-06,7.575353117504414e-07,-13.408808945085527,-14.110793990912015,-13.000415154380388
36,259.0,2.0,0,0,18.791694071220522,0.9960969859175002,0.0,0.0,0.0,-inf,-inf,-inf
37,238.0,3.0,0,0,19.563728846718185,0.9960969859175002,0.0,0.0,0.0,-inf,-inf,-inf
38,250.0,2.0,0,0,19.114976584153684,0.9960969859175002,0.0,0.0,0.0,-inf,-inf,-inf
39,275.0,1.5,0,0,18.243181610872938,0.9960969859175002,0.0,0.0,0.0,-inf,-inf,-inf
40,299.9,1.0,100000,100000,17.450484250937965,0.9962594086251384,0.00016226433786621796,1.1978306967428237e-06,1.2054115401072184e-06,-13.634998389841472,,-12.938691800277192
41,325.0,0.5,200000,100000,16.718214494691967,0.996584850176809,0.0001623366176779492,5.120760136585011e-06,2.5666134019375544e-06,-12.182207665755813,-12.877792349127438,-11.775931375240432
42,350.0,1.0,600000,100000,16.047500601781273,0.9975612369127618,0.00016265708074709583,9.469934799235742e-06,1.8839916564074647e-06,-11.567388535770375,-11.789213609739065,-11.385946930632947
43,375.0,1.0,700000,100000,15.428527347064723,0.9987008457955512,0.00016302222185584966,1.769204817236043e-05,4.4595852610008515e-06,-10.942395275128957,-11.23283743606274,-10.717599320022288
44,400.0,0.5,200000,100000,14.855529971031718,0.9990260501047259,0.00016282186248742662,1.6193493385276718e-05,1.0338284074693473e-05,-11.030901039290196,-12.048178812521424,-10.537167393944681
45,400.0,1.0,100000,100000,14.855529971031718,0.9991890847837672,0.00016125907945024637,5.131398871633193e-06,6.028405622593101e-06,-12.180132251424377,,-11.403192119603062
46,425.0,0.5,0,0,14.32356943350283,0.9991890847837672,0.0,0.0,,-inf,,
47,425.0,1.0,0,0,14.32356943350283,0.9991890847837672,0.0,0.0,,-inf,,
48,450.0,0.5,200000,100000,13.828389684021296,0.9995132512203944,0.0001635602170219937,2.8754142685995468e-05,1.7521504218493405e-05,-10.456728707675445,-11.39668686867972,-9.980894720034865
