,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.1,0.5,8600000,300000,26.79169457468185,0.005406402887672933,0.00019270171397262227,1.4160143147994762e-09,6.058982497787114e-09,-20.375419732404318,,-18.711702144079574
1,100.0,1.0,20200000,1000000,26.798874447273217,0.018098998004501717,0.0006282850485605535,7.2320882540880745e-09,5.652577436221294e-10,-18.744738010655542,-18.826121275792637,-18.669482417855132
2,100.0,2.0,32000000,2200000,26.798874447273217,0.03819406841403731,0.001372681299137985,1.3723621698867823e-08,1.3036843660046323e-09,-18.104147277262523,-18.203962806116998,-18.013396886447204
3,80.0,1.0,4800000,300000,28.31657935721365,0.041210953310112645,0.00018880354409724735,5.8080327546994185e-09,4.3684442904685405e-10,-18.964023919856587,-19.042216663213374,-18.89150435989592
4,80.0,1.0,3200000,200000,28.31657935721365,0.04322211529621377,0.00012711684018400576,4.117086509660357e-09,3.033401197304375e-10,-19.308120081588456,-19.384653826491387,-19.237029623028196
5,70.0,2.0,2900000,200000,29.141774734081306,0.04504510107014194,0.00012640022476803763,1.9502265838461506e-09,1.5371274566548622e-10,-20.055320274276905,-20.13741780654872,-19.979454378270148
6,70.0,2.0,2800000,200000,29.141774734081306,0.046805974861887714,0.00012553962842689432,1.9593686448969508e-09,1.5612587381476928e-10,-20.050643535546296,-20.133679253380095,-19.973977236784915
7,70.0,2.0,2800000,200000,29.141774734081306,0.04856550053125404,0.00012549048842298602,2.0344197010626297e-09,1.6137812090375393e-10,-20.013055217900448,-20.095702213966387,-19.936720384037333
8,90.0,1.5,9800000,400000,27.53683051080821,0.05472530850321118,0.00025179417806056077,1.0281994694698635e-08,5.380520065903003e-10,-18.392871559292747,-18.446620007758447,-18.341865247336933
9,90.0,2.0,12700000,500000,27.53683051080821,0.06270621293006115,0.00031594121442761995,1.1361188676438206e-08,5.66280239756311e-10,-18.29306279211707,-18.34419125502748,-18.244421784603762
10,100.0,1.5,19200000,1100000,26.798874447273217,0.07477349390133267,0.0006954996185911768,2.6810075247431083e-08,1.7815016072732848e-09,-17.43448807800979,-17.50324771913697,-17.370153678068608
11,120.0,0.5,25400000,600000,25.43558438255119,0.09073579851188406,0.000390409988311043,1.280914755430209e-07,4.373127698246229e-09,-15.87052117558957,-15.905258243205333,-15.836950372558737
12,120.0,0.5,20100000,3700000,25.43558438255119,0.10335111095606991,0.0022985485708292433,1.2879451530632745e-07,2.600802412033083e-08,-15.865047607208249,-16.090611901256757,-15.681115471360362
13,120.0,0.5,20300000,800000,25.43558438255119,0.11611228948341633,0.0005030675072464217,1.4872474288707023e-07,7.279793142126622e-09,-15.721168602654771,-15.77135524330074,-15.673380753009369
14,140.0,0.5,71400000,1100000,24.20428415829602,0.1609841713923665,0.0007423076351686995,6.783962296621906e-07,1.9373223090285555e-08,-14.203534310175508,-14.232507391715043,-14.175377085660303
15,140.0,0.5,58900000,2500000,24.20428415829602,0.19800028989462,0.0015377289507513322,7.526612758701645e-07,3.653689994036874e-08,-14.099650543193409,-14.14941197567234,-14.052248374241913
16,140.0,1.0,93900000,3400000,24.20428415829602,0.25701431851693024,0.002050243719570659,7.977116909140578e-07,3.283216081733612e-08,-14.041518594358788,-14.083547492518429,-14.001185107683893
17,160.0,0.5,105800000,2000000,23.086690522913543,0.32350960332173995,0.0012729827409535767,2.4501993034709897e-06,6.209956826163088e-08,-12.91934118836073,-12.94501259814301,-12.89431233883503
18,160.0,1.0,143600000,1500000,23.086690522913543,0.4137654350526459,0.0010751683845726348,2.31590667100312e-06,4.387567835487163e-08,-12.975709296559826,-12.994836416068017,-12.956941168028036
19,175.0,0.5,107500000,3000000,22.313957380341403,0.481310933548599,0.0018273364676486803,4.6615352856223085e-06,1.4417349633084506e-07,-12.27616570365292,-12.307582409460176,-12.245706017169
20,175.0,0.5,69600000,1400000,22.313957380341403,0.5250526526173078,0.0008982163080412067,3.679836190935279e-06,9.214991575474094e-08,-12.512642320106988,-12.538003054831236,-12.487908876473966
21,200.0,1.0,186700000,1900000,21.134946634259748,0.6423852502523292,0.0013651178413814264,6.615040880384681e-06,1.3018732922439266e-07,-11.926164580464118,-11.94604132315552,-11.90667523498379
22,200.0,0.5,27500000,7400000,21.134946634259748,0.6596416074541422,0.004564049666365847,2.473032292609549e-06,6.472686503882482e-07,-12.910065511439264,-13.213512224355089,-12.677581104705435
23,225.0,0.5,47500000,1000000,20.074274816822243,0.6894899814019604,0.0006506601525042961,4.677727968949313e-06,1.0749056281926341e-07,-12.272698042636929,-12.295945405582499,-12.249978863931135
24,225.0,1.0,31000000,1700000,20.074274816822243,0.7089660798421901,0.0010560432736529657,1.682741027729441e-06,9.087490171905258e-08,-13.295086529979214,-13.350603565780006,-13.242490197263525
25,250.0,0.5,28200000,800000,19.114976584153684,0.7266931675769704,0.0005137686019774637,3.3055937975040096e-06,9.805376066976028e-08,-12.619894434382966,-12.650006258279106,-12.5906628901653
26,250.0,1.0,28500000,800000,19.114976584153684,0.7446050706515628,0.0005087796095768517,1.803082800222377e-06,5.291421741020522e-08,-13.226012691213313,-13.255798441633054,-13.197088530480553
27,275.0,0.5,26600000,600000,18.243181610872938,0.7613191994021766,0.00039531558391431467,3.6370430459812905e-06,9.089013975166919e-08,-12.524339556455832,-12.549647230477797,-12.499656583583468
28,275.0,1.0,28300000,700000,18.243181610872938,0.7791034874940225,0.0004547625770182697,2.0985285474752077e-06,5.6653241693468486e-08,-13.074274150512517,-13.101641904835722,-13.047635481043589
29,300.0,0.5,23600000,600000,17.447439588240428,0.7939329726471552,0.0003868334566753706,3.795160984684129e-06,1.0569332644104774e-07,-12.481783727809772,-12.510028376377972,-12.454314974682866
30,300.0,1.0,32600000,700000,17.447439588240428,0.8144194750304001,0.0004562028166849551,2.8801416237497064e-06,7.1113246919109e-08,-12.757671090112373,-12.782671907781909,-12.733280098173188
31,325.0,0.5,28100000,700000,16.718214494691967,0.8320806207771568,0.0004521590359812139,5.541286847978675e-06,1.564567142271816e-07,-12.103283801149965,-12.131924792189297,-12.075440327779184
32,325.0,1.0,40500000,1100000,16.718214494691967,0.8575353486119512,0.0006977036296406755,4.594733736888147e-06,1.3796182769869282e-07,-12.290599750105835,-12.321085841169952,-12.26101563097942
33,350.0,0.5,31600000,1800000,16.047500601781273,0.8773919672322004,0.0011137209101644396,8.493372502790312e-06,4.718836951089334e-07,-11.676224404150558,-11.73338651644624,-11.622153873747273
