,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,90053000.0,2603500.0,26.801029159519725,0.022518719961577397,0.0006524092424875101,2.457259169435001e-08,2.0692143102905622e-11,-17.521634173910638,-17.52247661090294,-17.520792446021087
1,99.97,0.5,86578000.0,2514300.0,26.801029159519725,0.04416550695868375,0.000628852030992045,6.996149853913099e-08,3.0209594831158707e-09,-16.475320767083577,-16.519461088372005,-16.43304672574006
2,99.98,0.5,83339000.0,2441000.0,26.80031088360625,0.06499825045276368,0.0006145404067351188,1.1025228642635789e-07,4.299086931334982e-09,-16.02049458427343,-16.060268354528333,-15.982242438963883
3,99.98,0.5,80190000.0,2341600.0,26.80031088360625,0.08505067655878105,0.0005877692922636968,1.4582102425875385e-07,5.309685697733514e-09,-15.740885828461993,-15.777977649926878,-15.705120745721162
4,99.98,0.5,77187000.0,2266600.0,26.80031088360625,0.10433765350943629,0.0005656559843305452,1.9159535176507303e-07,6.87090520548091e-09,-15.467880231802715,-15.504400600299508,-15.432646741341893
5,49.52,2.0,3240600.0,139720.0,30.991415377940314,0.10514783992677139,3.54729549159943e-05,2.243311421173961e-09,1.0478502171898319e-10,-19.915312749684357,-19.963148843490938,-19.869660861338172
6,49.54,2.0,3242100.0,143040.0,30.989494561343705,0.10595859042682429,3.596074653108744e-05,2.26331564958357e-09,1.0701848821403929e-10,-19.906434997218664,-19.954873363448574,-19.86023490532453
7,49.69,3.0,4929400.0,201050.0,30.975096022797672,0.10719096637126281,5.0692107929644194e-05,2.318421512766708e-09,1.0260743748659808e-10,-19.882379265261502,-19.927645972628145,-19.83907320108871
8,49.8,4.3333,7180100.0,260620.0,30.96454559529339,0.10898580992950382,6.591494634607761e-05,2.3742845641787533e-09,9.540477656468979e-11,-19.858569680975787,-19.899581835939784,-19.81917346719497
9,59.88,3.0,13639000.0,447980.0,30.027324865627723,0.11239598101241305,0.00011308043617631346,6.6866685691517996e-09,2.4759098491843654e-10,-18.82315005856156,-18.86088053935077,-18.786791558300173
10,59.93,4.3333,19630000.0,625010.0,30.022817341179298,0.11730480767469331,0.00015905561959931444,6.93845648286997e-09,2.53033947888776e-10,-18.786186495972565,-18.823336421960448,-18.75036739451766
11,69.98,2.0,23216000.0,722530.0,29.14347331915018,0.12310722215396194,0.00018357940423662652,1.869718792713978e-08,6.658722783365552e-10,-17.794892702621627,-17.831155832409824,-17.759898699124797
12,69.99,3.0,34341000.0,1053100.0,29.14262400186513,0.13169242021648683,0.0002668063225066284,1.9667738812521953e-08,6.904588617882778e-10,-17.74428616730379,-17.780023365376426,-17.70978217205525
13,69.99,4.3333,48537000.0,1440900.0,29.14262400186513,0.14382510739357474,0.00036412386530606676,2.1005898841723427e-08,7.157954120889658e-10,-17.6784625414423,-17.71313258555468,-17.644954340603686
14,79.98,1.0,26799000.0,814880.0,28.31818310537196,0.15052583666473268,0.00020665208073152513,5.415257001858011e-08,1.863871595588329e-09,-16.731460403525375,-16.76648558056522,-16.697620589050373
15,80.0,2.0,52544000.0,1548700.0,28.31657935721365,0.1636648338850846,0.00039209903684516166,5.718907308670398e-08,1.9310234858268695e-09,-16.67690298676193,-16.711251813027385,-16.643694926807616
16,79.99,3.0,75972000.0,2203200.0,28.317381208585832,0.18266161454973948,0.0005527591399092828,6.16876937996525e-08,2.0455941998498943e-09,-16.601181378121943,-16.634904143112152,-16.56855883630235
17,90.0,1.0,56743000.0,1670200.0,27.53683051080821,0.1968485914335967,0.00041975264458587466,1.538635582562349e-07,5.099054744068863e-09,-15.687199612598903,-15.720901294670945,-15.654596800738409
18,90.0,1.0,54887000.0,1633600.0,27.53683051080821,0.21057023689345641,0.00040753852260739636,1.6195177355486695e-07,5.341302097836686e-09,-15.635967240139474,-15.669504188083543,-15.603518618616487
19,90.0,1.5,78988000.0,2312100.0,27.53683051080821,0.2303131769138967,0.00057921089132368,1.7096150021562294e-07,5.628939974083331e-09,-15.581827450730556,-15.615306874858955,-15.549432682802891
20,90.0,2.0,99384000.0,2894500.0,27.53683051080821,0.2551628833709043,0.0007207980305038649,1.8172326202238831e-07,5.927585045080149e-09,-15.520780845399745,-15.553943442570452,-15.48868279729367
21,99.97,0.5,52324000.0,1550100.0,26.801029159519725,0.26824672735225114,0.00039287236162000434,4.207285027730715e-07,1.3936323735884449e-08,-14.681278097817557,-14.714963398529123,-14.64869061662855
22,119.96,0.5,219440000.0,6259900.0,25.438172521686045,0.3231032376608468,0.0015241669951964866,2.070335952758544e-06,6.589407813951145e-08,-13.08779966783695,-13.120144902730512,-13.05646795029673
23,119.98,1.0,344260000.0,9760900.0,25.436878386284434,0.40915574533102467,0.0022826989768478206,2.1863611478362097e-06,6.630395840643428e-08,-13.033271972415335,-13.064067493498083,-13.003396551041334
24,119.99,1.5,371010000.0,10514000.0,25.436231367960524,0.5019015430366472,0.002439749359270634,2.200368394301754e-06,6.382774265949722e-08,-13.026885759663175,-13.05632255482956,-12.998290768442338
25,119.99,2.0,325580000.0,9223000.0,25.436231367960524,0.5832940781284938,0.0021779203276121365,1.973455993877684e-06,5.5824123733971016e-08,-13.135724240608626,-13.1644195341564,-13.10782944966996
26,139.97,0.5,206370000.0,5863800.0,24.206041828040277,0.6348886218976886,0.0014245325782138172,6.333230397210094e-06,1.8286467995281385e-07,-11.969700120670117,-11.998999011693197,-11.941235275992238
27,139.99,1.0,267820000.0,7578700.0,24.204870019847995,0.7018474600265527,0.0018120535782290778,5.137204874160315e-06,1.415736879488906e-07,-12.17900142521089,-12.206946790241075,-12.151815819941557
28,139.99,1.5,248480000.0,7027900.0,24.204870019847995,0.7639711804597478,0.0016835225344654721,4.137705189853101e-06,1.1096095416091417e-07,-12.39536922577703,-12.42255239048042,-12.368905472755976
29,139.99,2.0,216180000.0,6122100.0,24.204870019847995,0.8180148990085273,0.0014872465587038501,3.5575502182646818e-06,9.410017056666471e-08,-12.546438390914872,-12.573245342080028,-12.520331331240344
30,159.95,0.5,125020000.0,3555800.0,23.089355806972986,0.8492694744881399,0.0008786173120877881,1.0487029918965212e-05,2.8769199012842165e-07,-11.465371310158584,-11.493187748718295,-11.43830773120834
31,159.98,1.0,163630000.0,4640500.0,23.087756562694803,0.8901765251867796,0.0011440420905629593,8.986726172584016e-06,2.3032856786859953e-07,-11.61976193903186,-11.645725969933604,-11.594455013895564
32,159.98,1.5,117210000.0,3328300.0,23.087756562694803,0.9194803559823518,0.0008254622410966325,5.823677774500659e-06,1.451007219021498e-07,-12.053578575781012,-12.078809875525032,-12.028968258462328
33,159.99,2.0,56871000.0,1617400.0,23.087223530498225,0.9336988902741531,0.00040802038030766236,2.7342129917274453e-06,7.194761008918802e-08,-12.809666917895385,-12.836333150383973,-12.783693342776958
34,179.94,0.5,14986000.0,428800.0,22.070670286256593,0.9374452220002606,0.00010952647089644232,3.274397339434229e-06,9.255408436296358e-08,-12.629376724303905,-12.658049889139024,-12.60150284503607
35,179.97,1.0,9317300.0,265720.0,22.06920903954802,0.9397744402205702,6.758055065524246e-05,1.068103406462411e-06,3.030140488826059e-08,-13.749625999582923,-13.778405541344222,-13.721651602175703
36,179.98,1.5,2905100.0,83428.0,22.068722000308963,0.9405006265430471,2.1388183214778587e-05,2.2766276569420593e-07,6.619480650846227e-09,-15.29540040076942,-15.324907294682005,-15.266739267478787
37,179.99,2.0,1679700.0,48327.0,22.068234982566096,0.9409206408414258,1.2408583244520912e-05,9.967781677556707e-08,2.9200040875754208e-09,-16.12132268447892,-16.15105475699966,-16.092449143585956
38,199.93,0.5,958640.0,27675.0,21.138073898706352,0.9411603480440831,7.079575768459468e-06,2.2882516184324469e-07,6.708573481914965e-09,-15.290307610396262,-15.320063420130321,-15.261411683960846
39,199.97,1.0,1713300.0,49364.0,21.13628677713899,0.9415887325623032,1.26955594157218e-05,2.0564604125612892e-07,6.036362410254493e-09,-15.397109392364674,-15.426901983032913,-15.368178781455349
40,199.93,0.5,778070.0,23804.0,21.138073898706352,0.9417833376924464,6.109364744197531e-06,1.8777916208731738e-07,5.8546988702275894e-09,-15.487999234330047,-15.519674273290159,-15.457296775757232
41,199.97,1.0,1443500.0,41902.0,21.13628677713899,0.9421441752122253,1.0727156536750614e-05,1.7502083958690822e-07,5.169647736074454e-09,-15.558360786758996,-15.58834312528564,-15.529251282716187
42,199.98,1.5,1946100.0,56307.0,21.13584004396255,0.94263075090908,1.4460458172875952e-05,1.5846397239569468e-07,4.677161706098819e-09,-15.657738572963625,-15.687698539796644,-15.628650157389218
43,199.98,2.0,2301600.0,66080.0,21.13584004396255,0.9432060225178378,1.6848286480546786e-05,1.4186620816356624e-07,4.118893870920095e-09,-15.768381419522058,-15.797844886071541,-15.73976126130428
44,219.94,0.5,1325000.0,38562.0,20.280273378085138,0.9435373861371378,9.943808488659587e-06,3.292953653115845e-07,9.835708095017553e-09,-14.926310722028202,-14.956634839594107,-14.896879157077619
45,219.97,1.0,2431900.0,70189.0,20.27903958468527,0.944145297556703,1.806445383305889e-05,3.0472306111978664e-07,8.9601602533188e-09,-15.00386246914594,-15.033707714189005,-14.9748822093992
46,219.98,1.5,2471500.0,70878.0,20.278628353578164,0.944763224781398,1.8160275759542295e-05,2.0873515541468793e-07,6.1003748771223014e-09,-15.382199587529936,-15.411860588900323,-15.353393076948652
47,219.99,2.0,3563600.0,101980.0,20.278217139149127,0.9456543441725603,2.6170477200683295e-05,2.2883871705313425e-07,6.673669815324861e-09,-15.290248373866927,-15.319845275274496,-15.26150232670562
48,239.93,0.5,1886800.0,54798.0,19.490137990176972,0.9461260028189452,1.4016509140984995e-05,4.907429879705339e-07,1.4518454142244675e-08,-14.527345292286146,-14.557376384211752,-14.498189834481149
49,239.96,1.0,3442600.0,106940.0,19.48899846036912,0.9469867526156772,2.7209902550193636e-05,4.5328555646990384e-07,1.4198366320358156e-08,-14.606743542578272,-14.638567832772747,-14.57590087856246
50,239.98,1.5,4547400.0,130970.0,19.48823884785532,0.9481237761320551,3.338995052646201e-05,4.067788267872411e-07,1.1856739109520653e-08,-14.71499622233885,-14.744577337886433,-14.6862650666241
51,239.98,2.0,5261100.0,150940.0,19.48823884785532,0.9494392046856941,3.81861121277499e-05,3.614217168320787e-07,1.0401417969261935e-08,-14.83322036974674,-14.862421783634726,-14.804847539815057
52,259.93,0.5,2610500.0,76056.0,18.75891048247918,0.9500918628281824,1.931580982489791e-05,7.313556123235119e-07,2.1472015823787763e-08,-14.12836602171986,-14.158164828944027,-14.09942954883421
53,259.96,1.0,4770200.0,137420.0,18.75785485171916,0.951284244388872,3.517385676862622e-05,6.807339527957864e-07,1.9899584472294903e-08,-14.200094278500666,-14.22976260591735,-14.171280857976626
54,259.98,1.5,6303100.0,181200.0,18.75715116388123,0.9528602030527362,4.633244373163839e-05,6.170033234384652e-07,1.7945630402505694e-08,-14.29839142660745,-14.327907927883102,-14.269721228936994
55,259.98,2.0,7278800.0,207920.0,18.75715116388123,0.9546800444146024,5.337536093063926e-05,5.54032983091796e-07,1.6015865972492343e-08,-14.406041615704561,-14.435375461083867,-14.377543779677074
56,279.92,0.5,3407000.0,99922.0,18.080893919395375,0.955531825866663,2.533408133771919e-05,1.068067978587975e-06,3.1539163937326565e-08,-13.749659169088597,-13.779633105504603,-13.720557585109573
57,279.96,1.0,6234600.0,178980.0,18.079586339064566,0.9570906125923908,4.59690343005004e-05,1.0042863048106331e-06,2.923367613883255e-08,-13.811233413192289,-13.840774389280407,-13.782540124727037
58,279.97,1.5,8229100.0,235870.0,18.079259473531962,0.9591484228599912,6.0055414558665086e-05,9.219504774403151e-07,2.6478438430706163e-08,-13.896774326936145,-13.925914839819654,-13.868458994110895
59,279.98,2.0,9469200.0,270880.0,18.078932619818126,0.9615154496739512,6.856628130167037e-05,8.401222429149346e-07,2.3923781288982372e-08,-13.989718428417435,-14.018608298776835,-13.961639800806552
60,299.91,0.5,4196900.0,123020.0,17.45017973685129,0.962564694859776,3.163204296684352e-05,1.556091317950054e-06,4.672761989428946e-08,-13.373333446301556,-13.403822387964057,-13.343746642778592
61,299.95,1.0,7669400.0,221040.0,17.44896178677369,0.9644820958773855,5.669876485366539e-05,1.4798655671586272e-06,4.3295626436185015e-08,-13.423559307314745,-13.45325227142658,-13.394722650128013
62,299.97,1.5,10079000.0,289940.0,17.448352875488553,0.9670014294005509,7.399265164507905e-05,1.3808200918542597e-06,3.965472303250923e-08,-13.492832965843721,-13.52197164372726,-13.464519365561705
63,299.98,2.0,11487000.0,331150.0,17.448048435782457,0.9698737656624367,8.456683850615693e-05,1.2814124367119165e-06,3.683162640823568e-08,-13.567547622222866,-13.596711783294547,-13.539209962152913
64,324.9,0.5,5586300.0,164210.0,16.72100994900092,0.9712704917494857,4.1853312063764194e-05,2.6721274538770062e-06,8.012666849528253e-08,-12.832635603623206,-12.863080476472083,-12.80309030117804
65,324.95,1.0,10002000.0,289830.0,16.719612104999168,0.9737713973473904,7.445843316325338e-05,2.5630901662819686e-06,7.524173182749363e-08,-12.874296931223784,-12.904092303570579,-12.84536369728839
66,324.97,1.5,12728000.0,367550.0,16.71905303283622,0.9769527462190818,9.390967632329744e-05,2.42691935591241e-06,6.949616817654506e-08,-12.928887859661275,-12.957941405054076,-12.900654645315507
67,324.98,2.0,13902000.0,406480.0,16.71877351077525,0.9804289679221345,0.00010397235340670932,2.3005918431252137e-06,6.593144533367577e-08,-12.982344145033162,-13.011421288740753,-12.954088646761612
68,349.91,0.5,6132700.0,191120.0,16.049818637049402,0.9819625662980045,4.9007673879059745e-05,4.5925456963686264e-06,1.4616153727932446e-07,-12.291076069690275,-12.323419340601864,-12.259746194973694
69,279.98,3.0,3769700.0,140260.0,18.078932619818126,0.9829052434570713,3.573764060971314e-05,5.034961955691325e-07,1.9132781713945555e-08,-14.501689680786287,-14.540430356907722,-14.464394037094232
70,299.98,2.0,4626800.0,160180.0,17.448048435782457,0.9840619954817703,4.063206384640293e-05,9.860386580849705e-07,3.475689844187759e-08,-13.82957027612962,-13.865455541055224,-13.794928277297522
71,299.98,3.0,6284600.0,217820.0,17.448048435782457,0.985633069131689,5.521049929440679e-05,9.737496483113574e-07,3.4063352807361555e-08,-13.842111600930856,-13.877719745569244,-13.807727920288265
72,324.98,2.0,8016600.0,253510.0,16.71877351077525,0.9876378593709372,6.437411882808115e-05,2.11448264323152e-06,6.750648230869251e-08,-13.06670038851801,-13.09914689721379,-13.035273654277907
73,324.98,3.0,9846300.0,317550.0,16.71877351077525,0.9900998162297386,8.101925067620263e-05,2.08334673780144e-06,6.666021170335329e-08,-13.081534948760082,-13.114054726986177,-13.050039483502117
74,324.98,3.0,7778700.0,278640.0,16.71877351077525,0.9920448595121927,7.027364171672157e-05,2.0517989795988106e-06,7.224237235107958e-08,-13.09679359861293,-13.132637674068649,-13.062189985871138
75,349.95,1.0,4379500.0,180790.0,16.048788316482106,0.9931397309531044,4.5853684417258974e-05,4.167618006962742e-06,1.7410191400948673e-07,-12.388165906714496,-12.43083848881037,-12.347239993201255
76,349.89,2.0,7257500.0,278610.0,16.050333846944017,0.9949542238511321,7.06908759871742e-05,4.32285217474819e-06,1.6205616567309669e-07,-12.351595147925163,-12.389804153660501,-12.314792499580681
77,374.95,1.0,5138700.0,206780.0,15.42971763616726,0.9962387571054196,5.181921747258802e-05,8.270374394651073e-06,3.279581729272842e-07,-11.702830778532466,-11.74329301895736,-11.66394226099431
78,374.97,2.0,6687900.0,269140.0,15.429241498487935,0.997911056555987,6.78010780785935e-05,8.274590077836361e-06,2.960256596799396e-07,-11.702321175349754,-11.73875206016018,-11.667170979917293
79,399.96,1.0,3518500.0,152000.0,14.856412770572419,0.9987906605747074,3.8492207233231914e-05,1.5383841784717867e-05,6.250594268545735e-07,-11.082192834135395,-11.12367223827466,-11.042365664693001
80,399.98,2.0,3217000.0,134460.0,14.855971357687222,0.9995948869197244,3.4157774517832334e-05,1.5391446357168863e-05,4.798861052431458e-07,-11.081698634206496,-11.113373789999471,-11.05099606586593
81,449.94,1.0,1312700.0,45458.0,13.829537125392415,0.9999230748688255,1.1508962558756243e-05,4.6762332909251954e-05,1.3634518562366542e-06,-9.970432531474646,-10.000023099630054,-9.941692458673932
82,449.97,2.0,296690.0,14778.0,13.828963380904968,0.9999972648764582,3.7132657589805924e-06,4.695460482461544e-05,2.28984691060474e-06,-9.966329277787933,-10.016325780862982,-9.918713851814674
83,499.94,1.0,10938.0,1706.4,12.935104580320534,1.0,4.2680725602074256e-07,inf,,inf,,
