,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,31977000.0,924470.0,26.801029159519725,0.007999257368877811,0.00023496637002516765,2.788523748359629e-08,4.6229456437808735e-09,-17.39516841060552,-17.576432163333376,-17.24177399076945
1,99.97,0.5,31431000.0,912800.0,26.801029159519725,0.015860438495960836,0.00023010999545549553,8.17593059882298e-08,3.614932831333018e-09,-16.319486198929322,-16.364707783222634,-16.276221434825068
2,99.98,0.5,30937000.0,906140.0,26.80031088360625,0.02359577164159469,0.0002312378427465678,1.3309285397895394e-07,5.384371485317e-09,-15.832218802100451,-15.87351565094845,-15.792559961921354
3,99.98,0.5,30443000.0,888960.0,26.80031088360625,0.0312083774309643,0.00022593274797025507,1.819257381522315e-07,6.901833501442256e-09,-15.519667265267973,-15.558343274347045,-15.482431557596035
4,99.98,0.5,29972000.0,880140.0,26.80031088360625,0.0387047816460806,0.000224049467727322,2.2849201471583144e-07,8.418287216350914e-09,-15.291764573761828,-15.32930322173825,-15.255584240310199
5,49.52,2.0,1273400.0,54901.0,30.991415377940314,0.03902309352016519,1.3937118288824384e-05,2.6982088063881165e-09,5.074794898040852e-10,-19.73067768912806,-19.93903132728603,-19.558339012628515
6,49.54,2.0,1275200.0,56261.0,30.989494561343705,0.039341893896459236,1.4202930558291706e-05,2.7241802340430586e-09,1.300157197479931e-10,-19.72109828563392,-19.77000133197797,-19.674475660896558
7,49.69,3.0,1941300.0,79176.0,30.975096022797672,0.03982719024986627,2.007794653869581e-05,2.7931502444727077e-09,1.8792356158273475e-10,-19.696095758206862,-19.765746147143094,-19.6309822637326
8,49.8,4.3333,2832800.0,102820.0,30.96454559529339,0.040535216123316356,2.6137362928585185e-05,2.864315564523298e-09,1.6832500958435335e-10,-19.670936410774118,-19.731500147263414,-19.613832120337207
9,59.88,3.0,5397900.0,177300.0,30.027324865627723,0.041884892429059475,4.578458048557142e-05,8.085583023307187e-09,2.128370181814255e-10,-18.63318323479096,-18.659858914775256,-18.607200696711104
10,59.93,4.3333,7809000.0,248630.0,30.022817341179298,0.04383713332372454,6.352250310425157e-05,8.422647822457443e-09,4.4812724710258053e-10,-18.592341589901594,-18.647014306025504,-18.540503663432272
11,69.98,2.0,9297000.0,289350.0,29.14347331915018,0.046161995386857065,7.407019797621272e-05,2.281050390278423e-08,3.817196443019299e-10,-17.596044709583985,-17.612920691466744,-17.579448806399462
12,69.99,3.0,13878000.0,425580.0,29.14262400186513,0.04963093516792717,0.00010917897268249545,2.4161916193060035e-08,1.3032793571950987e-09,-17.53848815439822,-17.593936811334782,-17.485953197461825
13,69.99,4.3333,19878000.0,590120.0,29.14262400186513,0.05460027324072028,0.00015056256906655842,2.607102222310085e-08,1.3115070956015495e-09,-17.462441399063895,-17.51405597221759,-17.413360643021736
14,79.98,1.0,11113000.0,337900.0,28.31818310537196,0.057378331715340444,8.651009233579082e-05,6.785511265336133e-08,5.487734383211866e-10,-16.50589110120723,-16.514011411343237,-16.49783619972589
15,80.0,2.0,22084000.0,650900.0,28.31657935721365,0.06289898750290601,0.0001656767314763176,7.241981369262548e-08,4.964318637561133e-09,-16.440785905207843,-16.511797789040767,-16.374484086021795
16,79.99,3.0,32662000.0,947220.0,28.317381208585832,0.07106790559855844,0.00024111010081600921,7.953265560633162e-08,4.0558382613672556e-09,-16.34709813728209,-16.399440282876064,-16.297359959489565
17,90.0,1.0,24998000.0,735820.0,27.53683051080821,0.07731783040729938,0.00018705545979133434,2.0226586771326428e-07,2.288078882275844e-09,-15.413682828148286,-15.42505953241059,-15.402434098718803
18,90.0,1.0,24707000.0,735360.0,27.53683051080821,0.08349575970317182,0.00018740897219188517,2.1665645345719104e-07,7.392251683207761e-09,-15.344952901725751,-15.379668259992268,-15.31140237506415
19,90.0,1.5,36536000.0,1069500.0,27.53683051080821,0.09263058884298758,0.00027074614187872826,2.3393041064255407e-07,1.1806905051738353e-08,-15.268242156234445,-15.320032278278962,-15.219002693923477
20,90.0,2.0,47783000.0,1391600.0,27.53683051080821,0.10457923296445791,0.0003539106499833235,2.569251774688263e-07,1.1525287558471157e-08,-15.174480932693754,-15.22037675328276,-15.130599427811509
21,99.97,0.5,26057000.0,771940.0,26.801029159519725,0.11109198475006665,0.00019622364989207295,6.128956786531144e-07,5.124477508494039e-09,-14.305071097135293,-14.313467339710966,-14.296744764872349
22,119.96,0.5,110570000.0,3154100.0,25.438172521686045,0.13873744254198833,0.0007860262561170349,3.012731878557177e-06,1.0029426204760686e-07,-12.712663289974541,-12.746520158526032,-12.679915269301132
23,119.98,1.0,207200000.0,5874900.0,25.436878386284434,0.19053941659223592,0.0014356772842144608,3.7206017122497967e-06,2.4603474603931847e-07,-12.501625152154654,-12.570040700752644,-12.437592062101265
24,119.99,1.5,282950000.0,8018300.0,25.436231367960524,0.26127910959706097,0.001917980938835981,4.647921412161378e-06,2.2101899678504375e-07,-12.279090446440268,-12.327810447516555,-12.232634219707691
25,119.99,2.0,298450000.0,8454600.0,25.436231367960524,0.3358769778415882,0.0019971607541924615,4.859903045440901e-06,1.94550256618551e-07,-12.234492069748622,-12.275347101910784,-12.195240861279249
26,139.97,0.5,252080000.0,7162600.0,24.206041828040277,0.398914924659759,0.001726145659069247,2.0203876394963904e-05,1.4909266867204736e-07,-10.809636071226919,-10.817042842829732,-10.80228375678506
27,139.99,1.0,402710000.0,11396000.0,24.204870019847995,0.4995756094115339,0.0026357490153808166,1.9733868931926018e-05,1.0858618287442085e-06,-10.833174163290181,-10.889771275322385,-10.779609426625225
28,139.99,1.5,419540000.0,11866000.0,24.204870019847995,0.6044539789481581,0.0027272940336238627,1.765233730852631e-05,1.951281783862043e-06,-10.944642357940184,-11.06178261699957,-10.839796361202232
29,139.99,2.0,345970000.0,9797700.0,24.204870019847995,0.6909204164363951,0.002321054625989884,1.388933403660425e-05,3.7058697604873756e-07,-11.184389347876296,-11.211433164679702,-11.158057682078109
30,159.95,0.5,181620000.0,5165300.0,23.089355806972986,0.7363306531336701,0.0012706952015634923,3.577627279643745e-05,9.980269852720329e-07,-10.238225655336677,-10.266518487021859,-10.21071133226418
31,159.98,1.0,219330000.0,6220200.0,23.087756562694803,0.7911662347202852,0.0015147011553063865,2.624857226536664e-05,7.049527157281319e-07,-10.547898960296619,-10.57512299658541,-10.521396472090297
32,159.98,1.5,176880000.0,5022800.0,23.087756562694803,0.835383768696499,0.0012414312416938065,1.785887210740371e-05,4.819073541046975e-07,-10.933010136391177,-10.960365093579842,-10.906383591411577
