,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,0.0588,0.0017,26.801029159519725,0.05880067656702098,0.0016601305373853735,1.508598259408957e-06,1.2916755516664755e-07,-13.404329643306575,-13.49383967706812,-13.322177553099195
1,99.97,0.5,0.024356,0.00070732,26.801029159519725,0.08316478425920495,0.0007070275012329332,1.5086158593729165e-06,6.118050640314094e-08,-13.404317976939346,-13.445717289657377,-13.364564650343613
2,99.98,0.5,0.018702,0.00054778,26.80031088360625,0.1018674911128843,0.0005503965444163896,1.5097727952029042e-06,5.626945762483955e-08,-13.403551385211742,-13.441533820714778,-13.36695897938817
3,99.98,0.5,0.015765,0.00046035,26.80031088360625,0.11763664858595416,0.0004628851576471315,1.50976674630613e-06,5.372827747376228e-08,-13.403555391714516,-13.439791187637454,-13.368586842797493
4,99.98,0.5,0.013889,0.00040785,26.80031088360625,0.13152792705109725,0.00041157869061733487,1.5098182555223474e-06,5.241230934403016e-08,-13.403521274962584,-13.438852451727941,-13.369395908690597
5,49.52,2.0,0.00056218,2.4238e-05,30.991415377940314,0.1320900290703471,2.4595925339178407e-05,1.6164303128860587e-08,3.0035772698375592e-09,-17.940460536573895,-18.146028756109587,-17.7700298546667
6,49.54,2.0,0.00056096,2.4749e-05,30.989494561343705,0.1326509958356151,2.4901961997838744e-05,1.6197951177993513e-08,7.642834204834038e-10,-17.938381073200368,-17.986714495803962,-17.892276458276175
7,49.69,3.0,0.00085012,3.4673e-05,30.975096022797672,0.13350126098626172,3.5264122185659675e-05,1.64522803312521e-08,1.0934465962197523e-09,-17.922801747381552,-17.991575040818446,-17.858455396596717
8,49.8,4.3333,0.0012324,4.4734e-05,30.96454559529339,0.13473333056877945,4.527460627590745e-05,1.664122869882627e-08,9.61830612751392e-10,-17.9113825642057,-17.970918210128637,-17.85519312548658
9,59.88,3.0,0.0023225,7.6285e-05,30.027324865627723,0.13705586102183953,7.73438493202187e-05,4.589923766600089e-08,1.1688099763889353e-09,-16.896817328601696,-16.92261185796427,-16.871671460141837
10,59.93,4.3333,0.0033027,0.00010516,30.022817341179298,0.14035885612479324,0.00010779877103005336,4.612317509937671e-08,2.412987340992997e-09,-16.89195029960956,-16.945684632532856,-16.840956699510265
11,69.98,2.0,0.0038497,0.00011981,29.14347331915018,0.14420767564088444,0.00012205675558480673,1.1948741963809615e-07,1.9431324685184138e-09,-15.940054746111658,-15.9564506622942,-15.923923325184155
12,69.99,3.0,0.0055942,0.00017156,29.14262400186513,0.14980240381066362,0.00017254769514108575,1.1959760139192817e-07,6.185481539669025e-09,-15.939133050882425,-15.99223757435965,-15.888706977624219
13,69.99,4.3333,0.0077302,0.00022949,29.14262400186513,0.15753225373172294,0.0002327050671073948,1.1959932967754405e-07,5.788490538876704e-09,-15.939118600148396,-15.988728072525701,-15.891854340925528
14,79.98,1.0,0.0041921,0.00012747,28.31818310537196,0.16172485121208396,0.00012935166929486388,2.9195698609129665e-07,2.288880623531696e-09,-15.046659353435523,-15.054530033269065,-15.038850137753185
15,80.0,2.0,0.0080877,0.00023837,28.31657935721365,0.16981078419603243,0.0002420629624302623,2.92465841245529e-07,1.9450295382549464e-08,-15.044917959160625,-15.113737098829692,-14.980531478126927
16,79.99,3.0,0.011446,0.00033195,28.317381208585832,0.18125789764138228,0.00033569472055199566,2.9219814424174053e-07,1.4312027483837298e-08,-15.045833688636494,-15.096054459136045,-14.998014895414196
17,90.0,1.0,0.0084066,0.00024745,27.53683051080821,0.18966282709181448,0.00025233512095143926,6.80231821161342e-07,7.489338569075241e-09,-14.200832183401491,-14.211903221549331,-14.189882372255209
18,90.0,1.0,0.0080494,0.00023958,27.53683051080821,0.19771364558678015,0.00024331248700779756,6.802270784597497e-07,2.2401637633661087e-08,-14.200839155610051,-14.234326228314393,-14.168437226766555
19,90.0,1.5,0.011494,0.00033645,27.53683051080821,0.20920970568616257,0.0003406721085531797,6.802170711692287e-07,3.311211160064526e-08,-14.20085386740917,-14.25075733061248,-14.153322836162458
20,90.0,2.0,0.014408,0.00041963,27.53683051080821,0.22361615349338165,0.000425142384813204,6.80210620152953e-07,2.9287456487408833e-08,-14.200863351215354,-14.244874229867241,-14.158708051216285
21,99.97,0.5,0.0076021,0.00022521,26.801029159519725,0.23121903737555288,0.0002287787352089453,1.5086081203813044e-06,1.2244609377469818e-08,-13.404323106814797,-13.412472719290019,-13.396239373991115
22,119.96,0.5,0.03066,0.00087463,25.438172521686045,0.26188218577285066,0.0008638803724487699,6.59623182076463e-06,2.0477760434981675e-07,-11.92901200822584,-11.9605487385628,-11.898439511929292
23,119.98,1.0,0.05254,0.0014897,25.436878386284434,0.3144057595752985,0.0014487490527670343,6.605440861057758e-06,4.026013957900894e-07,-11.927616875653055,-11.990503392484289,-11.868452174547015
24,119.99,1.5,0.065461,0.001855,25.436231367960524,0.3798696915574442,0.0017828686707416156,6.6100794342896905e-06,2.9308023954538873e-07,-11.926914886882464,-11.972266273522106,-11.883531327431927
25,119.99,2.0,0.072787,0.0020619,25.436231367960524,0.4526459180477652,0.001970539353974519,6.610049317878529e-06,2.5309122566229654e-07,-11.926919443027375,-11.965960582415525,-11.889345415806421
26,139.97,0.5,0.055777,0.0015848,24.206041828040277,0.5084273563757746,0.0015348074143202146,2.339015303133724e-05,1.671811803376128e-07,-10.66319543479287,-10.670368603191637,-10.656073354492944
27,139.99,1.0,0.08972,0.0025389,24.204870019847995,0.5981491204816859,0.0023588210406675987,2.1660045085559322e-05,9.021345306995346e-06,-10.740041234881161,-11.278747040156532,-10.391854263308442
28,139.99,1.5,0.092474,0.0026155,24.204870019847995,0.6905893633059181,0.0024537039225561138,1.9627885285294694e-05,5.223917098250622e-07,-10.838559284195581,-10.86553464251456,-10.812292523009999
29,139.99,2.0,0.074911,0.0021214,24.204870019847995,0.7655022429356448,0.0020129192567086176,1.5606316380170952e-05,4.080263846982219e-07,-11.06783482949231,-11.094327636738523,-11.04202581446714
30,159.95,0.5,0.038346,0.0010906,23.089355806972986,0.8038571523407867,0.0010839927710964686,4.020974665312551e-05,1.121816268939734e-06,-10.121401137668686,-10.14969682445268,-10.093884114475365
31,159.98,1.0,0.044445,0.0012604,23.087756562694803,0.8483116220675151,0.0012418185708682182,2.893143619621755e-05,7.733068885871386e-07,-10.45058179637099,-10.477674459718047,-10.424203825081205
32,159.98,1.5,0.033843,0.000961,23.087756562694803,0.8821608745014935,0.0009521588319196108,1.8949422886976638e-05,5.069933859819646e-07,-10.873737081412694,-10.900856596833478,-10.84733365680092
33,159.99,2.0,0.026806,0.00076233,23.087223530498225,0.908968331042918,0.0007602014114184419,1.4529254004175866e-05,3.8904015424364895e-07,-11.13934642346365,-11.166487773852628,-11.112922302270732
34,179.94,0.5,0.014497,0.0004148,22.070670286256593,0.9234670921673774,0.0004186840310961331,3.905972709949664e-05,1.1062307756458724e-06,-10.150418619240183,-10.179148928620581,-10.122490740119384
35,179.97,1.0,0.020611,0.00058781,22.06920903954802,0.9440741392194221,0.0005913595524562057,3.532581741232445e-05,9.319556659502128e-07,-10.250896489892842,-10.277632447112206,-10.224856769904854
36,179.98,1.5,0.01778,0.00051061,22.068722000308963,0.9618552223620322,0.0005141758058923557,2.8721236295752894e-05,7.337745509853243e-07,-10.457873768201223,-10.483753942908846,-10.432646514742917
