,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.01,0.5,42925770.46,987040.1034,26.798156286847465,0.00597369948460033,0.00013941532761724848,1.7290179967441384e-09,5.978241615385004e-10,-20.17571222154053,-20.599992270583943,-19.878753785488676
1,100.01,1.0,87699260.06,1951380.51,26.798156286847465,0.018173721723518776,0.0002744717580235632,7.140948019488925e-09,2.5768051228963804e-10,-18.757420293570064,-18.794172369371953,-18.72197118745611
2,100.0,2.0,157533611.1,3490236.457,26.798874447273217,0.04008494363705305,0.00048738842276039955,1.5476269850186562e-08,5.071854248256076e-10,-17.983957963571964,-18.01727880101579,-17.951711695012058
3,69.99,1.333333333,9729258.628,254488.1024,29.14262400186513,0.04143822152305191,3.588083773825052e-05,2.0063488138418954e-09,6.253047369230292e-11,-20.026949277257806,-20.058611581699658,-19.996258783271127
4,69.99,2.666666667,18735634.4,454362.7252,29.14262400186513,0.04404369629712241,6.412213265971432e-05,2.025643243480935e-09,5.983111226487761e-11,-20.017378535726642,-20.047360378680633,-19.98826949882085
5,70.0,4.0,27029749.25,633325.7843,29.141774734081306,0.04780398853756539,8.988269688473559e-05,2.0933478262636046e-09,5.988276316324788e-11,-19.984501221784047,-20.0135245714024,-19.956296522846813
6,90.01,2.0,61755621.43,1397636.864,27.5360722546536,0.05639530775401695,0.00019836870838383966,1.0851697935482622e-08,3.0410294630097013e-10,-18.338944277453948,-18.367367966122618,-18.311306215871866
7,90.0,3.0,87558150.07,1967031.93,27.53683051080821,0.0685743826466449,0.00027857472613051186,1.2301746264507596e-08,3.39256268880251e-10,-18.213524611921017,-18.241489916478884,-18.186320137022612
8,100.0,3.0,159624443.3,3531165.113,26.798874447273217,0.09078183036841836,0.0004983723433798794,2.859754511445863e-08,7.845951470772474e-10,-17.36994495796344,-17.397764098548347,-17.34287882128634
9,119.99,1.0,197122924.5,4357605.886,25.436231367960524,0.11820686666979503,0.0006061094641793583,1.515819551716136e-07,4.105600633459757e-09,-15.702139400033671,-15.729597982233178,-15.675414685481213
10,120.0,2.0,324548340.7,7194772.082,25.43558438255119,0.16335383291900618,0.0009805473762704892,1.7375672748235596e-07,4.673318681972934e-09,-15.56560963392817,-15.59287370057819,-15.539069210777955
11,120.0,3.0,375420873.3,8281911.644,25.43558438255119,0.21559657548105557,0.001127290715846764,1.887599569385755e-07,4.941114939908104e-09,-15.48278969821616,-15.509315118684492,-15.456949732844675
12,139.99,1.0,344792169.3,7594509.798,24.204870019847995,0.2635513167987671,0.001026173667681478,6.908523089206883e-07,1.73978239533679e-08,-14.185339771304585,-14.210845423235114,-14.160468510626828
13,139.99,2.0,495047881.6,10926550.84,24.204870019847995,0.3324215484730889,0.0014616373602981932,6.570779578124987e-07,1.6248362302446306e-08,-14.235463168252158,-14.260502257005877,-14.211035750944388
14,139.99,3.0,549769799.9,12166776.57,24.204870019847995,0.40891074814226397,0.00161188558315892,6.589497976666931e-07,1.5721392883634152e-08,-14.232618484910672,-14.256765958391549,-14.209040389868488
15,159.98,1.0,443276416.6,9774201.168,23.087756562694803,0.4705691382090995,0.0013099774603459891,2.0675186068099524e-06,4.846811232151498e-08,-13.089161410422822,-13.11288320929379,-13.065989320390816
16,159.99,2.0,632718583.1,13921687.06,23.087223530498225,0.5585932140555803,0.0018224602548249488,1.9336451356033313e-06,4.313023951093492e-08,-13.156103665047548,-13.178661334200607,-13.13404363929301
17,159.99,3.0,589607593.5,12930016.14,23.087223530498225,0.6406305212472673,0.0016873429327927906,1.6257342451130331e-06,3.472626725301882e-08,-13.329551001086466,-13.351142794252866,-13.308415576980844
18,179.97,1.0,405685693.4,8926179.237,22.06920903954802,0.6970761562251341,0.0012049355671301812,4.3337178235541676e-06,9.435835721668841e-08,-12.349084764594489,-12.371098369392547,-12.327545338936416
19,179.99,2.0,499534184.9,10989799.75,22.068234982566096,0.7665730776233773,0.0014611098571737122,3.459398788659211e-06,7.132677531038206e-08,-12.574415744495864,-12.59524952598453,-12.554007165938955
20,179.99,3.0,333719786.7,7339865.622,22.068234982566096,0.8130055784186164,0.0010015706599450951,2.021437070980056e-06,4.244105845878139e-08,-13.111701878214065,-13.132920906241644,-13.090923757902747
21,199.98,1.0,182226139.6,4014902.042,21.13584004396255,0.8383554936449131,0.0005595698852589178,4.040771207614809e-06,8.888520735344627e-08,-12.419074991234998,-12.441317624582421,-12.397316346953653
22,199.99,2.0,199363022.0,4398758.106,21.135393329669867,0.8660911762733968,0.0006150755518196846,2.6402848680736797e-06,5.7787610429096385e-08,-12.844623742053965,-12.866753697852666,-12.822972936750515
23,199.99,3.0,91603735.82,2159949.086,21.135393329669867,0.8788384516061907,0.00030413898106282085,9.461327420249286e-07,2.3088204791993557e-08,-13.870882958473107,-13.895588350917611,-13.846773235756238
24,249.94,0.5,118888447.4,2660410.33,19.117169129595293,0.8953752135148885,0.0003720542947101049,8.45146015509819e-06,1.9610564751725106e-07,-11.681171332103387,-11.704648536925427,-11.658232686726
25,249.97,1.0,151159783.8,3343035.416,19.1160727940052,0.9164037806704549,0.0004643430271738642,6.315468945009409e-06,1.412129514252573e-07,-11.972508546010022,-11.995122169578323,-11.950395010449922
26,299.93,0.5,235467603.8,5225394.934,17.449570740559786,0.949166445339994,0.0007175992719880526,2.7996345025672435e-05,5.654348132819184e-07,-10.48343659110689,-10.503840070466858,-10.463441103143538
27,299.96,1.0,187701352.4,4140963.61,17.448657325818782,0.9752762344974759,0.0005773537187528652,2.0288236644466633e-05,3.6934528094408655e-07,-10.805469315519469,-10.823841961798227,-10.787428142487094
28,324.91,0.5,87698133.33,1969014.907,16.72073036150219,0.9874759758987458,0.00027646427753413985,3.828687769833009e-05,7.205324188092962e-07,-10.170403339327475,-10.189401980738046,-10.151758926879339
29,324.95,1.0,44413929.58,1006964.775,16.719612104999168,0.9936550162650047,0.00014270475448664472,1.9138776712633492e-05,3.6805755233047434e-07,-10.863794086592543,-10.88321239375231,-10.844745678670277
30,349.9,0.5,22167915.69,516712.114,16.050076237862132,0.9967391923189424,7.269017526621368e-05,3.7472813153060365e-05,7.751037360374029e-07,-10.191894870499926,-10.212796218556662,-10.171421459590496
31,349.95,1.0,12505313.0,313753.568,16.048788316482106,0.9984794946673654,4.4599289255667586e-05,2.1465665547796852e-05,4.7050554509343725e-07,-10.749055850581763,-10.771218622866282,-10.727373635535313
32,334.95,1.0,3242161.028,105283.7838,16.444663706627203,0.998930379135403,1.4754545018538779e-05,9.902339739482696e-06,3.332825966800891e-07,-11.522739491425511,-11.556975879526226,-11.489636535993858
33,309.96,1.0,866149.9153,55048.1329,17.14942292191868,0.9990508589843673,7.662069730012231e-06,3.3637879675344036e-06,2.1704619512095714e-07,-12.60244284770496,-12.669142998408088,-12.53991477836511
34,289.97,1.5,1034024.533,58821.88975,17.758204290382157,0.9991947179420358,8.169360227500199e-06,3.0838039786581203e-06,1.780555933643232e-07,-12.689346665029655,-12.748819581116184,-12.633213104348018
35,249.98,1.5,166069.2744,41493.51248,19.115707376751477,0.9992177605705491,5.76477878454742e-06,5.461707629889287e-07,1.3517266954651506e-07,-14.42033415737147,-14.70467726128718,-14.199199351697096
36,249.98,2.0,183578.1643,41019.87728,19.115707376751477,0.9992432712269556,5.7048570097529534e-06,4.671388586130389e-07,1.0340076782932432e-07,-14.576639281691012,-14.826831759110178,-14.376683210911208
37,214.99,3.0,107398.6069,39792.38625,20.485926168722088,0.9992582542513658,5.523724250468943e-06,1.871044589012476e-07,6.870650974276068e-08,-15.491598772302835,-15.949214435943084,-15.178827068955506
38,264.98,2.0,344295.2049,42941.22373,18.582870310148106,0.9993061750157817,6.000437343792104e-06,9.394225894564433e-07,1.1652035199937769e-07,-13.878000416957043,-14.010428431348204,-13.761076406852315
39,284.97,1.5,429814.1906,46472.24061,17.917293771948685,0.9993659137264195,6.4579423549437545e-06,1.6910227460066866e-06,1.8006672641088439e-07,-13.290177036922042,-13.402767981916739,-13.188989691175621
40,299.96,1.0,465251.8742,46745.25726,17.448657325818782,0.9994306002663029,6.500904439577208e-06,3.030667249861516e-06,3.01337833797608e-07,-12.706727748210897,-12.811454614082084,-12.61193630795282
41,329.96,1.0,1091329.013,57456.20842,16.580723251148218,0.9995824059808086,8.026890233819678e-06,8.729990763049069e-06,4.714777043899994e-07,-11.648746246183304,-11.704266003747906,-11.596147470620576
42,359.95,1.0,1570583.046,73166.31767,15.795293002685202,0.9998009971940652,1.0228878779291432e-05,2.085619931752328e-05,1.0184698643152231e-06,-10.777859324535468,-10.827924905539293,-10.730181248950906
43,379.95,1.0,1090124.521,58363.02333,15.311590874291841,0.9999526626430034,8.09646682671849e-06,4.042269169054831e-05,3.0940967027570093e-06,-10.116119255169195,-10.195750903362185,-10.042363754249367
44,399.89,0.5,340147.0848,44151.52213,14.857957922263164,1.0,6.1657962687734e-06,inf,,inf,,
