,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,0.5,61792638.69,827872.8216,26.798874447273217,0.022603442584237493,0.0002989105370432418,2.4770676682636422e-08,1.9448486296858893e-10,-17.513605275181373,-17.521487674849343,-17.505784522131336
1,100.01,0.5,42102271.69,580265.6865,26.798156286847465,0.03800315717297764,0.0002106191809882008,4.525429378627251e-08,8.909519098419217e-10,-16.91096828099791,-16.930852341944945,-16.891471899806717
2,100.0,0.5,35905836.68,502584.6295,26.798874447273217,0.051137978289251707,0.00018438517889294014,5.6764554032588305e-08,1.0182864262261219e-09,-16.684353754740794,-16.702455377612157,-16.66657398322022
3,100.01,0.5,33557312.75,461994.0875,26.798156286847465,0.06341333331852606,0.00016850208736639313,6.817359464448373e-08,1.1388164088974645e-09,-16.501208522369527,-16.518054274086822,-16.484641855106172
4,100.0,0.5,30244499.52,424824.0669,26.798874447273217,0.07447515262803175,0.00015629383355603472,7.396168098021729e-08,1.2140001832080427e-09,-16.419718702451355,-16.43626881048187,-16.403438047076282
5,100.01,0.5,27901391.33,395320.3318,26.798156286847465,0.08468293228451117,0.00014452677781277826,7.875639532121428e-08,1.2696727768658834e-09,-16.356906352109938,-16.37315923727281,-16.340913404124507
6,100.0,0.5,26040293.41,413539.2553,26.798874447273217,0.0942096030680034,0.00015101480466395782,8.261557354108523e-08,1.4441316192544886e-09,-16.309067632531598,-16.326702352109958,-16.291738514866196
7,49.67,2.0,1762528.59,54895.2458,30.977015054829316,0.09485441667789292,2.0238652377237824e-05,1.4774266982189492e-09,4.72763032652318e-11,-20.332963979913565,-20.365486226908402,-20.301466198979018
8,49.68,2.133333333,1758039.077,53790.44166,30.976055509091474,0.09549755517268402,1.9591545989711412e-05,1.3909700256050311e-09,4.317929700163221e-11,-20.39326447304747,-20.424799082351356,-20.36269397005998
9,49.84,4.333333333,3622875.648,155625.8019,30.960710857921296,0.09682306854979547,5.688416838421483e-05,1.4257621092224367e-09,6.206394105583797e-11,-20.36855935269813,-20.41306558634747,-20.325949809063754
10,59.91,2.0,3891538.635,84876.34859,30.02462018855462,0.09824708319063293,3.127311786803088e-05,3.3656610948284437e-09,7.699954348823828e-11,-19.50964143108689,-19.532785178245028,-19.487021223141614
11,59.94,3.0,5884814.834,117588.5282,30.021915998679038,0.10039971622254114,4.324216171912997e-05,3.7505172431034486e-09,1.576984031030434e-10,-19.401372074981513,-19.44432875034768,-19.36018492358037
12,70.01,2.0,9093770.377,161627.763,29.140925515794386,0.10372618348595777,5.9704029687935524e-05,8.954625745625213e-09,1.7051179677967865e-10,-18.531095595090417,-18.550320979944896,-18.512232864451192
13,69.98,3.0,13561606.61,223770.3347,29.14347331915018,0.10868625103264219,8.177171424025213e-05,9.297846893323427e-09,1.6517081491285414e-10,-18.493482980438305,-18.511407077027723,-18.475874508108923
14,90.0,1.0,19906434.81,305544.233,27.53683051080821,0.11596740778685373,0.00011176668418925465,4.3537629927209976e-08,7.292758891495417e-10,-16.94964021699897,-16.966532565600172,-16.93302848610878
15,90.0,1.0,18628581.12,279376.3225,27.53683051080821,0.12278092950838511,0.00010301513201788888,4.3569667183379604e-08,7.149554783199576e-10,-16.94890463551092,-16.965450239836496,-16.932628338400864
16,90.0,1.5,27339618.42,386171.1292,27.53683051080821,0.1327822509203896,0.00014184620913479528,4.597636217623721e-08,7.125782825295843e-10,-16.895138438265533,-16.910758596751116,-16.8797585213295
17,90.0,2.0,35351112.7,490045.6225,27.53683051080821,0.14571307834570815,0.00017790766399306977,4.909442240778999e-08,7.402187629722013e-10,-16.829520405181206,-16.84471267684459,-16.81455548889881
18,100.01,0.5,16554820.95,254487.2226,26.798156286847465,0.15176915332121493,9.34512573915102e-05,9.907922457132784e-08,1.6230382161235425e-09,-16.127346058644456,-16.14386293065574,-16.111097566893903
19,119.98,0.5,58653090.05,797353.3075,25.436878386284434,0.17322521093853388,0.00028980688066677966,3.884962333697741e-07,5.808233442707018e-09,-14.760982362501606,-14.776045801350595,-14.746142467665212
20,119.99,1.0,100061864.0,1320187.216,25.436231367960524,0.20982381699577599,0.00047047691669604817,4.0164997507175837e-07,5.824059247935915e-09,-14.727684836391179,-14.742291328852698,-14.713288625756539
21,119.99,1.5,124056457.5,1604603.295,25.436231367960524,0.25520969636632085,0.0005682999635531521,4.198088194722846e-07,5.890497677684886e-09,-14.68346642103286,-14.697597172936607,-14.669532568177557
22,120.0,2.0,112369827.6,1452977.227,25.43558438255119,0.29631328090091125,0.0005158936007750868,3.537621750114482e-07,4.849179621723763e-09,-14.854640971587722,-14.868443242701197,-14.841026612492026
23,139.98,1.0,154590649.2,1996452.631,24.205455909762062,0.35286784032272545,0.0006998811279761442,1.210257801430407e-06,1.6287829199344815e-08,-13.624677162016082,-13.63822669219531,-13.611308770002085
24,139.99,1.5,131645592.6,1701731.888,24.204870019847995,0.4010238010408317,0.0005985665822159101,8.491016314369264e-07,1.1202738046381043e-08,-13.979086950570984,-13.992368396021986,-13.965979592309216
25,139.99,2.0,85522227.09,1124482.797,24.204870019847995,0.4323107057973649,0.0004053284901063577,4.809723004101323e-07,6.489809090367601e-09,-14.547456156003797,-14.561041118797949,-14.534053273630722
26,159.96,0.5,39670509.11,551664.9755,23.08882270093048,0.44682303234857984,0.00020093003940359642,9.707826465464678e-07,1.381303799642248e-08,-13.845163238669402,-13.859494202998718,-13.831034752586527
27,159.97,1.0,61164967.37,829110.7747,23.088289619504987,0.4692000525648787,0.0002987026476620077,8.003541193096351e-07,1.0965858346257324e-08,-14.038211558081668,-14.052007544662569,-14.024603313596263
28,159.99,1.5,45963847.96,631870.8608,23.087223530498225,0.48601255230221785,0.0002291362684018304,4.301613931028166e-07,6.0093310740865266e-09,-14.65910536588129,-14.673173809149068,-14.645232101027513
29,159.99,2.0,41129712.66,590659.8835,23.087223530498225,0.5010563965677589,0.00021501435513455474,3.055472846219967e-07,4.470791806396115e-09,-15.001161292498201,-15.015901475527345,-14.986635230107911
30,179.96,0.5,20271655.73,300730.2042,22.0696961002847,0.5084708302222242,0.00011021071229135326,6.268230124363275e-07,9.497931399851297e-09,-14.282601612977155,-14.29787007814924,-14.267562772215282
31,179.98,1.0,36691511.58,510545.2722,22.068722000308963,0.5218936875861564,0.00018637746858792396,5.886256543157352e-07,8.328474227367922e-09,-14.345475416782996,-14.359725485164779,-14.33142556311711
32,179.99,1.5,34258834.88,468914.477,22.068234982566096,0.5344251204466439,0.00017176603701146476,3.835985737669275e-07,5.380072552700387e-09,-14.773669211965606,-14.787793762790509,-14.759741388614561
33,179.99,2.0,38419705.76,526308.3253,22.068234982566096,0.5484806436263853,0.0001917628682411715,3.3817126203972414e-07,4.696923181758607e-09,-14.899713377363435,-14.913699919504774,-14.885919763288326
34,199.94,0.5,20461757.75,304824.3432,21.137627089982878,0.5559655966094768,0.00011240749990501556,7.483461462957006e-07,1.1438442366123766e-08,-14.105400203586036,-14.120803184716534,-14.090230879812884
35,199.97,1.0,37303819.17,514660.9689,21.13628677713899,0.5696093620729554,0.0001877206724346837,7.082437883235587e-07,9.927881386086475e-09,-14.160477468731628,-14.174594247835795,-14.146557202173547
36,199.98,1.5,41788589.69,570300.7162,21.13584004396255,0.5848953203216414,0.00020796114537490756,5.568825602647023e-07,7.724482707849876e-09,-14.400911462580583,-14.414879499620833,-14.387135846935339
37,199.99,2.0,43788589.69,570300.7162,21.135393329669867,0.6009122018129504,0.00020713351623971864,4.6288469912232185e-07,6.101845599954913e-09,-14.585787843846676,-14.599057715380983,-14.572691758203199
38,219.93,0.5,21913971.61,320449.7612,20.28068467591466,0.6089300533271073,0.00011765007501530658,9.67531776780791e-07,1.4417358680263429e-08,-13.848517568363961,-13.863530879533023,-13.833726326816286
39,219.97,1.0,33761273.15,472687.3047,20.27903958468527,0.6212802491783662,0.00017272332994800398,7.734409659570071e-07,1.0969513383772565e-08,-14.072416490522,-14.086700768413928,-14.058333383023532
40,219.98,1.5,44060988.97,629514.9966,20.278628353578164,0.6373978831584582,0.00022879087495805104,7.090577903924287e-07,1.0191287153234504e-08,-14.159328804014683,-14.173806095442503,-14.145058117038117
41,219.98,2.0,40827537.8,566975.8187,20.278628353578164,0.6523327754880953,0.0002062895201939361,5.220479467417055e-07,7.316919482515709e-09,-14.465506401286305,-14.479621349883523,-14.45158791462916
42,239.93,0.5,21440877.75,311144.7303,19.490137990176972,0.6601753170761591,0.00011338967489845496,1.1446402370977308e-06,1.679828730716921e-08,-13.6804201737384,-13.69520453013939,-13.665851213898272
43,239.96,1.0,35521737.66,521919.4739,19.48899846036912,0.6731684724186463,0.00019042927921430778,9.868029881291006e-07,1.4649335552102023e-08,-13.828795424195773,-13.843751966196185,-13.814059287885119
44,239.98,1.5,46581292.64,630464.9547,19.48823884785532,0.6902082902561583,0.0002285111595985164,9.147112021235413e-07,1.2396822008904697e-08,-13.904657447585778,-13.918302840896141,-13.89119574728254
45,239.98,2.0,43803328.8,593563.7588,19.48823884785532,0.7062289441032233,0.000215933356528356,6.890803705960067e-07,9.38895634703027e-09,-14.187907924555642,-14.201626944350844,-14.174374571965146
46,259.94,0.5,29085552.46,409394.9508,18.758558592357765,0.7168671734657373,0.00015063950772236168,1.932662094701125e-06,2.7799991207758128e-08,-13.156612181761215,-13.171100938623303,-13.14233035439165
47,259.97,1.0,40501123.83,561685.66,18.75750300120048,0.7316806000926737,0.00020475422609185452,1.4197568434650063e-06,1.9803612957364165e-08,-13.465024938010307,-13.479071728681335,-13.451172729566723
48,259.98,1.5,50096513.17,685845.6327,18.75715116388123,0.7500051237330978,0.00024798439592949874,1.2584111695577128e-06,1.7181907001435553e-08,-13.58566060924228,-13.599408328629892,-13.572099329420762
49,259.98,2.0,53610783.73,719762.0341,18.75715116388123,0.7696175955880008,0.00025965991839172517,1.1012525851700548e-06,1.4720531805694243e-08,-13.719062312211781,-13.732519536199252,-13.705783783026702
50,279.94,0.5,26133940.11,377424.8484,18.080240105588604,0.7791781324001087,0.0001382547554310535,2.301584955953667e-06,3.379638874658162e-08,-12.981912561073123,-12.996705400779927,-12.967335363390033
51,279.97,1.0,42600003.13,596495.6151,18.079259473531962,0.7947620172533825,0.000215009330724159,1.9984480976106956e-06,2.7882504161444893e-08,-13.123139629804934,-13.137189953146903,-13.109283985898221
52,279.98,1.5,49978299.18,688033.7206,18.078932619818126,0.8130426122398691,0.00025138261422878657,1.7104637735334691e-06,2.356844111465738e-08,-13.27874601162852,-13.292620799941819,-13.265061101550051
53,279.99,2.0,52033585.87,710334.3523,18.07860577792241,0.8320762672078635,0.0002586743676747798,1.4871321865282737e-06,2.0267160411909515e-08,-13.41866099966361,-13.43238306977362,-13.40512467877305
54,299.93,0.5,24529175.12,355561.5937,17.449570740559786,0.8410486608438847,0.00013096547671237157,3.0587673152937294e-06,4.5335703807130765e-08,-12.69749856130037,-12.712431058328745,-12.682785767050731
55,299.96,1.0,42068365.18,606946.0828,17.448657325818782,0.8564363626224228,0.00021987389026918808,2.8508462549377927e-06,4.100456436552649e-08,-12.767894676202046,-12.782382414080296,-12.753613838918266
56,299.98,1.5,48154183.45,658191.7272,17.448048435782457,0.8740512685140146,0.0002385755466678709,2.464974570250779e-06,3.368725609101489e-08,-12.91332906685112,-12.927089681971049,-12.89975523886124
57,299.98,2.0,47007934.96,643477.7081,17.448048435782457,0.8912453393046487,0.0002327356310176559,2.102631892733615e-06,2.8685589810722032e-08,-13.072320715683432,-13.086057339078947,-13.058770233051947
58,324.94,0.5,24413123.41,369732.3741,16.719891655102078,0.9001753693326427,0.00013446361423676483,4.823068736079785e-06,9.355736506092489e-08,-12.242100165251898,-12.261688665021024,-12.222888014496041
59,324.96,1.0,68541720.74,915129.4104,16.719332564244038,0.9252485776226445,0.000328638290470625,8.140650024457475e-06,1.0222703367108718e-07,-11.718640525553656,-11.731277639437007,-11.706161117444328
60,324.97,1.5,57703542.7,794104.5338,16.71905303283622,0.9463564285298158,0.00028639920225134036,6.225835898331738e-06,7.898128381256329e-08,-11.986802843771866,-11.999570051771977,-11.974196584662572
61,324.98,2.0,46050199.13,636359.7117,16.71877351077525,0.9632010736341671,0.0002326894027924787,5.304056725005745e-06,6.623393476632726e-08,-12.147038610378145,-12.159604644020467,-12.134628524321313
62,279.99,2.0,5511582.731,101994.6019,18.07860577792241,0.9652173595493396,3.757537398693912e-05,7.929475251039572e-07,1.4994738036111442e-08,-14.047508790131639,-14.066599999612198,-14.02877523748827
63,279.99,4.0,10591297.4,179650.5402,18.07860577792241,0.969091260698177,6.608785525256261e-05,8.309451183153015e-07,1.4168991831492323e-08,-14.000702087213769,-14.017900798628137,-13.983794177112694
64,299.98,2.0,10536142.26,182157.9562,17.448048435782457,0.9729443272835056,6.677988473090337e-05,1.874268075256112e-06,3.266798916764863e-08,-13.187292334615552,-13.204875752232235,-13.170012758691582
65,299.99,3.0,11855003.23,198511.1172,17.447744006699935,0.9772811052096784,7.282114670344007e-05,1.6390334830492837e-06,2.7426322193680297e-08,-13.321403829461108,-13.338278640318414,-13.30480905875564
66,324.98,2.0,17250905.06,278694.6445,16.71877351077525,0.9835923278102631,0.00010289612209698855,4.57963750546584e-06,7.081794175411831e-08,-12.293890710248693,-12.309475176245138,-12.278545397522668
67,324.94,3.0,16812808.84,258430.8263,16.719891655102078,0.9897428654313193,9.486107959965887e-05,4.4073398062836365e-06,6.275825364297696e-08,-12.332239269044802,-12.346581109375808,-12.318100212235656
68,324.99,3.0,10299986.78,162912.086,16.718493998060655,0.9935114802233354,6.005579993941725e-05,4.295442312690189e-06,6.562051698912403e-08,-12.357956024666269,-12.373350694469396,-12.342794762034918
69,349.91,0.5,2763856.284,70592.42834,16.049818637049402,0.9945226464050616,2.5973764536264975e-05,9.534778261223532e-06,2.469934047736673e-07,-11.560564574428913,-11.586810477440553,-11.534989938381125
70,349.96,1.0,4232252.278,89403.79913,16.0485307570092,0.9960707283920591,3.2663897759389956e-05,9.349226870421068e-06,2.00437401941877e-07,-11.580216905737991,-11.60188898595593,-11.559004558815971
