,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.98,0.5,59871570.6,723848.2951,26.80031088360625,0.011496967104943677,0.00013920872570687866,6.40830911477095e-09,2.5661429474809586e-10,-18.865670389459456,-18.90653821260179,-18.826407374826772
1,99.99,1.0,105086823.9,1221672.991,26.79959264619178,0.031677574310810516,0.00023241492269145315,2.1119061458398123e-08,3.8262728472091857e-10,-17.673089817618585,-17.69137357883616,-17.6551343587058
2,99.99,2.0,180246226.5,2087217.851,26.79959264619178,0.06629004909429151,0.00039351341278159424,4.1097680491605765e-08,6.663295174324235e-10,-17.00731415276413,-17.023660338710442,-16.991230872861497
3,100.0,2.0,154476012.5,1764663.284,26.798874447273217,0.09595182509216585,0.0003364728156291974,5.8331203910540106e-08,8.411243412700311e-10,-16.65712865674805,-16.671653433258072,-16.64281183251394
4,99.98,0.5,35538131.39,455580.3392,26.80031088360625,0.10277654792004474,8.818588328594533e-05,7.137333091598665e-08,1.0538433080964982e-09,-16.455341553958387,-16.470216870173253,-16.440684273388364
5,99.99,1.0,67382621.07,798251.5835,26.79959264619178,0.11571645295021228,0.00015381812898138228,7.504470174601845e-08,1.0391299862529559e-09,-16.405181877681184,-16.41912545252581,-16.391430055462916
6,49.46,2.0,2007316.29,71824.8933,30.997179256687645,0.1161018827221508,1.3796814020194761e-05,1.192786266733104e-09,4.333062580308624e-11,-20.5469738660142,-20.583977362352464,-20.511290909133336
7,49.67,3.0,2661694.028,80772.06106,30.977015054829316,0.11661294016770403,1.5526642402919475e-05,1.0589180832268231e-09,3.281819950250028e-11,-20.66601812626821,-20.697500742378466,-20.63549648812148
8,49.76,4.333333333,3740849.295,101810.0464,30.968381282710357,0.11733116693965534,1.9625107851484985e-05,1.0363306850964405e-09,2.9004847849788706e-11,-20.687579549932188,-20.715966703307227,-20.65997603299464
9,69.98,2.0,10833535.53,174848.8916,29.14347331915018,0.11941187620538224,3.358835262972308e-05,6.588623652249315e-09,1.1400520527343642e-10,-18.83792136422844,-18.85537615820505,-18.82076602071077
10,69.99,3.0,16413156.4,240936.2304,29.14262400186513,0.12256344867326231,4.6857796238551576e-05,6.817566340818223e-09,1.0904284898387293e-10,-18.803763270296383,-18.819886956102803,-18.787895437889016
11,69.99,4.333333333,22838107.72,319085.8511,29.14262400186513,0.12694825907693072,6.17437550728385e-05,6.7948376778746244e-09,1.0409413013182046e-10,-18.807102678094477,-18.822540825821857,-18.791899247761418
