,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.91,0.166666667,213441.6556,22134.41749,26.805339623653037,0.004114317408254621,0.000424281611603943,2.4631585092674337e-09,3.350611205758109e-08,-19.821821363700366,,-17.140600858375592
1,99.96,0.333333333,317271.0399,25295.95627,26.801747473935304,0.010231299480554273,0.00048522692955877073,6.3825975582416785e-09,8.128725073283045e-10,-18.869690681658803,-19.005920146718697,-18.749814166486797
2,99.97,0.5,415983.5474,27118.61952,26.801029159519725,0.018250967284414613,0.0005220494591231047,1.1076170211802912e-08,1.0494212428308534e-09,-18.318469864131824,-18.41800941822494,-18.22794762154895
3,69.81,0.333333333,29442.53355,16107.12339,29.157919290879406,0.018818672993805224,0.0003132521185671683,1.5304572601229659e-09,8.606757428439644e-10,-20.297699283367198,-21.12406955033705,-19.851498523515048
4,69.9,0.666666667,50442.36173,17077.5577,29.150269639994175,0.01979110832345885,0.0003310433374705242,1.3654934979436882e-09,4.810651308051524e-10,-20.41174993669314,-20.846079592449996,-20.109942130854403
5,69.93,1.0,103620.6475,18587.10717,29.147720648245308,0.02178803135728506,0.0003558103913314394,2.0138888027418167e-09,3.8695706045055014e-10,-20.02319825631837,-20.236569962698805,-19.847444718689136
6,89.99,0.5,207020.0336,19733.27314,27.53758880872391,0.025776104518753118,0.00037973759920638373,9.20595472389722e-09,1.0253969896399496e-09,-18.503415309671514,-18.62150550598405,-18.397809133401008
7,90.0,0.75,265778.6334,24532.21368,27.53683051080821,0.030899721541673968,0.00047540963374907296,9.38905131601762e-09,1.0119491753836877e-09,-18.483721580138273,-18.597763788864242,-18.381363834329832
8,99.97,0.5,310622.4634,24430.41359,26.801029159519725,0.03688779873049275,0.00047052210842372965,1.9686633764424737e-08,1.8058512104138715e-09,-17.743325920595872,-17.839539301155945,-17.655562498968777
9,119.85,0.166666667,349694.2934,27512.96801,25.44529262086514,0.0436368159360393,0.0005280676265562686,7.897339233221156e-08,7.135208877381816e-09,-16.354154847132616,-16.448849699257273,-16.267656532597506
10,119.92,0.333333333,532482.2811,32527.47899,25.440761187574733,0.05389778956379949,0.0006219841973089201,7.282556497060899e-08,5.235211941010175e-09,-16.435198776209837,-16.509800570743796,-16.365778122494056
11,119.95,0.5,851814.1095,38845.72968,25.438819638768763,0.07031979244351953,0.0007426779322273945,9.891759513091786e-08,5.50565652516488e-09,-16.128978705841067,-16.18624667754879,-16.074813469283338
12,139.87,0.166666667,910063.7391,36806.31548,24.211902571304055,0.0878661007257279,0.0007042966759629507,4.037381547618604e-07,1.957401183866123e-08,-14.722499300891034,-14.772195920162607,-14.675155947568182
13,139.95,0.333333333,1458459.608,50666.55831,24.207213749697413,0.11598377769998086,0.0009674940227120181,4.538312951595421e-07,1.9479408104316137e-08,-14.605540304529061,-14.649410831700072,-14.563513786168082
14,139.96,0.5,1698170.095,50641.91987,24.20662777468471,0.14872304735248065,0.0009689120182271136,4.699769144915151e-07,1.7327060377050684e-08,-14.5705822615518,-14.60814695931715,-14.534377730207243
15,159.85,0.166666667,1425821.317,55460.02661,23.094688221709006,0.17620684777375986,0.0010586067911664077,1.4933962913136884e-06,6.544683559966333e-08,-13.414457641732326,-13.459271089831551,-13.37156659712519
