,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.01,1.0,3.44e-17,1.53e-18,26.798156286847465,0.017585537771951903,0.0007815233310597634,7.497929870402731e-09,4.064981775977326e-09,-18.708638871783563,-19.4898464421816,-18.27546313289251
1,99.99,2.0,3.62e-17,1.01e-18,26.79959264619178,0.03609886872238901,0.0005201476045163176,1.204182642534849e-08,5.72701079791944e-10,-18.234879712112964,-18.283607164549153,-18.188416710557586
2,70.02,1.33,1.7e-18,2.81e-19,29.140076347000033,0.036968266978570676,0.00014406408895115925,1.157321438366991e-09,1.9636549490493175e-10,-20.57715760677794,-20.76309255248151,-20.42043390538595
3,70.01,2.67,3.45e-18,3.79e-19,29.140925515794386,0.03873071528200452,0.00019477875581555318,1.2121063721337465e-09,1.4010888381692107e-10,-20.53090618736356,-20.65374211728858,-20.42152165901742
4,70.01,4.0,5.14e-18,4.96e-19,29.140925515794386,0.041356370439191534,0.0002537128976486619,1.2753526562891704e-09,1.3069142094729668e-10,-20.480043103412882,-20.588157108046936,-20.382485694663497
5,89.99,2.0,1.07e-17,5.8e-19,27.53758880872391,0.046828761198789925,0.00029727557180799505,5.8467835237390014e-09,3.6281848818015523e-10,-18.957374151913722,-19.02143745098533,-18.897169031312547
6,89.99,3.0,1.41e-17,7.17e-19,27.53758880872391,0.05404027796565,0.00036827118507834955,5.874966656567176e-09,3.436707635192289e-10,-18.952565452410223,-19.012843710158513,-18.8957150184882
7,100.0,3.0,2.56e-17,9.74e-19,26.798874447273217,0.06712698852391855,0.0004955682380353442,1.2813120033805952e-08,5.852312028581159e-10,-18.172796188336267,-18.21954652431114,-18.128134179599833
8,119.97,1.0,2.98e-17,9.91e-19,25.437525437525437,0.08236352750599205,0.0005054205982593523,5.520627122612633e-08,2.2179329290932955e-09,-16.712189280947438,-16.753193979736363,-16.67279994732284
9,119.98,2.0,4.18e-17,1.25e-18,25.436878386284434,0.10373405027368658,0.0006385918326772585,5.205516942254454e-08,1.969520214000207e-09,-16.77096173034159,-16.809531312831435,-16.733824679381723
10,120.0,3.0,3.99e-17,1.18e-18,25.43558438255119,0.12413176906233842,0.0006000735443192755,4.13039070191528e-08,1.4633044092210741e-09,-17.002308740505804,-17.03837927859311,-16.967494116076228
11,139.97,1.0,4.12e-17,1.24e-18,24.206041828040277,0.14519802128888584,0.0006371322403657839,1.5405324945241873e-07,5.468804547386775e-09,-15.685967518634353,-15.722112387766117,-15.651083654688614
12,140.0,2.0,5.39e-17,1.34e-18,24.20428415829602,0.17275243184685946,0.0006910399527649682,1.2165706962072324e-07,3.6962676337441636e-09,-15.922059654972879,-15.952913454217946,-15.89212938920654
13,140.0,3.0,5.8e-17,1.62e-18,24.20428415829602,0.2024098565127574,0.0008266824568446343,1.0579754170406866e-07,3.4429284470861998e-09,-16.061738553103417,-16.094822452508698,-16.029714236513158
14,160.0,1.0,5.13e-17,1.36e-18,23.086690522913543,0.22863426563025113,0.0006972577634059592,3.3141969174182016e-07,1.0260225892838746e-08,-14.919880313858586,-14.95132805882417,-14.889391451473113
15,160.0,2.0,7.38e-17,2.03e-18,23.086690522913543,0.2663669706337525,0.0010296111177454644,2.828639053522169e-07,8.962224167988272e-09,-15.078299954788063,-15.110496622747224,-15.047107658875621
16,160.0,3.0,8.12e-17,1.67e-18,23.086690522913543,0.3078870601933832,0.0008562861363767515,2.510632113348692e-07,6.363752227747387e-09,-15.197561091532963,-15.223235076932914,-15.172529793725136
17,180.0,1.0,6.59e-17,1.64e-18,22.067747986317997,0.3415821124390329,0.0008423337066848482,7.208438132407964e-07,2.0826210137975114e-08,-14.142843348314223,-14.17216035492945,-14.11436140512046
18,179.93,2.0,9.67e-17,2.32e-18,22.07115741149466,0.391027654679725,0.001160854376041345,6.270413591994453e-07,1.729047445169867e-08,-14.282253334853516,-14.310215348850619,-14.255051973903242
19,180.0,3.0,1.03e-16,2.43e-18,22.067747986317997,0.4436908062973751,0.001230774889674427,5.415133871751939e-07,1.4832896988009082e-08,-14.428898048419097,-14.456671752747102,-14.401874923320335
20,199.95,1.0,8.24e-17,1.69e-18,21.13718030014796,0.485817449933082,0.0008686731603037424,1.5448455579753038e-06,3.8562735604957764e-08,-13.380586615086678,-13.40586564915957,-13.355930886392644
