,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.0,0.5,8.3,0.3,26.798874447273217,0.012430510856961797,0.0007498028626146198,7.464636424690384e-09,7.352973662567889e-09,-18.713089111134586,-22.915537839450124,-18.027449492750826
1,100.0,1.0,16.7,0.5,26.798874447273217,0.03745129912485948,0.001414104885315422,3.0128893613982936e-08,3.277264651204743e-09,-17.31778120489053,-17.432939348827052,-17.214525574762277
2,100.0,2.0,33.4,0.8,26.798874447273217,0.08749117673672831,0.0027040315654113414,7.545794977195728e-08,8.010803570765268e-09,-16.399690292512226,-16.511921565029215,-16.298793486588583
3,70.1,1.3,1.8,0.2,29.133284777858705,0.09018970240552322,0.00032581449726003996,8.896851077765583e-09,1.3944596913820995e-09,-18.53756843430138,-18.70804401570869,-18.39196591239977
4,70.1,2.0,2.6,0.2,29.133284777858705,0.09408630520273562,0.00035457768351098,8.663052433647762e-09,1.2810283008717424e-09,-18.56419870145973,-18.72421796320604,-18.426288363853068
5,90.0,1.0,6.3,0.4,27.53683051080821,0.10352513288347248,0.0007458302448186437,4.8839747688484e-08,6.898432568424785e-09,-16.834721353800706,-16.986994454785933,-16.702600462413177
6,90.0,2.0,12.5,0.5,27.53683051080821,0.12225088649990451,0.0011789093022046761,5.6052778691015905e-08,6.345352873146167e-09,-16.696972113438214,-16.817111502170413,-16.589730504901343
7,120.0,0.5,29.6,0.7,25.43558438255119,0.1666012055049539,0.002382248889874351,6.993439832472639e-07,7.629790050311982e-08,-14.173123108107983,-14.288645351802812,-14.069574913294874
8,120.0,1.0,49.7,0.9,25.43558438255119,0.24107669053715547,0.0038412779019905315,8.776481946822461e-07,9.7492013731863e-08,-13.94602001303672,-14.063771705318851,-13.840684572785646
9,159.8,0.5,190.1,32.1,23.097355352812105,0.5237295153859222,0.03482673483840823,1.5893250888719317e-05,2.42072249605214e-06,-11.049616011259593,-11.214857879687488,-10.90784621655207
10,160.0,1.0,164.5,1.7,23.086690522913543,0.7701705976167482,0.012125192129508567,1.8240915148732847e-05,3.519610790539877e-07,-10.911843401948795,-10.931327126676024,-10.892732049113864
11,199.9,0.5,119.2,1.6,21.139414438220065,0.9487562535384829,0.008918090948354402,8.448065978200849e-05,1.1842779804869715e-06,-9.378987928117212,-9.393105445490882,-9.365066943701573
12,199.9,1.0,22.0,0.6,21.139414438220065,0.981721141419016,0.0018202219697534532,2.9011342142536393e-05,9.433530070006317e-07,-10.447823696077416,-10.480880807650843,-10.415824479427691
13,250.0,0.5,2.5,0.2,19.114976584153684,0.9854676245494122,0.00035299364838766524,1.2907759628618727e-05,1.1106272021138548e-06,-11.257681905839897,-11.34765407072849,-11.175140744979926
14,250.0,1.0,0.6,0.1,19.114976584153684,0.9863676064100688,0.00015641827153031252,1.7970851997170762e-06,3.079107443433166e-07,-13.229344539090294,-13.417288648349226,-13.07119701764395
15,300.0,0.5,0.3,0.1,17.447439588240428,0.9868174557269893,0.0001520468404709359,1.8869771312401758e-06,6.315100856569836e-07,-13.180534410760902,-13.58800290673532,-12.891852147454683
16,299.8,1.0,0.4,0.1,17.453529976437732,0.987416657705016,0.00015272128363708632,1.309295290885469e-06,3.305234454317322e-07,-13.546021511384971,-13.83696727014209,-13.320924848872538
17,325.0,0.5,0.3,0.1,16.718214494691967,0.9878656543807894,0.0001514912007787011,2.0471181964865033e-06,6.818624742666333e-07,-13.099077511629908,-13.504168804588106,-12.811582399167833
18,324.7,1.0,0.9,0.1,16.726603663126205,0.989214006726822,0.00016352422079904538,3.3149768293589185e-06,4.004980290767945e-07,-12.617059923986195,-12.745819553365415,-12.503004066042292
19,350.0,0.5,0.8,0.1,16.047500601781273,0.9904129619016244,0.00016230598021338167,6.629953658717737e-06,9.042668217650114e-07,-11.923912743426264,-12.070548044199851,-11.79605518439171
20,350.0,1.0,1.4,0.2,16.047500601781273,0.9925089163307909,0.0003172291764311491,6.947820913905626e-06,1.015098207488872e-06,-11.877082485118288,-12.035027309279283,-11.74071490154144
21,335.0,1.0,0.6,0.1,16.44331168297295,0.9934064642047415,0.00015596255142591903,3.5978412528812893e-06,6.396152143816386e-07,-12.535176544342784,-12.730920780604803,-12.371547358522763
22,310.0,1.0,0.2,0.1,17.14824659178599,0.9937068135807637,0.00015135772827603252,1.3092952908859342e-06,6.575321508396088e-07,-13.546021511384616,-14.243584623160237,-13.139088749032124
23,289.9,1.5,0.0,0.1,17.760412041559366,0.9937068135807637,0.0,0.0,0.0,-inf,-inf,-inf
24,249.9,1.5,0.0,0.1,19.11863110601281,0.9937068135807637,0.0,0.0,0.0,-inf,-inf,-inf
25,250.0,2.0,0.0,0.1,19.114976584153684,0.9937068135807637,0.0,0.0,0.0,-inf,-inf,-inf
26,214.9,3.0,0.0,0.1,20.489703923778304,0.9937068135807637,0.0,0.0,0.0,-inf,-inf,-inf
27,265.0,2.0,0.1,0.1,18.5821796896776,0.993856834620587,0.00015053351929395016,3.391100623434486e-07,3.404680012049668e-07,-14.896941114579318,,-14.201793726144558
28,285.0,1.5,0.1,0.1,17.916330735465376,0.9940068191208302,0.00015062333199909327,4.6331198794042176e-07,4.658428795917008e-07,-14.584865169744335,,-13.888990408546912
29,299.9,1.0,0.1,0.1,17.450484250937965,0.9941580287573132,0.00015031931426368937,7.125639644993957e-07,7.139023050040029e-07,-14.154396154097123,,-13.460310312206209
30,330.0,1.0,0.4,0.1,16.579623642543314,0.9947574312488274,0.00015226148912789145,3.0456468005359318e-06,7.686028574259618e-07,-12.70179726538996,-12.992632472382033,-12.476766594626856
31,360.0,1.0,0.9,0.1,15.794045644791915,0.9961056911868179,0.00016465019354173965,8.366076721460644e-06,1.158250542034766e-06,-11.691325514359896,-11.840343152901022,-11.561661267950239
32,380.0,1.0,1.1,0.2,15.310418739952539,0.9977535604629683,0.00030881571593952277,1.548092942077555e-05,2.757572118921226e-06,-11.075901651503248,-11.272071096052997,-10.91197572912169
33,400.0,0.5,0.5,0.1,14.855529971031718,0.9985032034256645,0.00015380144508476078,2.2823447043994536e-05,5.228178090533821e-06,-10.687722171300875,-10.947880501518366,-10.48146399061402
34,400.0,1.0,0.5,0.1,14.855529971031718,0.9992515391268617,0.00015488975817143797,1.9508470214632043e-05,,-10.844661816724773,,
