,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.03,1.0,253.7,4.56,26.796720081462034,0.0392323867355722,0.0006986788270878696,3.731096624486428e-08,2.643199667228907e-09,-17.10397855230373,-17.177455498775455,-17.035532892020697
1,100.03,2.0,348.43,5.3,26.796720081462034,0.09311852845975478,0.0008115815510473106,8.643081595392418e-08,2.0304341224554345e-09,-16.263921558593264,-16.2876939112852,-16.240701233062108
2,70.03,1.33,14.62,1.35,29.139227227693926,0.09538048888319894,0.00020706438827481155,7.766981028138558e-09,7.237032566615038e-10,-18.673384290135992,-18.77119218259168,-18.584296240954693
3,70.03,2.67,32.03,1.78,29.139227227693926,0.100334310691922,0.0002752526990798152,9.540627506833914e-09,7.341761373103711e-10,-18.467706577251704,-18.547781273883118,-18.393571186805662
4,70.02,4.0,44.09,2.07,29.140076347000033,0.10715544257168327,0.00032141521555886375,9.341330659631284e-09,4.676416784208393e-10,-18.48881712594212,-18.540175232923662,-18.4399683254261
5,90.0,2.0,121.58,3.41,27.53683051080821,0.12595679020631273,0.0005243127910684899,5.8547503024943935e-08,1.8646906087336197e-09,-16.653427394696052,-16.68579480415573,-16.622074871028662
6,90.02,3.0,141.89,5.35,27.535314040256633,0.14790193462114742,0.0008122414189900647,5.4501500409575694e-08,2.233275609506506e-09,-16.725037605205237,-16.766877206916746,-16.68487848055505
7,100.02,3.0,271.99,12.46,26.797438164911437,0.1899619351585395,0.0018568622281881174,1.328389922616496e-07,6.5794213500231115e-09,-15.834128026572861,-15.884925962463312,-15.785786255437525
8,120.03,1.0,408.01,6.59,25.433643623785546,0.2530587422839058,0.0009842063443583498,8.255962152599545e-07,1.64413044252909e-08,-14.007160026459326,-14.027275453874251,-13.987441263500607
9,120.02,2.0,570.45,6.51,25.434290510466212,0.3412809746012918,0.0009849007419033121,8.395387696009242e-07,1.2373775491028616e-08,-13.990413179719194,-14.005261652620225,-13.975781961991308
10,120.02,3.0,596.55,7.2,25.434290510466212,0.4335299392996363,0.0010831470952177554,8.490876002630044e-07,1.211564305518799e-08,-13.979103475436013,-13.993475270951519,-13.964935305418019
11,139.98,1.0,557.43,6.76,24.205455909762062,0.5197356883871328,0.0010202597601959096,3.307531656375997e-06,4.5738836266776306e-08,-12.619308369914366,-12.63323356893111,-12.605574421904938
12,140.02,2.0,756.97,8.19,24.20311252027011,0.6367858790691704,0.0012151244671262575,3.235640866235701e-06,3.942050093646149e-08,-12.641283545694556,-12.65354158209327,-12.629173950984779
13,139.99,3.0,567.47,7.84,24.204870019847995,0.7245434590219456,0.0011536002280110164,2.361612276431618e-06,3.388875002827491e-08,-12.956166004200272,-12.970619795283648,-12.941918152128276
14,160.03,1.0,441.07,6.35,23.085091647813844,0.7927538491400007,0.0009606116139061305,7.667244471934598e-06,1.1730562896743296e-07,-11.77855326763859,-11.793971095005398,-11.763369544855374
15,160.01,2.0,386.74,5.07,23.086157539939055,0.8525550869466874,0.0007778294863258746,4.718715263966646e-06,7.245365309464781e-08,-12.263973985254761,-12.279447616361047,-12.248736143523194
16,160.01,3.0,227.84,5.1,23.086157539939055,0.887790677281922,0.000773562919105359,2.5824241385749958e-06,6.089420765781598e-08,-12.86678201157285,-12.890644725217639,-12.843475480774911
17,180.02,1.0,117.75,3.5,22.066774058300417,0.9060004939249238,0.0005361316528181868,4.9827148210632395e-06,1.5332688587065435e-07,-12.20953567067334,-12.240790819821857,-12.17922787110065
18,180.01,2.0,93.42,2.9,22.067261011563247,0.9204453981434172,0.00045014058530036777,2.347735751515863e-06,7.771886768085443e-08,-12.962059204275585,-12.995723288685843,-12.929491579311778
19,179.98,3.0,69.62,2.63,22.068722000308963,0.931209332639494,0.0004067747049784811,1.363855987949877e-06,5.44158912034097e-08,-13.505194584798945,-13.545910919179413,-13.466071413992317
20,200.02,1.0,45.13,2.03,21.134053300082424,0.9381860867420885,0.00031402869338843895,3.0101551076881087e-06,1.42662539056345e-07,-12.713518949737765,-12.762072579530633,-12.667214013915443
21,199.97,2.0,65.0,2.27,21.13628677713899,0.9482379052336649,0.0003505432520094532,2.4968788041938485e-06,9.73961186345325e-08,-12.900469084410915,-12.940257391527734,-12.862203493557809
22,199.97,3.0,64.07,2.32,21.13628677713899,0.9581455524773734,0.000355390017497176,1.9927561853436857e-06,8.319704638876954e-08,-13.12599185971963,-13.16863815984924,-13.085090120981612
23,250.01,0.5,74.25,6.21,19.114611208808014,0.9696204678125024,0.0009512803059929896,1.804425409367447e-05,1.3482129875787737e-06,-10.92268325662443,-11.000338926159841,-10.85062586208169
24,250.01,1.0,46.48,3.24,19.114611208808014,0.9768062139488118,0.0004989859608771419,7.596987790128734e-06,4.915371110880178e-07,-11.78775873264091,-11.854648367175555,-11.725064179586266
25,300.01,0.5,85.76,2.51,17.44713518040338,0.9900661378875454,0.00038869646510923905,4.7734054645377715e-05,1.5719591206606636e-06,-9.949865480934166,-9.983351539812237,-9.917464501271018
26,299.92,1.0,29.04,1.69,17.449875233392085,0.9945551128171574,0.00025982646847119283,1.6931332317186645e-05,1.0004299012122787e-06,-10.986344669275484,-11.047249786809742,-10.92893699194197
27,324.99,0.5,12.6,1.11,16.718493998060655,0.9965034794710346,0.0001715025495210134,2.4941682807070325e-05,2.218643305252431e-06,-10.598970145767723,-10.692131192169317,-10.51375324826476
28,324.97,1.0,14.08,1.03,16.71905303283622,0.9986818343909875,0.00015957770021045862,2.7456170981361244e-05,2.5754557978632373e-06,-10.502919607210119,-10.60141754518899,-10.413259505633928
29,349.99,0.5,4.78,0.77,16.047758128189493,0.9994208226301159,0.0001186313252861173,4.634491335188991e-05,8.427532689618524e-06,-9.97939901627055,-10.180100958325307,-9.812323299922895
30,349.99,1.0,3.22,0.64,16.047758128189493,0.9999182718288816,9.89828983428521e-05,5.552997754663871e-05,2.038001043455598e-05,-9.798587547057343,-10.25588687535291,-9.48596228826528
31,335.02,1.0,0.52,0.35,16.442770935758094,0.9999982848392652,5.45244647218762e-05,inf,,inf,,
