,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.99,1.0,2.06e-17,1.52e-18,26.79959264619178,0.02047222911840999,0.0015007773798095267,1.016028006153568e-08,1.7676154882887973e-08,-18.404779830064207,,-17.39692006483715
1,99.99,2.0,3.09e-17,1.3e-18,26.79959264619178,0.05118032068179095,0.0012941800596272333,2.6670735161531154e-08,1.9324479916750745e-09,-17.43969893402062,-17.514913705610162,-17.36974782625073
2,69.99,1.33,2.22e-18,4.72e-19,29.14262400186513,0.05338683065862372,0.00047009623720639334,4.2050471459649216e-09,9.267934751851908e-10,-19.28698033170209,-19.535954973780058,-19.08780144656963
3,70.0,2.67,2.92e-18,5.69e-19,29.141774734081306,0.05628459209677386,0.0005641301550279975,2.889711726427894e-09,5.853510611095155e-10,-19.662109088438164,-19.888462567597024,-19.477653289736796
4,70.0,4.0,4.29e-18,7.4e-19,29.141774734081306,0.06054786089762054,0.0007357091956347048,3.0190135168966726e-09,5.489780851978333e-10,-19.61833570895559,-19.819033341592068,-19.451262975904484
5,90.0,2.0,9.75e-18,7.68e-19,27.53683051080821,0.07023978560777548,0.000765667220697223,1.5361539700092412e-08,1.3977390077320957e-09,-17.991398873359234,-18.086797520767362,-17.904313779344555
6,89.99,3.0,1.33e-17,1.14e-18,27.53758880872391,0.08344094138100258,0.0011332434181612725,1.6416464448752267e-08,1.593907961587698e-09,-17.92498107591479,-18.027115729447587,-17.832317999996764
7,99.99,3.0,2.2e-17,1.47e-18,26.79959264619178,0.10530913016034725,0.0014461751939961753,3.606305609106009e-08,2.989005730878721e-09,-17.137996872594275,-17.224516839067896,-17.058370162517075
8,119.99,1.0,2.72e-17,1.71e-18,25.436231367960524,0.13234091947179463,0.0016666507406915031,1.7206776059353929e-07,1.263352337931764e-08,-15.575377480774437,-15.651634305609896,-15.504525998098586
9,119.99,2.0,3.6e-17,1.93e-18,25.436231367960524,0.16811945163454678,0.0018932219082817483,1.481350285466301e-07,9.43369583176969e-09,-15.72514162408039,-15.790942901057077,-15.663404128591951
10,119.97,3.0,3.79e-17,2.09e-18,25.437525437525437,0.20580053190296593,0.002039933576551494,1.339133982232611e-07,8.461210782507977e-09,-15.826072527841642,-15.891341127532286,-15.764804161410972
11,139.99,1.0,3.47e-17,1.72e-18,24.204870019847995,0.24028960320716167,0.0016903262741546142,4.545072229079681e-07,2.5716089966869963e-08,-14.604052031468425,-14.662295906179052,-14.549014606076883
12,139.97,2.0,4.43e-17,2.23e-18,24.206041828040277,0.2843291402116125,0.002162690114174124,3.553357776799841e-07,1.9955198931302633e-08,-14.850202641888046,-14.907999893978387,-14.79556417422987
13,139.99,3.0,4.23e-17,1.86e-18,24.204870019847995,0.32637736432335185,0.001831842890127729,2.7586307672300146e-07,1.3781540197772358e-08,-15.103361193156704,-15.154610173488953,-15.054611124348533
14,159.98,1.0,3.27e-17,1.59e-18,23.087756562694803,0.35888225144923314,0.0015697431533477206,7.49009125073888e-07,4.01958057466002e-08,-14.104514670494208,-14.159673646456126,-14.052239814945588
15,159.96,2.0,4.24e-17,1.73e-18,23.08882270093048,0.4010236491724895,0.0017015856016100097,5.636179177185262e-07,2.5951117996542117e-08,-14.388889265875548,-14.4360268000213,-14.343874014894288
16,159.99,3.0,3.95e-17,1.75e-18,23.087223530498225,0.4402873551347111,0.001726845324677109,4.084303091079147e-07,2.0090269225349896e-08,-14.710944539139529,-14.761384489679989,-14.662927075946728
17,179.93,1.0,3.5e-17,1.65e-18,22.07115741149466,0.4750672753828999,0.0016157347515729015,1.2430480906777976e-06,6.346032464148101e-08,-13.59794405698234,-13.650345531340594,-13.54815231088955
18,179.98,2.0,5.15e-17,2.3e-18,22.068722000308963,0.526221538557569,0.0022361974616985176,1.0672149798822368e-06,5.169759908725177e-08,-13.750458125262277,-13.800112340567777,-13.703153255931662
19,179.95,3.0,5.65e-17,3.34e-18,22.070183182520417,0.5823857189906545,0.0031573190892948888,9.442001518345863e-07,5.606033884475655e-08,-13.872927668026584,-13.934136659287109,-13.815250101206738
20,199.98,1.0,4.78e-17,2.1e-18,21.13584004396255,0.6298988628467596,0.002036634542211463,2.883527972205129e-06,1.3562988204345647e-07,-12.756496023155915,-12.804674269385846,-12.710532621674195
21,199.99,2.0,6.45e-17,2.77e-18,21.135393329669867,0.693991839701936,0.0026410012460761647,2.3979025740549713e-06,1.0775263530850876e-07,-12.94091613018472,-12.986893267106412,-12.896960297004318
22,199.95,3.0,6.89e-17,3.56e-18,21.13718030014796,0.7624605105936433,0.003358943643653085,2.236460175736235e-06,1.1401495608266775e-07,-13.010616220743902,-13.062941728444475,-12.960893066491863
23,249.95,0.5,8.33e-17,2.84e-18,19.116803670426307,0.8452496764730195,0.002744879096888532,2.358531265777445e-05,9.1382245718093e-07,-10.654886384679308,-10.694402361128256,-10.616872742467097
24,249.98,1.0,6.91e-17,3.41e-18,19.115707376751477,0.9138892032680107,0.003220865417311237,1.650688348784212e-05,7.961576904920367e-07,-11.011733082972231,-11.061166907059903,-10.964628281254754
25,299.79,0.5,6.15e-17,3e-18,17.453834607463257,0.9750326856735835,0.0028940992999360884,6.966971159968075e-05,3.2920484276009957e-06,-9.571744888450253,-9.620149956087236,-9.525575089308212
26,299.98,1.0,1.27e-17,1.12e-18,17.448048435782457,0.9876497067726931,0.0011025693463325103,1.9817304778101753e-05,1.931834553780553e-06,-10.828955023268774,-10.931521894051736,-10.735936372160472
27,324.98,0.5,1.88e-18,4.54e-19,16.71877351077525,0.9895217427732628,0.00045349335222101664,9.234146981258234e-06,2.3203184956527184e-06,-11.592602316607605,-11.881987023598466,-11.368438574337686
28,324.98,1.0,7.01e-19,3.13e-19,16.71877351077525,0.9902190205611356,0.0003119785688204983,1.935917945439215e-06,8.80169345663577e-07,-13.154928953562221,-13.761260469417264,-12.78016212188798
29,349.96,0.5,2.47e-19,2.72e-19,16.0485307570092,0.9904668822179661,0.0002710705009625974,1.430288750245659e-06,1.6027918903578421e-06,-13.4576342108275,,-12.705931741875208
30,349.99,1.0,1.76e-19,2.14e-19,16.047758128189493,0.9906436380017858,0.0002106125192397003,5.208964945829323e-07,6.370941805011197e-07,-14.467714481757298,,-13.668824231450339
31,334.89,1.0,2.53e-20,1.95e-19,16.44628642852444,0.9906684485410665,0.00019434122989637654,7.567773835450359e-08,5.951274491349367e-07,-16.396781796971432,,-14.214787073739483
32,309.98,1.0,5.75e-20,2.27e-19,17.148834736679643,0.9907242531292986,0.00022607156498089356,1.7275541533269298e-07,6.955653229875322e-07,-15.571389026988557,,-13.95670467634581
33,289.92,1.5,0.0,0.0,17.759781199495624,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
34,249.89,1.5,0.0,0.0,19.118996635056593,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
35,249.99,2.0,0.0,0.0,19.115341973467906,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
36,214.95,3.0,0.0,0.0,20.48760499897562,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
37,264.93,2.0,0.0,0.0,18.58459708593518,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
38,284.99,1.5,0.0,0.0,17.916651736123555,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
39,299.98,1.0,0.0,0.0,17.448048435782457,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
40,329.89,1.0,0.0,0.0,16.582647917219422,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
41,359.98,1.0,0.0,0.0,15.794544564307488,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
42,379.98,1.0,0.0,0.0,15.310887572152557,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
43,399.95,0.5,0.0,0.0,14.856633486851882,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
44,399.98,1.0,0.0,0.0,14.855971357687222,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
45,424.96,0.5,0.0,0.0,14.32439013908983,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
46,424.86,1.0,0.0,0.0,14.32644231458002,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
47,449.7,0.5,0.0,0.0,13.83412879573909,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
48,449.98,1.0,0.0,0.0,13.828772143321395,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
49,474.96,0.5,0.0,0.0,13.367018219245834,0.9907242531292986,0.0,0.0,0.0,-inf,-inf,-inf
